Row Label,PrecinctCode,County,Registered Voters,Dan Lindgren,Rick Hole
Total,-1,GY,NULL,11655,7405
Taholah 002,2,GY,NULL,158,19
Quinault 004,4,GY,NULL,76,75
Neilton 006,6,GY,NULL,41,34
Pacific Beach 008,8,GY,NULL,113,86
Moclips 010,10,GY,NULL,16,4
Ocean City 012,12,GY,NULL,160,98
Burrows 014,14,GY,NULL,19,11
Wilderness 016,16,GY,NULL,46,57
Humptulips 018,18,GY,NULL,26,26
Axford 020,20,GY,NULL,71,45
Dekay 022,22,GY,NULL,54,28
Hoquiam Rural 024,24,GY,NULL,184,119
Stover 026(*),26,GY,NULL,0,0
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,176,90
Cutoff032,32,GY,NULL,62,27
Coats Landing 034,34,GY,NULL,159,93
Geissler 036,36,GY,NULL,22,23
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,70,50
Wynoochee 042,42,GY,NULL,2,3
Boundary 044,44,GY,NULL,23,24
Black Creek 046,46,GY,NULL,303,162
Brady 048,48,GY,NULL,313,144
Riviera 050,50,GY,NULL,24,16
Satsop 052,52,GY,NULL,96,72
Calder 056,56,GY,NULL,145,103
Bush 058,58,GY,NULL,293,223
McCleary Rural 060,60,GY,NULL,211,169
Porter 062,62,GY,NULL,109,76
Cedar Creek 064,64,GY,NULL,43,64
Chehalis 066,66,GY,NULL,5,2
Blockhouse 068,68,GY,NULL,128,141
Delezenne 070,70,GY,NULL,183,150
Melbourne 072,72,GY,NULL,184,116
Devonshire 074,74,GY,NULL,167,83
Vesta 076,76,GY,NULL,29,39
Artic 078,78,GY,NULL,31,26
Central Park 080,80,GY,NULL,394,194
Lois Lane 082,82,GY,NULL,62,46
Blue Slough 084,84,GY,NULL,110,77
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,37,35
Newskah 090,90,GY,NULL,12,5
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,161,98
Grayland 096,96,GY,NULL,135,145
Cohasset 098,98,GY,NULL,89,91
Aberdeen 111,111,GY,NULL,338,196
Aberdeen 121,121,GY,NULL,322,171
Aberdeen 131,131,GY,NULL,436,219
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,350,193
Aberdeen 142,142,GY,NULL,259,172
Aberdeen 151,151,GY,NULL,189,126
Aberdeen 161,161,GY,NULL,307,192
Cosmopolis 201,201,GY,NULL,372,160
Elma 301,301,GY,NULL,113,98
Elma 302,302,GY,NULL,274,180
Hoquiam 411,411,GY,NULL,243,111
Hoquiam 421,421,GY,NULL,206,82
Hoquiam 431,431,GY,NULL,230,123
Hoquiam 441,441,GY,NULL,238,135
Hoquiam 451,451,GY,NULL,184,107
Hoquiam 461,461,GY,NULL,154,118
McCleary 501,501,GY,NULL,232,151
Montesano 601,601,GY,NULL,497,195
Montesano 602,602,GY,NULL,473,170
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,61,92
Ocean Shores 801,801,GY,NULL,299,267
Ocean Shores 802,802,GY,NULL,423,373
Ocean Shores 803,803,GY,NULL,377,324
Westport 901,901,GY,NULL,298,235
