Row Label,PrecinctCode,County,Registered Voters,Frank Dacca
25-212,25212,PI,NULL,392
25-213,25213,PI,NULL,419
25-215,25215,PI,NULL,353
25-216,25216,PI,NULL,246
25-217,25217,PI,NULL,413
25-218,25218,PI,NULL,380
25-219,25219,PI,NULL,384
25-220,25220,PI,NULL,2
25-221,25221,PI,NULL,360
25-222,25222,PI,NULL,279
25-226,25226,PI,NULL,273
25-227,25227,PI,NULL,195
25-228,25228,PI,NULL,383
25-230,25230,PI,NULL,96
25-235,25235,PI,NULL,10
25-236,25236,PI,NULL,292
25-237,25237,PI,NULL,0
25-238,25238,PI,NULL,210
25-239,25239,PI,NULL,379
25-240,25240,PI,NULL,156
25-241,25241,PI,NULL,204
25-242,25242,PI,NULL,406
25-243,25243,PI,NULL,297
25-244,25244,PI,NULL,443
25-245,25245,PI,NULL,2
25-246,25246,PI,NULL,32
25-247,25247,PI,NULL,331
25-248,25248,PI,NULL,429
25-249,25249,PI,NULL,375
25-250,25250,PI,NULL,151
25-251,25251,PI,NULL,310
25-252,25252,PI,NULL,338
25-253,25253,PI,NULL,230
25-254,25254,PI,NULL,213
25-255,25255,PI,NULL,235
25-256,25256,PI,NULL,327
25-257,25257,PI,NULL,309
25-258,25258,PI,NULL,376
25-259,25259,PI,NULL,357
25-260,25260,PI,NULL,373
25-261,25261,PI,NULL,270
25-262,25262,PI,NULL,334
25-263,25263,PI,NULL,293
25-264,25264,PI,NULL,405
25-265,25265,PI,NULL,384
25-266,25266,PI,NULL,376
25-267,25267,PI,NULL,175
25-268,25268,PI,NULL,198
25-269,25269,PI,NULL,232
25-270,25270,PI,NULL,373
25-271,25271,PI,NULL,354
25-272,25272,PI,NULL,344
25-273,25273,PI,NULL,222
25-274,25274,PI,NULL,446
25-275,25275,PI,NULL,0
25-276,25276,PI,NULL,15
25-277,25277,PI,NULL,359
25-278,25278,PI,NULL,127
25-279,25279,PI,NULL,307
25-280,25280,PI,NULL,375
25-281,25281,PI,NULL,260
25-282,25282,PI,NULL,367
25-283,25283,PI,NULL,209
25-284,25284,PI,NULL,191
25-285,25285,PI,NULL,476
25-286,25286,PI,NULL,347
25-287,25287,PI,NULL,4
25-288,25288,PI,NULL,379
25-289,25289,PI,NULL,0
25-290,25290,PI,NULL,31
25-291,25291,PI,NULL,84
25-292,25292,PI,NULL,375
25-293,25293,PI,NULL,343
26-301,26301,PI,NULL,141
26-302,26302,PI,NULL,517
26-303,26303,PI,NULL,464
26-304,26304,PI,NULL,522
26-305,26305,PI,NULL,489
26-315,26315,PI,NULL,421
26-316,26316,PI,NULL,450
26-317,26317,PI,NULL,394
26-318,26318,PI,NULL,329
26-319,26319,PI,NULL,337
26-320,26320,PI,NULL,375
26-321,26321,PI,NULL,474
26-322,26322,PI,NULL,447
26-323,26323,PI,NULL,401
26-324,26324,PI,NULL,408
26-325,26325,PI,NULL,347
26-326,26326,PI,NULL,426
26-327,26327,PI,NULL,403
26-328,26328,PI,NULL,309
26-329,26329,PI,NULL,395
26-330,26330,PI,NULL,267
26-331,26331,PI,NULL,99
26-332,26332,PI,NULL,318
26-333,26333,PI,NULL,365
26-334,26334,PI,NULL,339
26-335,26335,PI,NULL,318
26-336,26336,PI,NULL,438
26-337,26337,PI,NULL,408
26-338,26338,PI,NULL,302
26-339,26339,PI,NULL,62
26-340,26340,PI,NULL,438
26-341,26341,PI,NULL,344
26-342,26342,PI,NULL,410
26-343,26343,PI,NULL,353
26-344,26344,PI,NULL,48
26-345,26345,PI,NULL,347
26-346,26346,PI,NULL,324
26-347,26347,PI,NULL,310
26-348,26348,PI,NULL,377
26-349,26349,PI,NULL,372
26-350,26350,PI,NULL,378
26-351,26351,PI,NULL,367
26-352,26352,PI,NULL,364
27-401,27401,PI,NULL,192
27-404,27404,PI,NULL,124
27-405,27405,PI,NULL,383
27-406,27406,PI,NULL,470
27-407,27407,PI,NULL,369
27-408,27408,PI,NULL,397
27-409,27409,PI,NULL,381
27-410,27410,PI,NULL,390
27-411,27411,PI,NULL,443
27-412,27412,PI,NULL,365
27-413,27413,PI,NULL,373
27-414,27414,PI,NULL,395
27-415,27415,PI,NULL,419
27-416,27416,PI,NULL,389
27-417,27417,PI,NULL,396
27-418,27418,PI,NULL,345
27-419,27419,PI,NULL,351
27-420,27420,PI,NULL,424
27-421,27421,PI,NULL,312
27-422,27422,PI,NULL,484
27-423,27423,PI,NULL,389
27-424,27424,PI,NULL,338
27-425,27425,PI,NULL,316
27-426,27426,PI,NULL,337
27-427,27427,PI,NULL,323
27-428,27428,PI,NULL,317
27-429,27429,PI,NULL,342
27-430,27430,PI,NULL,346
27-431,27431,PI,NULL,150
27-432,27432,PI,NULL,339
27-433,27433,PI,NULL,332
27-434,27434,PI,NULL,330
27-435,27435,PI,NULL,354
27-436,27436,PI,NULL,329
27-437,27437,PI,NULL,306
27-438,27438,PI,NULL,302
27-439,27439,PI,NULL,301
27-440,27440,PI,NULL,339
27-441,27441,PI,NULL,284
27-442,27442,PI,NULL,230
27-443,27443,PI,NULL,243
27-444,27444,PI,NULL,296
27-445,27445,PI,NULL,285
27-446,27446,PI,NULL,295
27-447,27447,PI,NULL,321
27-448,27448,PI,NULL,10
27-449,27449,PI,NULL,335
27-450,27450,PI,NULL,368
27-451,27451,PI,NULL,266
27-452,27452,PI,NULL,315
27-453,27453,PI,NULL,233
27-454,27454,PI,NULL,329
27-455,27455,PI,NULL,282
27-456,27456,PI,NULL,248
27-457,27457,PI,NULL,305
27-458,27458,PI,NULL,208
27-459,27459,PI,NULL,200
27-460,27460,PI,NULL,331
27-461,27461,PI,NULL,381
27-462,27462,PI,NULL,371
27-463,27463,PI,NULL,284
27-464,27464,PI,NULL,312
27-465,27465,PI,NULL,274
27-466,27466,PI,NULL,314
27-467,27467,PI,NULL,298
27-468,27468,PI,NULL,294
27-471,27471,PI,NULL,13
27-475,27475,PI,NULL,291
27-476,27476,PI,NULL,243
27-477,27477,PI,NULL,343
28-501,28501,PI,NULL,402
28-502,28502,PI,NULL,422
28-503,28503,PI,NULL,436
28-504,28504,PI,NULL,388
28-505,28505,PI,NULL,416
28-506,28506,PI,NULL,425
28-507,28507,PI,NULL,347
28-508,28508,PI,NULL,190
28-509,28509,PI,NULL,0
28-515,28515,PI,NULL,380
28-516,28516,PI,NULL,399
28-517,28517,PI,NULL,431
28-518,28518,PI,NULL,417
28-519,28519,PI,NULL,416
28-520,28520,PI,NULL,420
28-521,28521,PI,NULL,425
28-522,28522,PI,NULL,440
28-523,28523,PI,NULL,423
28-524,28524,PI,NULL,458
28-525,28525,PI,NULL,468
28-526,28526,PI,NULL,303
28-527,28527,PI,NULL,511
28-528,28528,PI,NULL,421
28-529,28529,PI,NULL,326
28-530,28530,PI,NULL,187
28-531,28531,PI,NULL,366
28-535,28535,PI,NULL,420
28-536,28536,PI,NULL,385
28-537,28537,PI,NULL,418
28-538,28538,PI,NULL,346
28-540,28540,PI,NULL,491
28-541,28541,PI,NULL,361
28-542,28542,PI,NULL,358
28-543,28543,PI,NULL,342
28-545,28545,PI,NULL,400
28-546,28546,PI,NULL,367
28-547,28547,PI,NULL,497
28-548,28548,PI,NULL,329
28-549,28549,PI,NULL,359
28-550,28550,PI,NULL,278
28-551,28551,PI,NULL,469
28-552,28552,PI,NULL,417
28-553,28553,PI,NULL,421
28-554,28554,PI,NULL,388
28-555,28555,PI,NULL,437
28-556,28556,PI,NULL,316
28-557,28557,PI,NULL,310
28-558,28558,PI,NULL,316
28-559,28559,PI,NULL,315
28-560,28560,PI,NULL,434
28-561,28561,PI,NULL,249
28-562,28562,PI,NULL,216
28-563,28563,PI,NULL,118
28-565,28565,PI,NULL,316
28-566,28566,PI,NULL,332
28-567,28567,PI,NULL,339
28-568,28568,PI,NULL,349
28-570,28570,PI,NULL,5
28-571,28571,PI,NULL,5
28-572,28572,PI,NULL,338
28-573,28573,PI,NULL,220
28-574,28574,PI,NULL,81
28-575,28575,PI,NULL,2
28-576,28576,PI,NULL,326
28-577,28577,PI,NULL,12
28-578,28578,PI,NULL,75
28-579,28579,PI,NULL,63
28-580,28580,PI,NULL,54
28-581,28581,PI,NULL,218
28-582,28582,PI,NULL,143
28-583,28583,PI,NULL,216
28-584,28584,PI,NULL,241
28-585,28585,PI,NULL,373
28-586,28586,PI,NULL,328
28-587,28587,PI,NULL,241
28-588,28588,PI,NULL,342
28-589,28589,PI,NULL,362
28-590,28590,PI,NULL,13
29-600,29600,PI,NULL,0
29-601,29601,PI,NULL,254
29-602,29602,PI,NULL,217
29-603,29603,PI,NULL,294
29-604,29604,PI,NULL,292
29-605,29605,PI,NULL,235
29-606,29606,PI,NULL,309
29-607,29607,PI,NULL,368
29-608,29608,PI,NULL,245
29-609,29609,PI,NULL,210
29-610,29610,PI,NULL,288
29-611,29611,PI,NULL,60
29-612,29612,PI,NULL,154
29-613,29613,PI,NULL,309
29-614,29614,PI,NULL,323
29-615,29615,PI,NULL,338
29-616,29616,PI,NULL,282
29-617,29617,PI,NULL,288
29-618,29618,PI,NULL,252
29-619,29619,PI,NULL,275
29-620,29620,PI,NULL,168
29-621,29621,PI,NULL,0
29-622,29622,PI,NULL,233
29-623,29623,PI,NULL,69
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,7
29-626,29626,PI,NULL,7
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,25
29-635,29635,PI,NULL,77
29-636,29636,PI,NULL,361
29-637,29637,PI,NULL,275
29-638,29638,PI,NULL,144
29-639,29639,PI,NULL,285
29-640,29640,PI,NULL,299
