Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,MA,NULL,13246
PICKERING,113,MA,NULL,353
HARSTINE,114,MA,NULL,487
GRAPEVIEW,115,MA,NULL,466
MASON LAKE,116,MA,NULL,317
FAIR HARBOR,117,MA,NULL,271
ALLYN,118,MA,NULL,649
VICTOR,119,MA,NULL,268
BELFAIR,120,MA,NULL,327
TIGER LAKE,121,MA,NULL,210
DEWATTO,122,MA,NULL,415
TAHUYA,123,MA,NULL,379
SAND HILL,124,MA,NULL,435
TRAIL&#39;S END,125,MA,NULL,418
TWANOH,126,MA,NULL,241
BORDEAUX,205,MA,NULL,60
KAMILCHE POINT,207,MA,NULL,214
UNION,227,MA,NULL,574
SKOKOMISH,228,MA,NULL,91
HOOD CANAL,229,MA,NULL,410
CUSHMAN,230,MA,NULL,461
EELLS,231,MA,NULL,123
MATLOCK,232,MA,NULL,318
DAYTON,233,MA,NULL,287
KAMILCHE,234,MA,NULL,161
ISABELLA,235,MA,NULL,220
AIRPORT,236,MA,NULL,450
JOHN&#39;S PRAIRIE,237,MA,NULL,292
LIMERICK,238,MA,NULL,515
OLYMPIC VIEW,301,MA,NULL,447
DOWNTOWN,302,MA,NULL,308
ANGLESIDE,303,MA,NULL,388
HILLCREST,304,MA,NULL,271
FAWN LAKE,306,MA,NULL,436
ARCADIA,308,MA,NULL,413
MILL CREEK,309,MA,NULL,457
AGATE,310,MA,NULL,341
OAKLAND BAY,311,MA,NULL,284
TIMBERLAKE,312,MA,NULL,477
CALLANAN,339,MA,NULL,12
