Row Label,PrecinctCode,County,Registered Voters,Kristian E. Hedine
Total,-1,WL,NULL,12842
Alderbrook 01,1,WL,NULL,161
Alder 02,2,WL,NULL,129
Ash 03,3,WL,NULL,291
Baumeister 04,4,WL,NULL,281
Birch 05,5,WL,NULL,168
Clark 06,6,WL,NULL,124
College 07,7,WL,NULL,185
Edison 08,8,WL,NULL,214
Garfield 09,9,WL,NULL,230
Green Park 10,10,WL,NULL,127
Henderson 11,11,WL,NULL,191
Isaacs 12,12,WL,NULL,142
Jefferson 13,13,WL,NULL,405
Maple 16,16,WL,NULL,375
Marcus 17,17,WL,NULL,500
Monroe 18,18,WL,NULL,435
Paine 20,20,WL,NULL,88
Pine 21,21,WL,NULL,134
Pleasant 22,22,WL,NULL,371
Sharpstein 23,23,WL,NULL,175
Spruce 24,24,WL,NULL,159
Stadium 25,25,WL,NULL,166
Tausick 26,26,WL,NULL,177
Wainwright 28,28,WL,NULL,339
Watertown 29,29,WL,NULL,171
Abbott 31,31,WL,NULL,235
Baker 33,33,WL,NULL,74
Ice Harbor 34,34,WL,NULL,286
Berney 35,35,WL,NULL,190
Blalock 36,36,WL,NULL,324
Braden 37,37,WL,NULL,358
Burbank 38,38,WL,NULL,390
Clyde 39,39,WL,NULL,20
Derry 40,40,WL,NULL,116
Dixie 41,41,WL,NULL,182
Eureka 5 42,42,WL,NULL,46
Eureka 4 43,43,WL,NULL,2
Frenchtown 5 44,44,WL,NULL,157
Frenchtown 4 45,45,WL,NULL,38
Garrison 46,46,WL,NULL,172
Gose 47,47,WL,NULL,79
Lincoln 49,49,WL,NULL,47
Mill Creek 50,50,WL,NULL,174
Moore 51,51,WL,NULL,181
Pros Point 52,52,WL,NULL,695
Ritz 53,53,WL,NULL,406
McNary 54,54,WL,NULL,180
Touchet 4 55,55,WL,NULL,233
Touchet 5 56,56,WL,NULL,5
Twin Grove 57,57,WL,NULL,163
Yellowhawk 58,58,WL,NULL,27
Wallula 59,59,WL,NULL,20
Washington 60,60,WL,NULL,111
CP 1 61,61,WL,NULL,370
CP 2 62,62,WL,NULL,273
CP 3 63,63,WL,NULL,348
Prescott 64,64,WL,NULL,72
Waitsburg 65,65,WL,NULL,360
CP 4 66,66,WL,NULL,406
CP 5 67,67,WL,NULL,308
CP 6 68,68,WL,NULL,56
