Row Label,PrecinctCode,County,Registered Voters,Jim McDermott,Craig Keller
Total,-1,KI,NULL,11551,6793
Total,-1,KI,NULL,11551,6793
EDMONDS  1,72131101,SN,NULL,187,149
EDMONDS  2,72131102,SN,NULL,204,164
EDMONDS  3,72131103,SN,NULL,255,136
EDMONDS  4,72131104,SN,NULL,218,95
EDMONDS  5,72131105,SN,NULL,137,78
EDMONDS  7,72131107,SN,NULL,287,145
EDMONDS  8,72131108,SN,NULL,277,186
EDMONDS  9,72131109,SN,NULL,144,103
EDMONDS 10,72131110,SN,NULL,242,155
EDMONDS 13,72131111,SN,NULL,292,134
EDMONDS 17,72131127,SN,NULL,195,97
EDMONDS 22,72131147,SN,NULL,216,117
EDMONDS 23,72131148,SN,NULL,219,202
EDMONDS 28,72131155,SN,NULL,208,113
EDMONDS 29,72131156,SN,NULL,247,108
EDMONDS 30,72131157,SN,NULL,171,94
EDMONDS 31,72131158,SN,NULL,222,131
EDMONDS 32,72131159,SN,NULL,202,119
EDMONDS 33,72131160,SN,NULL,193,106
EDMONDS 34,72131161,SN,NULL,222,121
EDMONDS 35,72131162,SN,NULL,159,127
EDMONDS 36,72131163,SN,NULL,202,116
EDMONDS 37,72131164,SN,NULL,198,121
EDMONDS 21,72131390,SN,NULL,246,193
EDMONDS 24,72131391,SN,NULL,158,86
EDMONDS 26,72131392,SN,NULL,154,98
EDMONDS 38,72131393,SN,NULL,212,149
EDMONDS 39,72131447,SN,NULL,226,196
EDMONDS 46,72131524,SN,NULL,329,225
EDMONDS 51,72131565,SN,NULL,200,120
EDMONDS 11,72131694,SN,NULL,231,159
EDMONDS  6,73231106,SN,NULL,266,178
EDMONDS 14,73231112,SN,NULL,171,70
EDMONDS 15,73231113,SN,NULL,162,92
EDMONDS 16,73231114,SN,NULL,174,79
EDMONDS 18,73231132,SN,NULL,218,92
EDMONDS 19,73231133,SN,NULL,254,104
EDMONDS 25,73231153,SN,NULL,198,96
EDMONDS 27,73231154,SN,NULL,180,106
WOODWAY 1,73231173,SN,NULL,197,155
WOODWAY 2,73231174,SN,NULL,97,113
EDMONDS 12,73231389,SN,NULL,131,66
EDMONDS 40,73231500,SN,NULL,222,102
EDMONDS 41,73231511,SN,NULL,158,66
EDMONDS 42,73231512,SN,NULL,149,89
EDMONDS 43,73231513,SN,NULL,242,138
EDMONDS 44,73231514,SN,NULL,223,87
EDMONDS 45,73231523,SN,NULL,164,105
EDMONDS 47,73231525,SN,NULL,118,54
EDMONDS 48,73231562,SN,NULL,187,108
EDMONDS 49,73231563,SN,NULL,179,114
EDMONDS 50,73231564,SN,NULL,142,72
EDMONDS 52,73231577,SN,NULL,204,78
HOLLY,73234099,SN,NULL,235,112
ROB,73234143,SN,NULL,131,88
SUMMIT,73234149,SN,NULL,158,116
ANN,73234176,SN,NULL,182,87
CHAPEL,73234182,SN,NULL,156,83
