Row Label,PrecinctCode,County,Registered Voters,Stephen M. Brown
Total,-1,CH,NULL,13041
100,100,CH,NULL,6
110,110,CH,NULL,160
111,111,CH,NULL,53
112,112,CH,NULL,16
113,113,CH,NULL,37
114,114,CH,NULL,208
115,115,CH,NULL,17
116,116,CH,NULL,80
120,120,CH,NULL,142
121,121,CH,NULL,146
122,122,CH,NULL,80
123,123,CH,NULL,21
124,124,CH,NULL,34
125,125,CH,NULL,306
126,126,CH,NULL,42
127,127,CH,NULL,63
128,128,CH,NULL,30
129,129,CH,NULL,113
131,131,CH,NULL,30
132,132,CH,NULL,21
133,133,CH,NULL,188
134,134,CH,NULL,289
135,135,CH,NULL,300
136,136,CH,NULL,4
140,140,CH,NULL,101
141,141,CH,NULL,6
142,142,CH,NULL,27
143,143,CH,NULL,3
144,144,CH,NULL,16
145,145,CH,NULL,17
146,146,CH,NULL,57
147,147,CH,NULL,291
148,148,CH,NULL,130
149,149,CH,NULL,148
150,150,CH,NULL,26
151,151,CH,NULL,3
152,152,CH,NULL,3
153,153,CH,NULL,424
154,154,CH,NULL,354
155,155,CH,NULL,129
156,156,CH,NULL,35
157,157,CH,NULL,292
158,158,CH,NULL,141
159,159,CH,NULL,5
161,161,CH,NULL,21
162,162,CH,NULL,20
163,163,CH,NULL,16
164,164,CH,NULL,102
165,165,CH,NULL,73
171,171,CH,NULL,7
172,172,CH,NULL,10
173,173,CH,NULL,11
174,174,CH,NULL,205
175,175,CH,NULL,353
181,181,CH,NULL,265
182,182,CH,NULL,225
183,183,CH,NULL,127
190,190,CH,NULL,19
210,210,CH,NULL,194
220,220,CH,NULL,230
310,310,CH,NULL,122
320,320,CH,NULL,177
330,330,CH,NULL,211
410,410,CH,NULL,236
420,420,CH,NULL,284
430,430,CH,NULL,340
440,440,CH,NULL,405
450,450,CH,NULL,345
460,460,CH,NULL,336
480,480,CH,NULL,345
490,490,CH,NULL,496
510,510,CH,NULL,190
520,520,CH,NULL,475
530,530,CH,NULL,375
540,540,CH,NULL,281
560,560,CH,NULL,336
580,580,CH,NULL,224
590,590,CH,NULL,294
610,610,CH,NULL,217
710,710,CH,NULL,216
720,720,CH,NULL,285
730,730,CH,NULL,344
1149,1149,CH,NULL,27
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
