Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Total,-1,SP,NULL,92198,62763
PCT 3000,3000,SP,NULL,3,4
PCT 3100,3100,SP,NULL,192,167
PCT 3101,3101,SP,NULL,171,160
PCT 3102,3102,SP,NULL,130,111
PCT 3103,3103,SP,NULL,158,129
PCT 3104,3104,SP,NULL,205,198
PCT 3105,3105,SP,NULL,163,174
PCT 3106,3106,SP,NULL,185,176
PCT 3107,3107,SP,NULL,189,202
PCT 3108,3108,SP,NULL,184,104
PCT 3109,3109,SP,NULL,180,177
PCT 3110,3110,SP,NULL,164,128
PCT 3111,3111,SP,NULL,160,141
PCT 3112,3112,SP,NULL,18,6
PCT 3113,3113,SP,NULL,221,202
PCT 3114,3114,SP,NULL,204,214
PCT 3115,3115,SP,NULL,210,194
PCT 3116,3116,SP,NULL,232,214
PCT 3117,3117,SP,NULL,146,140
PCT 3118,3118,SP,NULL,131,165
PCT 3119,3119,SP,NULL,169,175
PCT 3120,3120,SP,NULL,210,177
PCT 3121,3121,SP,NULL,201,167
PCT 3122,3122,SP,NULL,232,282
PCT 3123,3123,SP,NULL,199,154
PCT 3124,3124,SP,NULL,196,208
PCT 3125,3125,SP,NULL,189,170
PCT 3126,3126,SP,NULL,53,25
PCT 3127,3127,SP,NULL,153,227
PCT 3128,3128,SP,NULL,174,201
PCT 3200,3200,SP,NULL,120,256
PCT 3201,3201,SP,NULL,186,334
PCT 3202,3202,SP,NULL,119,164
PCT 3203,3203,SP,NULL,154,284
PCT 3204,3204,SP,NULL,115,243
PCT 3205,3205,SP,NULL,173,239
PCT 3206,3206,SP,NULL,114,246
PCT 3207,3207,SP,NULL,107,132
PCT 3208,3208,SP,NULL,218,227
PCT 3209,3209,SP,NULL,282,261
PCT 3210,3210,SP,NULL,171,286
PCT 3211,3211,SP,NULL,139,329
PCT 3212,3212,SP,NULL,159,252
PCT 3213,3213,SP,NULL,211,352
PCT 3214,3214,SP,NULL,206,278
PCT 3215,3215,SP,NULL,132,197
PCT 3216,3216,SP,NULL,266,389
PCT 3217,3217,SP,NULL,327,299
PCT 3218,3218,SP,NULL,281,328
PCT 3219,3219,SP,NULL,239,235
PCT 3220,3220,SP,NULL,293,314
PCT 3221,3221,SP,NULL,309,250
PCT 3222,3222,SP,NULL,75,177
PCT 3223,3223,SP,NULL,100,233
PCT 3300,3300,SP,NULL,331,133
PCT 3301,3301,SP,NULL,388,278
PCT 3302,3302,SP,NULL,285,208
PCT 3303,3303,SP,NULL,245,214
PCT 3304,3304,SP,NULL,275,198
PCT 3305,3305,SP,NULL,192,194
PCT 3306,3306,SP,NULL,268,207
PCT 3307,3307,SP,NULL,186,156
PCT 3308,3308,SP,NULL,245,231
PCT 3309,3309,SP,NULL,239,212
PCT 3310,3310,SP,NULL,265,227
PCT 3311,3311,SP,NULL,175,140
PCT 3312,3312,SP,NULL,333,278
PCT 3313,3313,SP,NULL,349,293
PCT 3314,3314,SP,NULL,213,203
PCT 3315,3315,SP,NULL,266,267
PCT 3316,3316,SP,NULL,267,331
PCT 3317,3317,SP,NULL,331,356
PCT 3318,3318,SP,NULL,220,233
PCT 3319,3319,SP,NULL,216,191
PCT 3320,3320,SP,NULL,169,204
PCT 3321,3321,SP,NULL,241,280
PCT 3322,3322,SP,NULL,168,212
PCT 3323,3323,SP,NULL,243,239
PCT 3324,3324,SP,NULL,201,263
PCT 3325,3325,SP,NULL,214,355
PCT 3326,3326,SP,NULL,90,101
PCT 3327,3327,SP,NULL,163,184
PCT 3328,3328,SP,NULL,172,301
PCT 3329,3329,SP,NULL,131,253
PCT 4001,4001,SP,NULL,267,111
PCT 4002,4002,SP,NULL,350,169
PCT 4003,4003,SP,NULL,540,191
PCT 4004,4004,SP,NULL,416,161
PCT 4005,4005,SP,NULL,328,133
PCT 4006,4006,SP,NULL,481,194
PCT 4007,4007,SP,NULL,243,147
PCT 4008,4008,SP,NULL,276,98
PCT 4009,4009,SP,NULL,353,146
PCT 4010,4010,SP,NULL,332,130
PCT 4011,4011,SP,NULL,511,179
PCT 4012,4012,SP,NULL,569,225
PCT 4013,4013,SP,NULL,322,139
PCT 4014,4014,SP,NULL,201,138
PCT 4015,4015,SP,NULL,242,142
PCT 4016,4016,SP,NULL,354,185
PCT 4017,4017,SP,NULL,381,241
PCT 4018,4018,SP,NULL,238,110
PCT 4019,4019,SP,NULL,247,139
PCT 4020,4020,SP,NULL,370,199
PCT 4021,4021,SP,NULL,354,177
PCT 4022,4022,SP,NULL,322,143
PCT 4023,4023,SP,NULL,122,71
