Row Label,PrecinctCode,County,Registered Voters,Bernard F. Veljacic,Robert Vukanovich
Total,-1,CR,NULL,53026,40447
100,100,CR,NULL,315,189
102,102,CR,NULL,226,141
104,104,CR,NULL,334,148
106,106,CR,NULL,268,160
108,108,CR,NULL,267,167
110,110,CR,NULL,322,185
112,112,CR,NULL,24,17
113,113,CR,NULL,135,112
120,120,CR,NULL,335,217
130,130,CR,NULL,310,178
147,147,CR,NULL,241,148
150,150,CR,NULL,178,118
153,153,CR,NULL,188,127
160,160,CR,NULL,183,180
170,170,CR,NULL,207,163
175,175,CR,NULL,174,153
180,180,CR,NULL,204,157
190,190,CR,NULL,280,215
200,200,CR,NULL,289,200
220,220,CR,NULL,212,138
225,225,CR,NULL,411,235
240,240,CR,NULL,345,225
245,245,CR,NULL,321,191
250,250,CR,NULL,329,208
255,255,CR,NULL,272,187
257,257,CR,NULL,291,194
290,290,CR,NULL,271,181
294,294,CR,NULL,163,129
296,296,CR,NULL,180,139
298,298,CR,NULL,172,113
325,325,CR,NULL,210,151
327,327,CR,NULL,295,206
330,330,CR,NULL,269,203
335,335,CR,NULL,211,149
337,337,CR,NULL,249,183
338,338,CR,NULL,221,209
340,340,CR,NULL,265,187
350,350,CR,NULL,219,169
360,360,CR,NULL,260,211
370,370,CR,NULL,183,167
390,390,CR,NULL,316,216
395,395,CR,NULL,81,59
400,400,CR,NULL,184,83
410,410,CR,NULL,293,232
415,415,CR,NULL,205,138
420,420,CR,NULL,261,196
423,423,CR,NULL,196,147
424,424,CR,NULL,299,228
425,425,CR,NULL,195,147
426,426,CR,NULL,349,248
430,430,CR,NULL,186,131
432,432,CR,NULL,182,154
434,434,CR,NULL,200,117
435,435,CR,NULL,193,145
436,436,CR,NULL,140,123
440,440,CR,NULL,249,199
441,441,CR,NULL,251,208
444,444,CR,NULL,360,231
445,445,CR,NULL,344,226
446,446,CR,NULL,251,177
447,447,CR,NULL,332,247
448,448,CR,NULL,336,229
449,449,CR,NULL,384,237
