Row Label,PrecinctCode,County,Registered Voters,Kathy Haigh,Dan Griffey
Total,-1,MA,NULL,9995,10245
PICKERING,113,MA,NULL,234,289
HARSTINE,114,MA,NULL,413,374
GRAPEVIEW,115,MA,NULL,354,356
MASON LAKE,116,MA,NULL,235,263
FAIR HARBOR,117,MA,NULL,200,239
ALLYN,118,MA,NULL,447,575
VICTOR,119,MA,NULL,163,274
BELFAIR,120,MA,NULL,216,265
TIGER LAKE,121,MA,NULL,130,189
DEWATTO,122,MA,NULL,311,329
TAHUYA,123,MA,NULL,261,306
SAND HILL,124,MA,NULL,252,330
TRAIL&#39;S END,125,MA,NULL,291,326
TWANOH,126,MA,NULL,200,169
BORDEAUX,205,MA,NULL,48,39
KAMILCHE POINT,207,MA,NULL,201,109
UNION,227,MA,NULL,450,441
SKOKOMISH,228,MA,NULL,87,26
HOOD CANAL,229,MA,NULL,321,345
CUSHMAN,230,MA,NULL,340,305
EELLS,231,MA,NULL,106,111
MATLOCK,232,MA,NULL,242,280
DAYTON,233,MA,NULL,229,219
KAMILCHE,234,MA,NULL,107,135
ISABELLA,235,MA,NULL,159,189
AIRPORT,236,MA,NULL,373,372
JOHN&#39;S PRAIRIE,237,MA,NULL,188,237
LIMERICK,238,MA,NULL,411,381
OLYMPIC VIEW,301,MA,NULL,337,309
DOWNTOWN,302,MA,NULL,255,193
ANGLESIDE,303,MA,NULL,287,284
HILLCREST,304,MA,NULL,195,176
FAWN LAKE,306,MA,NULL,366,294
ARCADIA,308,MA,NULL,368,308
MILL CREEK,309,MA,NULL,362,348
AGATE,310,MA,NULL,294,262
OAKLAND BAY,311,MA,NULL,200,269
TIMBERLAKE,312,MA,NULL,349,320
CALLANAN,339,MA,NULL,13,9
