Row Label,PrecinctCode,County,Registered Voters,Approved,Rejcted
Total,-1,SP,NULL,42464,19457
PCT 3100,3100,SP,NULL,218,137
PCT 3101,3101,SP,NULL,187,133
PCT 3102,3102,SP,NULL,131,107
PCT 3103,3103,SP,NULL,169,115
PCT 3104,3104,SP,NULL,227,180
PCT 3105,3105,SP,NULL,200,138
PCT 3106,3106,SP,NULL,214,136
PCT 3107,3107,SP,NULL,208,181
PCT 3108,3108,SP,NULL,163,122
PCT 3109,3109,SP,NULL,200,157
PCT 3110,3110,SP,NULL,168,123
PCT 3111,3111,SP,NULL,164,131
PCT 3112,3112,SP,NULL,12,11
PCT 3113,3113,SP,NULL,245,173
PCT 3114,3114,SP,NULL,227,186
PCT 3115,3115,SP,NULL,265,150
PCT 3116,3116,SP,NULL,208,225
PCT 3117,3117,SP,NULL,158,125
PCT 3118,3118,SP,NULL,194,97
PCT 3119,3119,SP,NULL,194,146
PCT 3120,3120,SP,NULL,242,145
PCT 3121,3121,SP,NULL,190,186
PCT 3122,3122,SP,NULL,370,130
PCT 3123,3123,SP,NULL,210,142
PCT 3124,3124,SP,NULL,257,140
PCT 3125,3125,SP,NULL,207,148
PCT 3126,3126,SP,NULL,47,37
PCT 3127,3127,SP,NULL,309,67
PCT 3128,3128,SP,NULL,245,129
PCT 3200,3200,SP,NULL,309,62
PCT 3201,3201,SP,NULL,415,98
PCT 3202,3202,SP,NULL,211,68
PCT 3203,3203,SP,NULL,338,94
PCT 3204,3204,SP,NULL,281,74
PCT 3205,3205,SP,NULL,321,79
PCT 3206,3206,SP,NULL,256,99
PCT 3207,3207,SP,NULL,165,75
PCT 3208,3208,SP,NULL,272,169
PCT 3209,3209,SP,NULL,327,199
PCT 3210,3210,SP,NULL,343,107
PCT 3211,3211,SP,NULL,369,96
PCT 3212,3212,SP,NULL,329,72
PCT 3213,3213,SP,NULL,440,110
PCT 3214,3214,SP,NULL,385,106
PCT 3215,3215,SP,NULL,226,99
