Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
EVERETT  40,23821246,SN,NULL,43,64
EVERETT  41,23821247,SN,NULL,94,95
EVERETT  42,23821248,SN,NULL,86,95
EVERETT  43,23821249,SN,NULL,59,82
EVERETT  44,23821250,SN,NULL,97,68
EVERETT  45,23821251,SN,NULL,110,78
EVERETT  48,23821252,SN,NULL,101,91
EVERETT  49,23821253,SN,NULL,161,126
EVERETT  50,23821254,SN,NULL,135,107
EVERETT  51,23821255,SN,NULL,125,105
EVERETT  53,23821256,SN,NULL,148,101
EVERETT  54,23821257,SN,NULL,104,121
EVERETT  55,23821258,SN,NULL,37,32
EVERETT  67,23821287,SN,NULL,117,91
EVERETT  69,23821288,SN,NULL,109,113
EVERETT  73,23821289,SN,NULL,129,115
EVERETT  76,23821290,SN,NULL,106,101
TULALIP 1,23821327,SN,NULL,139,124
TULALIP 2,23821328,SN,NULL,152,80
EVERETT  60,23821346,SN,NULL,119,112
TULALIP 3,23821365,SN,NULL,123,126
EVERETT   5,23821394,SN,NULL,114,100
EVERETT   7,23821395,SN,NULL,49,61
EVERETT   9,23821396,SN,NULL,195,170
EVERETT  10,23821397,SN,NULL,98,88
EVERETT  23,23821398,SN,NULL,29,20
EVERETT  30,23821399,SN,NULL,154,138
EVERETT  46,23821401,SN,NULL,94,96
EVERETT  47,23821402,SN,NULL,122,116
EVERETT  58,23821403,SN,NULL,13,14
EVERETT  59,23821404,SN,NULL,97,94
EVERETT  68,23821408,SN,NULL,167,148
EVERETT  70(*),23821409,SN,NULL,0,0
EVERETT  71,23821410,SN,NULL,66,63
EVERETT  72,23821411,SN,NULL,68,64
EVERETT  74,23821412,SN,NULL,83,63
EVERETT  80,23821413,SN,NULL,136,141
EVERETT  81,23821414,SN,NULL,67,58
TULALIP 4,23821440,SN,NULL,126,131
EVERETT  85,23821449,SN,NULL,106,71
EVERETT  87,23821450,SN,NULL,81,73
EVERETT  88,23821451,SN,NULL,137,101
EVERETT  89,23821452,SN,NULL,108,81
EVERETT  90,23821453,SN,NULL,40,34
TULALIP 5,23821510,SN,NULL,88,75
TULALIP 6,23821558,SN,NULL,59,60
EVERETT  62,23821617,SN,NULL,91,84
EVERETT  63,23821618,SN,NULL,97,91
EVERETT  75,23821619,SN,NULL,78,81
EVERETT  78,23821620,SN,NULL,66,54
EVERETT  86,23821623,SN,NULL,119,96
EVERETT  77,23821645,SN,NULL,98,99
EVERETT  82,23821662,SN,NULL,93,83
EVERETT  93,23821695,SN,NULL,72,78
EVERETT  94,23821696,SN,NULL,80,61
PRIEST POINT,23824098,SN,NULL,102,61
MILLARD,23824169,SN,NULL,80,71
HAT ISLAND,23824267,SN,NULL,10,18
SHELTON,23824269,SN,NULL,137,185
TYEE,23824441,SN,NULL,135,115
BOEING,23824445,SN,NULL,110,93
COHO,23824561,SN,NULL,54,47
SPENCER(*),23824593,SN,NULL,0,0
CHATHAM,23824752,SN,NULL,26,25
SYLVAN,23854756,SN,NULL,9,7
ARLINGTON  1,23911049,SN,NULL,119,117
ARLINGTON  2,23911050,SN,NULL,88,98
ARLINGTON  3,23911051,SN,NULL,109,96
ARLINGTON  4,23911130,SN,NULL,226,163
ARLINGTON  5,23911386,SN,NULL,180,145
MARYSVILLE 18,23911468,SN,NULL,166,137
ARLINGTON  6,23911498,SN,NULL,140,134
ARLINGTON  7,23911499,SN,NULL,153,171
ARLINGTON  8,23911518,SN,NULL,135,118
ARLINGTON  9,23911569,SN,NULL,121,143
ARLINGTON 10,23911570,SN,NULL,141,175
ARLINGTON 11,23911574,SN,NULL,84,55
ARLINGTON 12,23911636,SN,NULL,86,104
ARLINGTON 13,23911643,SN,NULL,146,173
ARLINGTON 14,23911661,SN,NULL,101,97
MARYSVILLE 33(*),23911680,SN,NULL,0,0
ARLINGTON 15,23911686,SN,NULL,40,45
ARLINGTON 16,23911687,SN,NULL,80,89
MARYSVILLE 44,23911737,SN,NULL,178,153
MARYSVILLE 45,23911738,SN,NULL,167,153
MARYSVILLE 52,23911745,SN,NULL,137,175
MARYSVILLE 53,23911746,SN,NULL,73,95
MARYSVILLE 54,23911747,SN,NULL,139,153
ARLINGTON 17,23911751,SN,NULL,5,2
PACKWOOD,23914020,SN,NULL,74,65
EDGECOMB,23914023,SN,NULL,103,110
ALMA,23914151,SN,NULL,13,18
RONCREST,23914360,SN,NULL,48,59
MARYSVILLE  5,24411428,SN,NULL,174,164
MARYSVILLE 16,24411466,SN,NULL,155,155
MARYSVILLE 19,24411494,SN,NULL,117,103
MARYSVILLE 21,24411540,SN,NULL,211,176
MARYSVILLE 22,24411541,SN,NULL,175,160
MARYSVILLE 23,24411542,SN,NULL,190,159
MARYSVILLE 24,24411543,SN,NULL,119,108
MARYSVILLE 14,24411628,SN,NULL,189,151
MARYSVILLE 12,24411676,SN,NULL,147,125
MARYSVILLE 30,24411677,SN,NULL,151,134
MARYSVILLE 31,24411678,SN,NULL,179,194
MARYSVILLE 34,24411701,SN,NULL,97,110
MARYSVILLE 55,24411748,SN,NULL,80,93
EBEY,24424001,SN,NULL,6,22
WHALEBACK,24424019,SN,NULL,11,8
EASTMONT,24424126,SN,NULL,105,90
FIRGROVE,24424528,SN,NULL,92,90
SILVER LAKE,24444074,SN,NULL,117,108
DUMAS,24444285,SN,NULL,103,121
HOLIDAY,24444294,SN,NULL,66,61
HILTONS LAKE,24454086,SN,NULL,142,116
RIVERCREST,24454172,SN,NULL,88,83
TOWER,24454197,SN,NULL,135,114
VILLE,24454198,SN,NULL,46,54
JORDAN,24454295,SN,NULL,202,188
LANTERN,24454341,SN,NULL,127,125
SLIVER(*),24454591,SN,NULL,0,0
GLEN ACRES(*),24454698,SN,NULL,0,0
EDMONDS  1,72131101,SN,NULL,168,102
EDMONDS  2,72131102,SN,NULL,153,114
EDMONDS  3,72131103,SN,NULL,180,123
EDMONDS  4,72131104,SN,NULL,148,106
EDMONDS  5,72131105,SN,NULL,88,90
EDMONDS  7,72131107,SN,NULL,175,144
EDMONDS  8,72131108,SN,NULL,197,157
EDMONDS  9,72131109,SN,NULL,108,85
EDMONDS 10,72131110,SN,NULL,175,127
EDMONDS 13,72131111,SN,NULL,175,136
EDMONDS 17,72131127,SN,NULL,123,98
EDMONDS 22,72131147,SN,NULL,142,111
EDMONDS 23,72131148,SN,NULL,217,115
EDMONDS 28,72131155,SN,NULL,166,93
EDMONDS 29,72131156,SN,NULL,177,108
EDMONDS 30,72131157,SN,NULL,121,95
EDMONDS 31,72131158,SN,NULL,154,120
EDMONDS 32,72131159,SN,NULL,143,99
EDMONDS 33,72131160,SN,NULL,126,97
EDMONDS 34,72131161,SN,NULL,171,99
EDMONDS 35,72131162,SN,NULL,135,80
EDMONDS 36,72131163,SN,NULL,147,97
EDMONDS 37,72131164,SN,NULL,126,117
EDMONDS 21,72131390,SN,NULL,223,122
EDMONDS 24,72131391,SN,NULL,106,79
EDMONDS 26,72131392,SN,NULL,101,92
EDMONDS 38,72131393,SN,NULL,181,108
EDMONDS 39,72131447,SN,NULL,220,119
EDMONDS 46,72131524,SN,NULL,242,196
EDMONDS 51,72131565,SN,NULL,163,97
EDMONDS 11,72131694,SN,NULL,171,133
EDMONDS  6,73231106,SN,NULL,203,129
EDMONDS 14,73231112,SN,NULL,105,85
EDMONDS 15,73231113,SN,NULL,118,90
EDMONDS 16,73231114,SN,NULL,104,89
EDMONDS 18,73231132,SN,NULL,145,100
EDMONDS 19,73231133,SN,NULL,174,114
EDMONDS 25,73231153,SN,NULL,128,111
EDMONDS 27,73231154,SN,NULL,128,78
WOODWAY 1,73231173,SN,NULL,138,114
WOODWAY 2,73231174,SN,NULL,81,66
EDMONDS 12,73231389,SN,NULL,84,76
EDMONDS 40,73231500,SN,NULL,135,120
EDMONDS 41,73231511,SN,NULL,118,77
EDMONDS 42,73231512,SN,NULL,115,77
EDMONDS 43,73231513,SN,NULL,157,138
EDMONDS 44,73231514,SN,NULL,132,106
EDMONDS 45,73231523,SN,NULL,118,89
EDMONDS 47,73231525,SN,NULL,73,63
EDMONDS 48,73231562,SN,NULL,144,95
EDMONDS 49,73231563,SN,NULL,138,96
EDMONDS 50,73231564,SN,NULL,87,101
EDMONDS 52,73231577,SN,NULL,118,101
HOLLY,73234099,SN,NULL,147,106
ROB,73234143,SN,NULL,103,77
SUMMIT,73234149,SN,NULL,135,89
ANN,73234176,SN,NULL,104,104
CHAPEL,73234182,SN,NULL,72,100
