Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
TROMBLEY,13954272,SN,NULL,114,127
HIGH BRIDGE,13954292,SN,NULL,215,161
OWEN,13954309,SN,NULL,86,115
BLUFF,13954340,SN,NULL,141,125
CHAIN LAKE,13954371,SN,NULL,153,158
BROCKLIN,13954388,SN,NULL,126,131
HIGH ROCK,13954417,SN,NULL,113,108
MANN,13954425,SN,NULL,133,89
WAGNER,13954442,SN,NULL,148,143
WOODS CREEK,13954443,SN,NULL,90,128
FAIRVIEW,13954454,SN,NULL,97,98
MAY CREEK,13954469,SN,NULL,122,127
MILL,13954471,SN,NULL,128,149
STORM LAKE,13954487,SN,NULL,169,166
PIPELINE,13954507,SN,NULL,130,119
FERN,13954526,SN,NULL,41,47
IVERSON,13954534,SN,NULL,96,71
LUPINE,13954537,SN,NULL,110,88
ROBINHOOD,13954553,SN,NULL,102,97
SOFIE,13954710,SN,NULL,79,70
WEST FORK,13954750,SN,NULL,42,46
PILCHUCK RIVER,13954753,SN,NULL,14,6
RICHLAND,13954754,SN,NULL,51,40
SUNNYSIDE,14414044,SN,NULL,33,53
RAILROAD,14414318,SN,NULL,91,96
CASSIDY,14414522,SN,NULL,112,143
MILL CREEK  1,14441301,SN,NULL,177,143
MILL CREEK  2,14441302,SN,NULL,131,85
MILL CREEK  3,14441303,SN,NULL,91,66
MILL CREEK  4,14441304,SN,NULL,108,89
MILL CREEK  5,14441353,SN,NULL,191,152
MILL CREEK  6,14441354,SN,NULL,197,140
MILL CREEK  7,14441367,SN,NULL,15,6
MILL CREEK  8,14441376,SN,NULL,188,138
MILL CREEK  9,14441377,SN,NULL,150,93
MILL CREEK 10,14441472,SN,NULL,115,77
MILL CREEK 11,14441473,SN,NULL,111,85
MILL CREEK 12,14441495,SN,NULL,127,95
MILL CREEK 13,14441505,SN,NULL,122,104
MILL CREEK 14,14441629,SN,NULL,5,3
MILL CREEK 15,14441640,SN,NULL,157,114
MILL CREEK 16,14441652,SN,NULL,116,49
MILL CREEK 17,14441665,SN,NULL,155,114
MILL CREEK 18,14441666,SN,NULL,135,93
MILL CREEK 19,14441667,SN,NULL,177,161
MILL CREEK 20,14441668,SN,NULL,122,84
MILL CREEK 21,14441702,SN,NULL,76,49
MILL CREEK 22,14441703,SN,NULL,88,77
FERNWOOD,14444006,SN,NULL,136,91
BROOK,14444278,SN,NULL,157,125
HILL,14444293,SN,NULL,107,98
LARIMER,14444298,SN,NULL,128,88
MISTY,14444305,SN,NULL,163,112
OAKS,14444308,SN,NULL,165,123
PUGET PARK,14444317,SN,NULL,116,92
KENWOOD,14444348,SN,NULL,126,98
OLYMPUS,14444357,SN,NULL,109,89
