Row Label,PrecinctCode,County,Registered Voters,Crista A. Schroder,Darlene R. Johnson
Total,-1,KT,NULL,4295,3345
ALDER CREEK,1,KT,NULL,109,52
CENTERVILLE,2,KT,NULL,244,78
COLUMBUS,3,KT,NULL,25,15
E KLICKITAT,4,KT,NULL,52,39
F VALLEY,5,KT,NULL,105,238
GLENWOOD,6,KT,NULL,131,158
HUSUM,7,KT,NULL,140,213
LYLE,8,KT,NULL,183,204
MT BROOK,9,KT,NULL,124,150
N DALLES,11,KT,NULL,123,227
N F VALLEY,12,KT,NULL,136,267
PINE FOREST,13,KT,NULL,586,175
ROOSEVELT,14,KT,NULL,36,28
TROUT LAKE,16,KT,NULL,183,157
W KLICKITAT,17,KT,NULL,39,34
WISHRAM,19,KT,NULL,47,35
WOODLAND,20,KT,NULL,566,223
ORCHARD HTS,21,KT,NULL,183,53
APPLETON,22,KT,NULL,40,58
ALDERDALE,23,KT,NULL,14,22
E LYLE,24,KT,NULL,58,84
RIVER,27,KT,NULL,10,11
HGH PRAIRIE,28,KT,NULL,35,34
BINGEN,101,KT,NULL,46,81
GOLDENDALE 1,102,KT,NULL,315,117
GOLDENDALE 2,103,KT,NULL,273,105
GOLDENDALE 3,104,KT,NULL,227,79
WHITE SALMON,109,KT,NULL,157,247
N WHITE SALMON,110,KT,NULL,108,161
