Row Label,PrecinctCode,County,Registered Voters,YES,NO
Total,-1,WT,NULL,157,55
ENDICOTT IN(*),43,WT,NULL,0,0
WILCOX 138(*),138,WT,NULL,0,0
ENDICOTT 147,147,WT,NULL,56,20
