Row Label,PrecinctCode,County,Registered Voters,Kevin M. Korsmo
Total,-1,OK,NULL,6627
ALMA,1,OK,NULL,26
ANGLIN,2,OK,NULL,48
BEEMAN,3,OK,NULL,43
BODIE,4,OK,NULL,10
BONAPARTE,5,OK,NULL,17
BOSTON,6,OK,NULL,46
BREWSTER RURAL,7,OK,NULL,33
CARLTON,8,OK,NULL,26
CHESAW,9,OK,NULL,22
CONCONULLY RURAL,10,OK,NULL,25
DUCK LAKE,11,OK,NULL,18
DULEY LAKE,12,OK,NULL,22
EASTLAKE,13,OK,NULL,22
EASTSIDE,14,OK,NULL,48
ELLISFORDE,15,OK,NULL,39
ELMERTON,16,OK,NULL,64
ELMWAY,17,OK,NULL,27
HAVILLAH,18,OK,NULL,37
LOOMIS,19,OK,NULL,25
MALOTT,20,OK,NULL,56
MAZAMA,21,OK,NULL,54
METHOW,22,OK,NULL,45
MISSION,23,OK,NULL,20
MOLSON,24,OK,NULL,40
MONSE #1,25,OK,NULL,40
NESPELEM RURAL,27,OK,NULL,19
NIGHTHAWK,28,OK,NULL,15
NORTH OMAK,29,OK,NULL,19
PATEROS RURAL,30,OK,NULL,26
PINE CREEK,31,OK,NULL,22
POGUE,32,OK,NULL,46
RIVERSIDE RURAL,33,OK,NULL,57
SAN POIL,34,OK,NULL,50
SOUTH OROVILLE,35,OK,NULL,43
SPRING COULEE,36,OK,NULL,33
TONASKET RURAL,37,OK,NULL,19
TUNK CREEK,38,OK,NULL,49
TWISP RURAL,39,OK,NULL,34
WOLF CREEK,40,OK,NULL,37
WAUCONDA,41,OK,NULL,29
WESTLAKE,42,OK,NULL,22
WHITESTONE,43,OK,NULL,15
WINTHROP RURAL,44,OK,NULL,50
CHILIWIST,45,OK,NULL,25
MONSE #3,46,OK,NULL,22
OKANOGAN RURAL,47,OK,NULL,18
AENEAS,48,OK,NULL,28
COLUMBIA,49,OK,NULL,20
CRUMBACHER,50,OK,NULL,38
DISAUTEL,51,OK,NULL,17
HUDSON,52,OK,NULL,17
KIPLING,53,OK,NULL,19
ORCHARD,54,OK,NULL,22
TORODA,55,OK,NULL,43
BEAVER CREEK,56,OK,NULL,23
BLACK CANYON,57,OK,NULL,24
BUFFALO LAKE,58,OK,NULL,20
COPPLE,59,OK,NULL,29
EDELWEISS,60,OK,NULL,40
ENGH,61,OK,NULL,45
FINLEY CANYON,62,OK,NULL,40
JANIS,63,OK,NULL,21
LEESE,64,OK,NULL,12
LIBBY CREEK,65,OK,NULL,43
MCGINNIS LAKE,66,OK,NULL,11
NORTH STAR,67,OK,NULL,11
OWHI,68,OK,NULL,23
PALMER LAKE,69,OK,NULL,31
PINE CONE,70,OK,NULL,22
POORMAN CREEK,71,OK,NULL,54
SAND FLAT,72,OK,NULL,48
SOURDOUGH,74,OK,NULL,42
TWIN LAKES,75,OK,NULL,56
VALLEY,76,OK,NULL,30
WANNACUT,77,OK,NULL,47
WEST CHEWUCH,78,OK,NULL,42
CANAL,79,OK,NULL,30
AIRPORT,81,OK,NULL,38
BALKY HILL,82,OK,NULL,29
BRIDGE CREEK,83,OK,NULL,22
CROSSROADS,84,OK,NULL,26
DAVIS LAKE,85,OK,NULL,37
GREENACRES,86,OK,NULL,20
JOHNSON CREEK,87,OK,NULL,38
LEWIS BUTTE,88,OK,NULL,50
LIME BELT,89,OK,NULL,16
MCCLURE MTN,90,OK,NULL,41
MOCCASIN LAKE,91,OK,NULL,46
NORTH MALOTT,92,OK,NULL,40
PATTERSON LAKE,93,OK,NULL,52
PEARRYGIN LAKE,94,OK,NULL,27
