Row Label,PrecinctCode,County,Registered Voters,Scott G. Weber,Deanna Pauli-Hammond
695,695,CR,NULL,363,246
696,696,CR,NULL,376,285
697,697,CR,NULL,392,308
698,698,CR,NULL,363,179
699,699,CR,NULL,320,199
700,700,CR,NULL,64,36
710,710,CR,NULL,136,110
720,720,CR,NULL,264,169
900,900,CR,NULL,327,211
903,903,CR,NULL,302,251
905,905,CR,NULL,372,230
910,910,CR,NULL,291,225
912,912,CR,NULL,247,220
913,913,CR,NULL,410,240
914,914,CR,NULL,381,196
917,917,CR,NULL,215,158
920,920,CR,NULL,306,176
925,925,CR,NULL,334,168
930,930,CR,NULL,378,208
935,935,CR,NULL,398,197
940,940,CR,NULL,319,213
947,947,CR,NULL,289,170
950,950,CR,NULL,294,240
951,951,CR,NULL,228,277
953,953,CR,NULL,123,124
957,957,CR,NULL,91,35
958,958,CR,NULL,57,39
959,959,CR,NULL,22,11
960,960,CR,NULL,416,253
961,961,CR,NULL,64,37
962,962,CR,NULL,308,144
963,963,CR,NULL,233,195
964,964,CR,NULL,367,230
965,965,CR,NULL,356,200
966,966,CR,NULL,284,99
967,967,CR,NULL,228,124
968,968,CR,NULL,260,215
969,969,CR,NULL,195,137
985,985,CR,NULL,230,237
