Row Label,PrecinctCode,County,Registered Voters,John P. Hagensen
Total,-1,CR,NULL,78909
100,100,CR,NULL,404
102,102,CR,NULL,319
104,104,CR,NULL,386
106,106,CR,NULL,342
108,108,CR,NULL,369
110,110,CR,NULL,381
112,112,CR,NULL,36
113,113,CR,NULL,221
120,120,CR,NULL,451
130,130,CR,NULL,380
147,147,CR,NULL,312
150,150,CR,NULL,245
153,153,CR,NULL,275
160,160,CR,NULL,317
170,170,CR,NULL,303
175,175,CR,NULL,280
180,180,CR,NULL,331
190,190,CR,NULL,402
200,200,CR,NULL,413
220,220,CR,NULL,299
225,225,CR,NULL,526
240,240,CR,NULL,452
245,245,CR,NULL,428
250,250,CR,NULL,481
255,255,CR,NULL,405
257,257,CR,NULL,415
290,290,CR,NULL,392
294,294,CR,NULL,254
296,296,CR,NULL,284
298,298,CR,NULL,241
325,325,CR,NULL,300
327,327,CR,NULL,407
330,330,CR,NULL,405
335,335,CR,NULL,314
337,337,CR,NULL,342
338,338,CR,NULL,386
340,340,CR,NULL,393
350,350,CR,NULL,321
360,360,CR,NULL,385
370,370,CR,NULL,280
390,390,CR,NULL,470
395,395,CR,NULL,111
400,400,CR,NULL,230
410,410,CR,NULL,448
415,415,CR,NULL,297
420,420,CR,NULL,385
423,423,CR,NULL,314
424,424,CR,NULL,454
425,425,CR,NULL,291
426,426,CR,NULL,529
430,430,CR,NULL,280
432,432,CR,NULL,297
434,434,CR,NULL,271
435,435,CR,NULL,268
436,436,CR,NULL,220
440,440,CR,NULL,383
441,441,CR,NULL,386
444,444,CR,NULL,486
445,445,CR,NULL,480
446,446,CR,NULL,375
447,447,CR,NULL,464
448,448,CR,NULL,481
449,449,CR,NULL,506
450,450,CR,NULL,465
451,451,CR,NULL,375
452,452,CR,NULL,347
453,453,CR,NULL,359
455,455,CR,NULL,285
456,456,CR,NULL,530
460,460,CR,NULL,565
470,470,CR,NULL,507
480,480,CR,NULL,523
483,483,CR,NULL,535
485,485,CR,NULL,250
487,487,CR,NULL,193
490,490,CR,NULL,265
491,491,CR,NULL,25
500,500,CR,NULL,399
502,502,CR,NULL,339
503,503,CR,NULL,288
505,505,CR,NULL,446
510,510,CR,NULL,259
511,511,CR,NULL,24
515,515,CR,NULL,449
520,520,CR,NULL,211
521,521,CR,NULL,6
522,522,CR,NULL,137
523,523,CR,NULL,4
524,524,CR,NULL,38
525,525,CR,NULL,237
527,527,CR,NULL,306
528,528,CR,NULL,326
530,530,CR,NULL,158
535,535,CR,NULL,477
536,536,CR,NULL,234
537,537,CR,NULL,159
538,538,CR,NULL,200
540,540,CR,NULL,403
543,543,CR,NULL,353
545,545,CR,NULL,268
550,550,CR,NULL,447
553,553,CR,NULL,367
555,555,CR,NULL,453
560,560,CR,NULL,395
563,563,CR,NULL,439
565,565,CR,NULL,313
566,566,CR,NULL,266
570,570,CR,NULL,383
571,571,CR,NULL,369
572,572,CR,NULL,496
573,573,CR,NULL,488
574,574,CR,NULL,16
575,575,CR,NULL,118
576,576,CR,NULL,3
577,577,CR,NULL,494
578,578,CR,NULL,32
579,579,CR,NULL,15
580,580,CR,NULL,262
581,581,CR,NULL,190
582,582,CR,NULL,314
583,583,CR,NULL,301
584,584,CR,NULL,361
585,585,CR,NULL,456
586,586,CR,NULL,345
587,587,CR,NULL,312
588,588,CR,NULL,231
590,590,CR,NULL,505
591,591,CR,NULL,477
592,592,CR,NULL,449
593,593,CR,NULL,389
594,594,CR,NULL,13
595,595,CR,NULL,213
596,596,CR,NULL,0
597,597,CR,NULL,37
598,598,CR,NULL,10
600,600,CR,NULL,200
603,603,CR,NULL,204
605,605,CR,NULL,354
606,606,CR,NULL,67
610,610,CR,NULL,513
613,613,CR,NULL,161
615,615,CR,NULL,168
617,617,CR,NULL,385
618,618,CR,NULL,401
620,620,CR,NULL,418
624,624,CR,NULL,96
625,625,CR,NULL,391
626,626,CR,NULL,380
627,627,CR,NULL,387
628,628,CR,NULL,436
629,629,CR,NULL,349
630,630,CR,NULL,316
631,631,CR,NULL,447
632,632,CR,NULL,210
633,633,CR,NULL,376
634,634,CR,NULL,345
635,635,CR,NULL,304
636,636,CR,NULL,324
638,638,CR,NULL,351
639,639,CR,NULL,354
640,640,CR,NULL,405
641,641,CR,NULL,150
642,642,CR,NULL,175
643,643,CR,NULL,384
644,644,CR,NULL,395
645,645,CR,NULL,473
646,646,CR,NULL,196
647,647,CR,NULL,256
648,648,CR,NULL,326
649,649,CR,NULL,325
650,650,CR,NULL,392
651,651,CR,NULL,270
652,652,CR,NULL,361
653,653,CR,NULL,341
654,654,CR,NULL,271
655,655,CR,NULL,378
656,656,CR,NULL,191
658,658,CR,NULL,332
659,659,CR,NULL,392
660,660,CR,NULL,414
662,662,CR,NULL,403
663,663,CR,NULL,277
664,664,CR,NULL,401
667,667,CR,NULL,305
668,668,CR,NULL,382
669,669,CR,NULL,335
670,670,CR,NULL,409
672,672,CR,NULL,341
673,673,CR,NULL,427
674,674,CR,NULL,341
675,675,CR,NULL,246
677,677,CR,NULL,370
678,678,CR,NULL,295
679,679,CR,NULL,272
680,680,CR,NULL,310
681,681,CR,NULL,321
682,682,CR,NULL,355
683,683,CR,NULL,347
685,685,CR,NULL,100
686,686,CR,NULL,293
687,687,CR,NULL,375
688,688,CR,NULL,328
689,689,CR,NULL,405
690,690,CR,NULL,380
691,691,CR,NULL,385
692,692,CR,NULL,417
693,693,CR,NULL,236
694,694,CR,NULL,155
695,695,CR,NULL,426
696,696,CR,NULL,445
697,697,CR,NULL,498
698,698,CR,NULL,346
699,699,CR,NULL,338
700,700,CR,NULL,67
710,710,CR,NULL,187
720,720,CR,NULL,296
900,900,CR,NULL,369
903,903,CR,NULL,409
905,905,CR,NULL,402
910,910,CR,NULL,392
912,912,CR,NULL,346
913,913,CR,NULL,431
914,914,CR,NULL,409
917,917,CR,NULL,294
920,920,CR,NULL,337
925,925,CR,NULL,364
930,930,CR,NULL,374
935,935,CR,NULL,397
940,940,CR,NULL,345
947,947,CR,NULL,324
950,950,CR,NULL,385
951,951,CR,NULL,353
953,953,CR,NULL,184
957,957,CR,NULL,73
958,958,CR,NULL,70
959,959,CR,NULL,15
960,960,CR,NULL,436
961,961,CR,NULL,77
962,962,CR,NULL,291
963,963,CR,NULL,322
964,964,CR,NULL,404
965,965,CR,NULL,355
966,966,CR,NULL,235
967,967,CR,NULL,227
968,968,CR,NULL,345
969,969,CR,NULL,228
985,985,CR,NULL,331
