Row Label,PrecinctCode,County,Registered Voters,Joel Kretz,Ronnie Rae
Total,-1,SP,NULL,14511,3247
PCT 7000,7000,SP,NULL,573,103
PCT 7001,7001,SP,NULL,300,85
PCT 7002,7002,SP,NULL,310,54
PCT 7003,7003,SP,NULL,412,91
PCT 7004,7004,SP,NULL,435,62
PCT 7005,7005,SP,NULL,559,142
PCT 7006,7006,SP,NULL,410,92
PCT 7007,7007,SP,NULL,330,101
PCT 7008,7008,SP,NULL,486,90
PCT 7009,7009,SP,NULL,532,117
PCT 7010,7010,SP,NULL,319,65
PCT 7011,7011,SP,NULL,264,42
PCT 7012,7012,SP,NULL,389,68
PCT 7013,7013,SP,NULL,387,55
PCT 7014,7014,SP,NULL,351,88
PCT 7015,7015,SP,NULL,366,74
PCT 7016,7016,SP,NULL,500,93
PCT 7017,7017,SP,NULL,401,78
PCT 7018,7018,SP,NULL,429,113
PCT 7019,7019,SP,NULL,365,66
PCT 7020,7020,SP,NULL,417,80
PCT 7021,7021,SP,NULL,232,53
PCT 7022,7022,SP,NULL,295,66
PCT 7023,7023,SP,NULL,290,63
PCT 7024,7024,SP,NULL,510,99
PCT 7025,7025,SP,NULL,351,86
PCT 7026,7026,SP,NULL,373,91
PCT 7027,7027,SP,NULL,279,75
PCT 7028,7028,SP,NULL,512,117
PCT 7029,7029,SP,NULL,310,105
PCT 7030,7030,SP,NULL,381,99
PCT 7031,7031,SP,NULL,336,73
PCT 7032,7032,SP,NULL,339,101
PCT 7033,7033,SP,NULL,220,76
PCT 7034,7034,SP,NULL,204,61
PCT 7035,7035,SP,NULL,230,71
PCT 7036,7036,SP,NULL,270,51
PCT 7300,7300,SP,NULL,333,65
PCT 7301,7301,SP,NULL,265,66
PCT 7302,7302,SP,NULL,246,70
