Row Label,PrecinctCode,County,Registered Voters,Clint Didier,Dan Newhouse
Total,-1,FR,NULL,7942,6561
Pct 001,1,FR,NULL,91,108
Pct 002,2,FR,NULL,46,55
Pct 003,3,FR,NULL,24,27
Pct 004,4,FR,NULL,42,42
Pct 005,5,FR,NULL,25,43
Pct 006,6,FR,NULL,49,60
Pct 007,7,FR,NULL,42,57
Pct 008,8,FR,NULL,96,124
Pct 009,9,FR,NULL,30,40
Pct 010,10,FR,NULL,62,61
Pct 011,11,FR,NULL,50,56
Pct 012,12,FR,NULL,36,45
Pct 013,13,FR,NULL,39,40
Pct 014,14,FR,NULL,45,50
Pct 015,15,FR,NULL,48,72
Pct 016,16,FR,NULL,7,10
Pct 017,17,FR,NULL,50,79
Pct 018,18,FR,NULL,31,27
Pct 019,19,FR,NULL,99,82
Pct 020,20,FR,NULL,41,32
Pct 021,21,FR,NULL,15,29
Pct 022,22,FR,NULL,99,84
Pct 023,23,FR,NULL,167,170
Pct 024,24,FR,NULL,101,60
Pct 025,25,FR,NULL,40,30
Pct 026,26,FR,NULL,69,47
Pct 027,27,FR,NULL,35,44
Pct 028,28,FR,NULL,31,51
Pct 029,29,FR,NULL,42,60
Pct 030,30,FR,NULL,32,30
Pct 031,31,FR,NULL,37,42
Pct 032,32,FR,NULL,219,177
Pct 033,33,FR,NULL,77,80
Pct 034,34,FR,NULL,110,164
Pct 035,35,FR,NULL,61,61
Pct 036,36,FR,NULL,152,163
Pct 037,37,FR,NULL,163,138
Pct 038,38,FR,NULL,116,96
Pct 039,39,FR,NULL,120,104
Pct 040,40,FR,NULL,102,108
Pct 041,41,FR,NULL,53,84
Pct 042,42,FR,NULL,88,80
Pct 043,43,FR,NULL,85,95
Pct 044,44,FR,NULL,87,116
Pct 045,45,FR,NULL,140,126
Pct 046,46,FR,NULL,162,147
Pct 047,47,FR,NULL,8,18
Pct 048,48,FR,NULL,127,115
Pct 049,49,FR,NULL,140,130
Pct 050,50,FR,NULL,107,144
Pct 051,51,FR,NULL,141,100
Pct 052,52,FR,NULL,34,25
Pct 053,53,FR,NULL,105,79
Pct 054,54,FR,NULL,57,45
Pct 055,55,FR,NULL,180,174
Pct 056,56,FR,NULL,93,84
Pct 057,57,FR,NULL,89,108
Pct 058,58,FR,NULL,19,11
Pct 059,59,FR,NULL,141,174
Pct 060,60,FR,NULL,53,48
Pct 061,61,FR,NULL,170,121
Pct 062,62,FR,NULL,207,179
Pct 063,63,FR,NULL,117,90
Pct 064,64,FR,NULL,115,83
Pct 065,65,FR,NULL,48,61
Pct 066,66,FR,NULL,175,129
Pct 067(*),67,FR,NULL,0,0
Pct 068(*),68,FR,NULL,0,0
Pct 069,69,FR,NULL,24,13
Pct 070,70,FR,NULL,36,38
Pct 071,71,FR,NULL,132,41
Pct 072,72,FR,NULL,77,55
Pct 073,73,FR,NULL,155,132
Pct 074,74,FR,NULL,177,80
Pct 075,75,FR,NULL,27,18
Pct 076,76,FR,NULL,75,14
Pct 077,77,FR,NULL,51,14
Pct 078,78,FR,NULL,84,13
Pct 079,79,FR,NULL,106,26
Pct 080,80,FR,NULL,234,64
Pct 081,81,FR,NULL,67,5
Pct 082,82,FR,NULL,101,16
Pct 083,83,FR,NULL,71,26
Pct 084,84,FR,NULL,32,16
Pct 085,85,FR,NULL,30,22
Pct 086,86,FR,NULL,65,22
Pct 087,87,FR,NULL,52,22
Pct 088,88,FR,NULL,20,25
Pct 089,89,FR,NULL,74,47
Pct 090,90,FR,NULL,94,59
Pct 091,91,FR,NULL,4,8
Pct 092,92,FR,NULL,94,47
Pct 093,93,FR,NULL,88,72
Pct 094,94,FR,NULL,0,0
Pct 095,95,FR,NULL,53,18
Pct 096,96,FR,NULL,49,41
Pct 097,97,FR,NULL,29,21
Pct 098,98,FR,NULL,20,7
Pct 099,99,FR,NULL,29,6
Pct 100,100,FR,NULL,80,24
Pct 101,101,FR,NULL,78,34
