Row Label,PrecinctCode,County,Registered Voters,Matt Manweller
Total,-1,GR,NULL,13984
Airport 1 001,1,GR,NULL,192
Beverly 002,2,GR,NULL,28
Block 71 003,3,GR,NULL,448
Cascade Fairgrnd 004,4,GR,NULL,205
Coulee Cty Rur W 006,6,GR,NULL,77
Ephrata 5 008,8,GR,NULL,218
Ephrata 2 009,9,GR,NULL,277
Ephrata 3 010,10,GR,NULL,185
Ephrata 4 011,11,GR,NULL,335
Ephrata 7 012,12,GR,NULL,259
Ephrata 9 013,13,GR,NULL,407
George 015,15,GR,NULL,37
George Rural 016,16,GR,NULL,435
Gloyd 017,17,GR,NULL,221
Hartline Rural S 020,20,GR,NULL,24
Lakeview Park 021,21,GR,NULL,222
Longview 022,22,GR,NULL,308
Mae 023,23,GR,NULL,685
Marlin 024,24,GR,NULL,16
Marlin Rural 025,25,GR,NULL,33
Mattawa 026,26,GR,NULL,39
Mattawa Rural 027,27,GR,NULL,372
McConihe 1 028,28,GR,NULL,147
Moses Lake 5 029,29,GR,NULL,262
Moses Lake 3 030,30,GR,NULL,393
Moses Lake 4 031,31,GR,NULL,239
Moses Lake 6 032,32,GR,NULL,386
Moses Lake 7 033,33,GR,NULL,320
Moses Lake 8 034,34,GR,NULL,409
Moses Lake 11 035,35,GR,NULL,516
Moses Lake 12 036,36,GR,NULL,296
O Sullivan Dam 1 038,38,GR,NULL,397
Quincy 1 039,39,GR,NULL,213
Quincy 4 040,40,GR,NULL,121
Quincy 6 041,41,GR,NULL,354
Royal Camp 043,43,GR,NULL,375
Royal City 044,44,GR,NULL,100
Ruff 045,45,GR,NULL,38
Smyrna 1 046,46,GR,NULL,108
Soap Lake Rur E ,48,GR,NULL,67
Stratford 049,49,GR,NULL,40
Warden 050,50,GR,NULL,155
Warden Rural 051,51,GR,NULL,305
Westslope 1 053,53,GR,NULL,77
Wheeler 1 054,54,GR,NULL,179
Wilson Creek 055,55,GR,NULL,57
Wilson Crk Rural 056,56,GR,NULL,29
Airport 2 057,57,GR,NULL,165
Cascade Valley 058,58,GR,NULL,456
Westslope 2 059,59,GR,NULL,72
Smyrna 2 060,60,GR,NULL,25
East Wahluke 061,61,GR,NULL,76
Coulee Cty Rur E 062,62,GR,NULL,20
McConihe 2 063,63,GR,NULL,119
Quincy Rural S 064,64,GR,NULL,438
Greenfield 065,65,GR,NULL,43
Moses Lake 1 066,66,GR,NULL,187
Moses Lake 2 067,67,GR,NULL,209
Moses Lake 9  068,68,GR,NULL,282
O Sullivan Dam 2 069,69,GR,NULL,553
Wheeler 2 070,70,GR,NULL,510
Ephrata Rural E,74,GR,NULL,223
