Row Label,PrecinctCode,County,Registered Voters,Jim Upton,Ty Trenary
Total,-1,SN,NULL,80669,92752
BOTHELL 31,10141598,SN,NULL,99,178
BOTHELL 32,10141599,SN,NULL,92,102
BOTHELL 33,10141600,SN,NULL,116,119
BOTHELL 34,10141601,SN,NULL,114,179
BOTHELL 35,10141602,SN,NULL,119,111
BOTHELL 36,10141603,SN,NULL,111,122
BOTHELL 37,10141604,SN,NULL,150,162
BOTHELL 38,10141605,SN,NULL,120,120
BOTHELL 39,10141606,SN,NULL,88,114
BOTHELL 40,10141607,SN,NULL,161,136
BOTHELL 41,10141608,SN,NULL,114,194
BOTHELL 42,10141609,SN,NULL,135,185
BOTHELL 43,10141610,SN,NULL,92,110
BOTHELL 44,10141611,SN,NULL,82,120
BOTHELL 45,10141612,SN,NULL,56,76
BOTHELL 46,10141613,SN,NULL,128,128
BOTHELL 47,10141644,SN,NULL,117,164
ELWOOD,10144165,SN,NULL,112,143
RAINIER,10144171,SN,NULL,76,76
GRANNIS,10144266,SN,NULL,108,137
SUNSET,10144271,SN,NULL,175,167
VIEW,10144330,SN,NULL,135,160
WITHERS,10144338,SN,NULL,120,183
CAVALRY,10144370,SN,NULL,137,145
MAPLEWOOD,10144426,SN,NULL,101,129
PARKSHORE,10144479,SN,NULL,96,112
STAFFORD,10144484,SN,NULL,75,93
REDHAWK,10144552,SN,NULL,143,174
VALLEY,10144559,SN,NULL,37,46
GATEWAY,10144581,SN,NULL,115,171
SNOCADE,10144592,SN,NULL,170,197
TOTEM FALLS,10144594,SN,NULL,156,202
WOODSHIRE,10144597,SN,NULL,105,123
SILVER CREEK,10144635,SN,NULL,86,103
KENNARD,10144639,SN,NULL,105,110
GLENBAR,10144646,SN,NULL,90,102
OLDMARK,10144656,SN,NULL,144,207
KINGMAN,10144685,SN,NULL,183,218
CRYSTAL CREEK,10144691,SN,NULL,83,74
TAMBARK,10144715,SN,NULL,102,127
BEAR CREEK,10154009,SN,NULL,100,106
MALTBY,10154026,SN,NULL,139,129
CATHCART,10154032,SN,NULL,86,83
CLEARVIEW,10154062,SN,NULL,162,154
MINOR,10154170,SN,NULL,123,144
BEECHER,10154178,SN,NULL,135,148
WOODLAND,10154273,SN,NULL,80,65
CREEK,10154283,SN,NULL,146,165
PARADISE,10154310,SN,NULL,163,138
TURNER,10154329,SN,NULL,199,192
WELLINGTON,10154333,SN,NULL,150,196
WHEELER,10154334,SN,NULL,129,117
BATTERY,10154369,SN,NULL,103,89
ECHO LAKE,10154372,SN,NULL,177,169
LOST LAKE,10154375,SN,NULL,84,91
BOSTIAN,10154387,SN,NULL,98,96
REES,10154435,SN,NULL,66,48
KOKANEE,10154535,SN,NULL,60,83
POND,10154551,SN,NULL,122,125
WELCH,10154560,SN,NULL,174,148
FALLS,10154579,SN,NULL,12,21
SILER,10154657,SN,NULL,77,82
BOULDER,11014016,SN,NULL,154,217
BRYANT,11014021,SN,NULL,50,65
ARMSTRONG,11014027,SN,NULL,92,122
TRONSON,11014326,SN,NULL,68,122
HENNING,11014647,SN,NULL,171,198
NORTH FORK,11014759,SN,NULL,56,96
GRANITE FALLS 1,13911384,SN,NULL,143,125
GRANITE FALLS 2,13911385,SN,NULL,175,141
DARRINGTON,13911637,SN,NULL,140,156
GRANITE FALLS 3,13911670,SN,NULL,47,53
ARLINGTON 18,13911760,SN,NULL,0,0
NORDEN,13914011,SN,NULL,115,105
TRAFTON,13914015,SN,NULL,111,94
GREGORY,13914028,SN,NULL,108,108
HARTFORD,13914033,SN,NULL,67,73
HAZEL,13914034,SN,NULL,143,193
ROBE,13914035,SN,NULL,80,83
LOCHSLOY,13914042,SN,NULL,185,170
JIM CREEK,13914053,SN,NULL,174,182
OUTLOOK,13914057,SN,NULL,131,131
OSO,13914060,SN,NULL,77,101
NEWBERG,13914069,SN,NULL,113,107
SAUK,13914211,SN,NULL,42,75
BURN HILL,13914264,SN,NULL,130,163
SISCO,13914270,SN,NULL,146,168
PILCHUCK,13914275,SN,NULL,112,133
SLEEPY HOLLOW,13914321,SN,NULL,142,112
HEIGHTS,13914347,SN,NULL,111,160
LOOP,13914374,SN,NULL,137,118
GETCHELL,13914416,SN,NULL,113,125
PORTAGE,13914433,SN,NULL,51,70
SPADA,13914439,SN,NULL,4,3
MENZEL,13914470,SN,NULL,111,100
STILLAGUAMISH,13914496,SN,NULL,54,62
JORDAN TRAILS,13914515,SN,NULL,68,80
PILOT,13914517,SN,NULL,144,138
ARNOT,13914519,SN,NULL,90,117
BOSWORTH,13914521,SN,NULL,163,176
FIRTREE,13914529,SN,NULL,121,110
HUCKLEBERRY,13914533,SN,NULL,59,90
SANDMAN,13914555,SN,NULL,97,99
TRANGEN,13914557,SN,NULL,141,107
AIRPARK,13914573,SN,NULL,38,30
JORDAN BRIDGE,13914583,SN,NULL,38,38
MC FARLAND,13914681,SN,NULL,141,167
STAR CREEK,13914683,SN,NULL,85,84
INDEX,13951039,SN,NULL,15,36
MONROE  1,13951054,SN,NULL,147,179
MONROE  2,13951055,SN,NULL,152,130
SULTAN 1,13951070,SN,NULL,178,106
SULTAN 2,13951071,SN,NULL,119,122
MONROE  4,13951187,SN,NULL,159,132
MONROE  5,13951188,SN,NULL,196,136
SULTAN 3,13951322,SN,NULL,138,98
MONROE  3,13951431,SN,NULL,142,131
MONROE  6,13951506,SN,NULL,134,101
MONROE  7,13951548,SN,NULL,137,132
GOLD BAR 1,13951566,SN,NULL,120,95
GOLD BAR 2,13951567,SN,NULL,115,88
MONROE  8,13951568,SN,NULL,95,78
MONROE 10,13951586,SN,NULL,164,117
MONROE 11,13951587,SN,NULL,53,47
MONROE  9,13951653,SN,NULL,162,123
MONROE 12,13951654,SN,NULL,90,82
SULTAN 4,13951713,SN,NULL,118,86
PARK PLACE,13954003,SN,NULL,58,50
SULTAN RIVER,13954005,SN,NULL,130,128
TUALCO,13954007,SN,NULL,81,115
WALLACE,13954008,SN,NULL,101,83
LAKE,13954010,SN,NULL,172,164
SHORTS,13954013,SN,NULL,147,185
THREE LAKES,13954031,SN,NULL,107,117
