Row Label,PrecinctCode,County,Registered Voters,Jim Upton,Ty Trenary
ROOSEVELT,13954036,SN,NULL,73,73
SKYKOMISH,13954041,SN,NULL,35,54
OLNEY,13954043,SN,NULL,156,134
WINTER LAKE,13954058,SN,NULL,94,69
HIGHLAND,13954064,SN,NULL,107,101
TROMBLEY,13954272,SN,NULL,133,121
HIGH BRIDGE,13954292,SN,NULL,192,205
OWEN,13954309,SN,NULL,121,102
BLUFF,13954340,SN,NULL,136,143
CHAIN LAKE,13954371,SN,NULL,197,158
BROCKLIN,13954388,SN,NULL,148,133
HIGH ROCK,13954417,SN,NULL,118,117
MANN,13954425,SN,NULL,140,93
WAGNER,13954442,SN,NULL,152,157
WOODS CREEK,13954443,SN,NULL,115,115
FAIRVIEW,13954454,SN,NULL,116,96
MAY CREEK,13954469,SN,NULL,137,124
MILL,13954471,SN,NULL,146,156
STORM LAKE,13954487,SN,NULL,207,164
PIPELINE,13954507,SN,NULL,121,144
FERN,13954526,SN,NULL,43,60
IVERSON,13954534,SN,NULL,100,79
LUPINE,13954537,SN,NULL,121,99
ROBINHOOD,13954553,SN,NULL,113,108
SOFIE,13954710,SN,NULL,64,91
WEST FORK,13954750,SN,NULL,55,38
PILCHUCK RIVER,13954753,SN,NULL,15,6
RICHLAND,13954754,SN,NULL,42,56
SUNNYSIDE,14414044,SN,NULL,49,35
RAILROAD,14414318,SN,NULL,100,98
CASSIDY,14414522,SN,NULL,151,114
MILL CREEK  1,14441301,SN,NULL,107,219
MILL CREEK  2,14441302,SN,NULL,94,133
MILL CREEK  3,14441303,SN,NULL,65,101
MILL CREEK  4,14441304,SN,NULL,81,128
MILL CREEK  5,14441353,SN,NULL,130,220
MILL CREEK  6,14441354,SN,NULL,155,183
MILL CREEK  7,14441367,SN,NULL,8,10
MILL CREEK  8,14441376,SN,NULL,148,203
MILL CREEK  9,14441377,SN,NULL,114,151
MILL CREEK 10,14441472,SN,NULL,85,109
MILL CREEK 11,14441473,SN,NULL,86,118
MILL CREEK 12,14441495,SN,NULL,106,127
MILL CREEK 13,14441505,SN,NULL,107,129
MILL CREEK 14,14441629,SN,NULL,4,6
MILL CREEK 15,14441640,SN,NULL,119,153
MILL CREEK 16,14441652,SN,NULL,76,103
MILL CREEK 17,14441665,SN,NULL,142,136
MILL CREEK 18,14441666,SN,NULL,121,114
MILL CREEK 19,14441667,SN,NULL,174,171
MILL CREEK 20,14441668,SN,NULL,74,142
MILL CREEK 21,14441702,SN,NULL,60,74
MILL CREEK 22,14441703,SN,NULL,91,85
FERNWOOD,14444006,SN,NULL,108,122
BROOK,14444278,SN,NULL,152,163
HILL,14444293,SN,NULL,104,112
LARIMER,14444298,SN,NULL,118,131
MISTY,14444305,SN,NULL,124,156
OAKS,14444308,SN,NULL,168,127
PUGET PARK,14444317,SN,NULL,103,123
KENWOOD,14444348,SN,NULL,111,124
OLYMPUS,14444357,SN,NULL,99,113
SEATTLE HILL,14444361,SN,NULL,95,123
MERWIN,14444547,SN,NULL,78,95
CREEKSIDE,14444575,SN,NULL,77,117
DOUGLAS FIRS,14444576,SN,NULL,108,116
GRAND FIRS,14444582,SN,NULL,148,184
KATTENHORN,14444584,SN,NULL,161,210
SILVER FIRS,14444590,SN,NULL,181,150
TUCKER,14444595,SN,NULL,111,155
SPRUCE,14444658,SN,NULL,81,75
THOMAS CREEK,14444659,SN,NULL,102,131
WINDROSE,14444660,SN,NULL,183,164
STRAWBERRY,14444684,SN,NULL,131,136
DOGWOOD,14444693,SN,NULL,96,114
SNOHOMISH  1,14451014,SN,NULL,117,179
SNOHOMISH  3,14451038,SN,NULL,91,143
SNOHOMISH  5,14451056,SN,NULL,152,195
LAKE STEVENS  1,14451134,SN,NULL,167,174
LAKE STEVENS  2,14451135,SN,NULL,124,124
SNOHOMISH  7,14451144,SN,NULL,122,147
SNOHOMISH  8,14451145,SN,NULL,151,222
LAKE STEVENS  3,14451349,SN,NULL,188,164
LAKE STEVENS  4,14451418,SN,NULL,101,132
SNOHOMISH  2,14451436,SN,NULL,93,111
SNOHOMISH  4,14451437,SN,NULL,113,140
SNOHOMISH  6,14451438,SN,NULL,94,101
LAKE STEVENS  6,14451503,SN,NULL,136,138
SNOHOMISH  9,14451508,SN,NULL,65,100
LAKE STEVENS  7,14451536,SN,NULL,164,136
LAKE STEVENS  5,14451625,SN,NULL,121,107
LAKE STEVENS  8,14451649,SN,NULL,109,157
LAKE STEVENS  9,14451663,SN,NULL,121,89
LAKE STEVENS 10,14451664,SN,NULL,139,121
LAKE STEVENS 11,14451671,SN,NULL,106,72
LAKE STEVENS 12,14451672,SN,NULL,125,81
LAKE STEVENS 13,14451673,SN,NULL,131,119
LAKE STEVENS 14,14451674,SN,NULL,111,132
LAKE STEVENS 15,14451675,SN,NULL,148,165
SNOHOMISH 10,14451709,SN,NULL,60,66
LAKE STEVENS 16,14451716,SN,NULL,115,78
LAKE STEVENS 17,14451717,SN,NULL,148,109
LAKE STEVENS 18,14451718,SN,NULL,143,88
LAKE STEVENS 19,14451719,SN,NULL,136,154
LAKE STEVENS 20,14451720,SN,NULL,158,106
LAKE STEVENS 21,14451721,SN,NULL,154,163
LAKE STEVENS 22,14451722,SN,NULL,121,99
LAKE STEVENS 23,14451723,SN,NULL,105,86
LAKE STEVENS 24,14451724,SN,NULL,106,89
LAKE STEVENS 25,14451725,SN,NULL,41,41
LAKE STEVENS 26,14451726,SN,NULL,84,59
LAKE STEVENS 27,14451727,SN,NULL,74,62
LAKE STEVENS 28,14451757,SN,NULL,132,119
MARSH,14454012,SN,NULL,154,174
SOUTH SNOHOMISH,14454017,SN,NULL,104,101
WELANGDON,14454018,SN,NULL,10,9
LUDWIG,14454024,SN,NULL,104,133
SEXTON,14454029,SN,NULL,165,170
MACHIAS,14454045,SN,NULL,179,209
MARION,14454046,SN,NULL,126,105
RIVERVIEW,14454052,SN,NULL,142,137
SOUTH LAKE STEVENS,14454059,SN,NULL,131,155
FIR,14454066,SN,NULL,116,135
GLENWOOD,14454067,SN,NULL,89,104
TRAIL,14454072,SN,NULL,60,80
BERKSHIRE,14454075,SN,NULL,153,207
HAINES,14454291,SN,NULL,153,130
MEADOW,14454300,SN,NULL,110,115
PEAK,14454311,SN,NULL,7,4
PENNANT,14454312,SN,NULL,173,175
PETERSON,14454313,SN,NULL,143,189
PINEWOOD,14454315,SN,NULL,106,146
WINDSONG,14454336,SN,NULL,105,122
WOODRIDGE,14454339,SN,NULL,151,197
DUBUQUE,14454345,SN,NULL,148,106
POINTE,14454358,SN,NULL,17,27
SUNRISE,14454364,SN,NULL,75,166
VALMONT,14454366,SN,NULL,63,96
HEARTHSTONE,14454458,SN,NULL,95,109
MARKS,14454464,SN,NULL,125,146
OSBORN,14454477,SN,NULL,110,109
PANTHER CREEK,14454478,SN,NULL,137,125
PIONEER TRAILS,14454480,SN,NULL,107,157
RIDGEWAY,14454482,SN,NULL,82,85
STITCH,14454485,SN,NULL,31,53
CENTENNIAL,14454490,SN,NULL,187,186
FIRCREST,14454493,SN,NULL,67,111
GREENWOOD,14454530,SN,NULL,146,151
HAVEN,14454531,SN,NULL,137,157
HILLSIDE,14454532,SN,NULL,72,43
OHLDE,14454549,SN,NULL,149,122
RUGGS LAKE,14454554,SN,NULL,131,171
FOUR CORNERS,14454580,SN,NULL,107,162
KNOX,14454585,SN,NULL,9,6
MORNING RISE,14454588,SN,NULL,132,123
PELLERIN,14454634,SN,NULL,126,122
KENSINGTON,14454648,SN,NULL,63,79
OVERLOOK,14454706,SN,NULL,168,163
SOUTH ALDERWOOD,20134083,SN,NULL,153,174
SAMOEA,20134196,SN,NULL,134,139
POPLAR,20134316,SN,NULL,66,73
CRAWFORD,20134690,SN,NULL,48,32
MOUNTLAKE TERRACE  1,20141090,SN,NULL,126,97
MOUNTLAKE TERRACE  2,20141091,SN,NULL,110,108
MOUNTLAKE TERRACE  3,20141092,SN,NULL,92,113
MOUNTLAKE TERRACE  5,20141093,SN,NULL,117,109
MOUNTLAKE TERRACE  6,20141094,SN,NULL,100,68
MOUNTLAKE TERRACE 11,20141138,SN,NULL,115,102
MOUNTLAKE TERRACE 12,20141139,SN,NULL,102,126
MOUNTLAKE TERRACE 13,20141140,SN,NULL,130,133
MOUNTLAKE TERRACE 14,20141141,SN,NULL,120,141
MOUNTLAKE TERRACE 15,20141142,SN,NULL,95,109
BRIER 1,20141179,SN,NULL,123,155
BRIER 2,20141180,SN,NULL,90,122
BRIER 3,20141181,SN,NULL,136,249
MOUNTLAKE TERRACE 17,20141189,SN,NULL,153,185
MOUNTLAKE TERRACE 18,20141190,SN,NULL,109,140
MOUNTLAKE TERRACE 19,20141191,SN,NULL,115,143
BRIER 4,20141276,SN,NULL,113,164
BRIER 5,20141277,SN,NULL,142,193
BRIER 6,20141343,SN,NULL,70,118
BRIER 7,20141344,SN,NULL,89,132
MOUNTLAKE TERRACE  4,20141432,SN,NULL,81,93
BRIER 8,20141614,SN,NULL,105,97
MOUNTLAKE TERRACE 16,20141630,SN,NULL,88,88
NORTH CREEK,20144065,SN,NULL,105,120
LOCUST,20144078,SN,NULL,113,145
WILLOWDALE,20144085,SN,NULL,132,155
HUNT(*),20144089,SN,NULL,0,0
MERIDIAN,20144136,SN,NULL,146,141
VINE,20144146,SN,NULL,90,137
ATLAS,20144177,SN,NULL,126,188
QUEENS,20144212,SN,NULL,113,136
WAXON,20144213,SN,NULL,130,208
COUNTRY,20144281,SN,NULL,78,100
CRYSTAL,20144284,SN,NULL,96,145
THRASHERS,20144324,SN,NULL,104,113
DAMSON,20144446,SN,NULL,143,182
WANDERING CREEK,20144596,SN,NULL,138,149
NEWTON,20144705,SN,NULL,76,115
STANWOOD 1,21011199,SN,NULL,57,76
STANWOOD 2,21011200,SN,NULL,86,167
STANWOOD 3,21011509,SN,NULL,94,116
STANWOOD 4,21011641,SN,NULL,86,273
STANWOOD 5,21011669,SN,NULL,103,238
STANWOOD 6,21011711,SN,NULL,50,132
STANWOOD 7,21011712,SN,NULL,49,102
FLORENCE,21014002,SN,NULL,50,64
PORT SUSAN,21014004,SN,NULL,161,233
CEDARHOME,21014022,SN,NULL,84,189
CLIFF,21014025,SN,NULL,65,134
STANBY,21014030,SN,NULL,27,52
SILVANA,21014037,SN,NULL,93,93
LAKEWOOD,21014061,SN,NULL,109,133
VILLAGE,21014073,SN,NULL,144,227
LAKE GOODWIN,21014087,SN,NULL,190,241
KACKMAN,21014296,SN,NULL,83,121
ROWLAND,21014319,SN,NULL,75,126
THOMPSON,21014323,SN,NULL,138,182
WATERS,21014332,SN,NULL,131,213
MC RAE,21014352,SN,NULL,108,87
HAPPY VALLEY,21014457,SN,NULL,82,102
SHOECRAFT,21014483,SN,NULL,125,207
LAKE HOWARD,21014502,SN,NULL,105,164
MC DONALD,21014545,SN,NULL,100,99
KAYAK,21014638,SN,NULL,74,186
SILVANA TERRACE,21014682,SN,NULL,81,107
KETCHUM,21014700,SN,NULL,93,169
ROSE,21014708,SN,NULL,89,125
SUNDAY LAKE,21014714,SN,NULL,126,234
MUKILTEO  1,22121192,SN,NULL,127,224
MUKILTEO  2,22121193,SN,NULL,142,247
MUKILTEO  3,22121194,SN,NULL,94,135
EVERETT  56,22121259,SN,NULL,124,95
EVERETT  57,22121260,SN,NULL,116,135
MUKILTEO  4,22121262,SN,NULL,79,125
MUKILTEO  5,22121263,SN,NULL,144,225
MUKILTEO  7,22121306,SN,NULL,66,148
MUKILTEO  8,22121307,SN,NULL,88,123
MUKILTEO  9,22121355,SN,NULL,110,148
MUKILTEO 11,22121378,SN,NULL,113,129
MUKILTEO 12,22121379,SN,NULL,139,242
MUKILTEO 13,22121380,SN,NULL,85,182
MUKILTEO 14,22121381,SN,NULL,135,195
MUKILTEO 16,22121382,SN,NULL,121,232
MUKILTEO 18,22121383,SN,NULL,146,207
EVERETT  35,22121400,SN,NULL,130,130
EVERETT  64,22121405,SN,NULL,65,54
EVERETT  65,22121406,SN,NULL,106,121
EVERETT  66,22121407,SN,NULL,110,132
EVERETT  84,22121448,SN,NULL,32,39
MUKILTEO 19,22121474,SN,NULL,71,150
MUKILTEO 20,22121475,SN,NULL,163,158
EVERETT  91,22121491,SN,NULL,84,94
EVERETT  52,22121615,SN,NULL,115,109
EVERETT  61,22121616,SN,NULL,22,26
EVERETT  79,22121621,SN,NULL,124,104
EVERETT  83,22121622,SN,NULL,113,90
EVERETT  92(*),22121624,SN,NULL,0,0
MUKILTEO  6,22121631,SN,NULL,132,158
MUKILTEO 15,22121632,SN,NULL,54,39
MUKILTEO 17,22121633,SN,NULL,162,201
MUKILTEO 10,22121655,SN,NULL,85,108
EVERETT  95,22121697,SN,NULL,61,59
MUKILTEO 21,22121704,SN,NULL,56,111
HIWAY,22124068,SN,NULL,13,17
SHELBY,22124100,SN,NULL,86,126
LIND,22124185,SN,NULL,142,115
YORK,22124274,SN,NULL,142,149
WINGATE,22124337,SN,NULL,135,150
STOCK SHOW,22124486,SN,NULL,75,53
OLIVIA,22124589,SN,NULL,17,16
LYNNWOOD 19,22131422,SN,NULL,127,127
LYNNWOOD 34,22131538,SN,NULL,63,71
MEADOWDALE,22134040,SN,NULL,77,162
EMANDER,22134063,SN,NULL,127,133
ASH,22134076,SN,NULL,181,161
MANOR,22134079,SN,NULL,111,122
MANORDALE,22134080,SN,NULL,99,120
SERENE,22134082,SN,NULL,96,134
STICKNEY,22134084,SN,NULL,153,113
FIELD,22134088,SN,NULL,137,125
ALICIA,22134150,SN,NULL,140,141
CASCADE,22134152,SN,NULL,90,86
GROVE,22134183,SN,NULL,143,145
PIONEER,22134195,SN,NULL,124,117
GIBSON,22134265,SN,NULL,94,78
HEMLOCK,22134268,SN,NULL,140,199
COVE,22134282,SN,NULL,92,132
EMERALD,22134286,SN,NULL,131,115
PICNIC POINT,22134314,SN,NULL,80,130
SHORE,22134320,SN,NULL,130,159
NORMA,22134356,SN,NULL,99,114
PUGET,22134359,SN,NULL,98,126
SHADOW WOOD,22134362,SN,NULL,123,125
ALDER,22134368,SN,NULL,115,109
KEELER,22134373,SN,NULL,90,109
MARINER,22134427,SN,NULL,109,104
POST,22134434,SN,NULL,122,132
HAMPTON,22134456,SN,NULL,125,145
HIPOINT,22134459,SN,NULL,87,83
JEFF,22134460,SN,NULL,94,98
MADISON,22134463,SN,NULL,173,160
WOODGATE,22134489,SN,NULL,76,73
FAIRWOOD,22134492,SN,NULL,61,56
STONE GATE,22134497,SN,NULL,94,107
HILLMAN,22134501,SN,NULL,87,141
BEVERLY,22134520,SN,NULL,125,117
ADMIRALTY,22134642,SN,NULL,93,86
AVALON,22134688,SN,NULL,58,76
DALE,22134692,SN,NULL,136,121
JEFFERSON,22134699,SN,NULL,94,89
LUNDS GULCH,22134758,SN,NULL,46,48
MARTHA LAKE,22144081,SN,NULL,103,145
EAST SHORE,22144131,SN,NULL,105,159
FREEWAY,22144166,SN,NULL,110,155
ROYAL,22144209,SN,NULL,189,171
CASCADIAN,22144279,SN,NULL,152,160
CLOVER,22144280,SN,NULL,107,98
KENTISH,22144297,SN,NULL,100,90
WALNUT,22144331,SN,NULL,92,89
EVERGREEN,22144415,SN,NULL,75,88
FOREST,22144455,SN,NULL,122,150
NORTHROAD,22144476,SN,NULL,163,169
RHODY RIDGE,22144481,SN,NULL,59,113
FILBERT,22144527,SN,NULL,165,141
MEADOWCREST,22144546,SN,NULL,111,144
TERRACE,22144556,SN,NULL,27,26
ELFIN,22144578,SN,NULL,75,74
BUTTERNUT,22144689,SN,NULL,116,125
POPPY,22144707,SN,NULL,83,77
LYNNWOOD  1,23231115,SN,NULL,62,59
LYNNWOOD  2,23231116,SN,NULL,88,102
LYNNWOOD  3,23231117,SN,NULL,110,114
LYNNWOOD  4,23231118,SN,NULL,99,98
LYNNWOOD  5,23231119,SN,NULL,79,63
LYNNWOOD  6,23231120,SN,NULL,110,112
LYNNWOOD  7,23231121,SN,NULL,128,165
LYNNWOOD  8,23231122,SN,NULL,88,93
LYNNWOOD  9,23231123,SN,NULL,130,158
LYNNWOOD 10,23231124,SN,NULL,72,68
LYNNWOOD 11,23231125,SN,NULL,124,122
LYNNWOOD 13,23231168,SN,NULL,110,88
LYNNWOOD 16,23231186,SN,NULL,105,114
LYNNWOOD 17,23231201,SN,NULL,163,149
LYNNWOOD 18,23231202,SN,NULL,109,137
LYNNWOOD 20,23231203,SN,NULL,118,105
LYNNWOOD 22,23231204,SN,NULL,79,86
LYNNWOOD 23,23231205,SN,NULL,112,121
LYNNWOOD 24,23231206,SN,NULL,102,94
LYNNWOOD 28,23231207,SN,NULL,76,74
LYNNWOOD 29,23231208,SN,NULL,153,176
LYNNWOOD 30,23231210,SN,NULL,164,116
LYNNWOOD 12,23231419,SN,NULL,140,115
LYNNWOOD 14,23231420,SN,NULL,103,95
LYNNWOOD 15,23231421,SN,NULL,103,87
LYNNWOOD 21,23231423,SN,NULL,103,148
LYNNWOOD 31,23231424,SN,NULL,83,66
LYNNWOOD 32(*),23231462,SN,NULL,0,0
LYNNWOOD 33,23231516,SN,NULL,152,108
LYNNWOOD 25,23231626,SN,NULL,140,158
LYNNWOOD 26,23231627,SN,NULL,136,116
HILLTOP,23234077,SN,NULL,162,179
CYPRESS,23234175,SN,NULL,128,120
LAURA,23234184,SN,NULL,144,162
ALDERCREST,23234444,SN,NULL,32,18
LARCH,23234461,SN,NULL,119,128
MAGNOLIA,23234539,SN,NULL,102,102
PACIFIC,23234550,SN,NULL,36,29
RIDGEVIEW,23234755,SN,NULL,54,70
MOUNTLAKE TERRACE  7,23241095,SN,NULL,84,48
MOUNTLAKE TERRACE  8,23241096,SN,NULL,118,105
MOUNTLAKE TERRACE  9,23241097,SN,NULL,74,76
MOUNTLAKE TERRACE 10,23241137,SN,NULL,138,194
NILE,23244749,SN,NULL,0,0
MARYSVILLE  1,23811047,SN,NULL,98,78
MARYSVILLE  2,23811048,SN,NULL,57,57
MARYSVILLE  4,23811128,SN,NULL,118,88
MARYSVILLE  6,23811129,SN,NULL,113,84
MARYSVILLE  3,23811261,SN,NULL,142,148
MARYSVILLE  9,23811299,SN,NULL,63,65
MARYSVILLE 11,23811342,SN,NULL,150,197
MARYSVILLE  7,23811350,SN,NULL,94,84
MARYSVILLE  8,23811351,SN,NULL,132,113
MARYSVILLE 10,23811429,SN,NULL,91,107
MARYSVILLE 13,23811430,SN,NULL,123,99
MARYSVILLE 15,23811465,SN,NULL,116,145
MARYSVILLE 17,23811467,SN,NULL,134,119
MARYSVILLE 20,23811504,SN,NULL,127,132
MARYSVILLE 26,23811544,SN,NULL,130,177
MARYSVILLE 27,23811571,SN,NULL,176,160
MARYSVILLE 28,23811572,SN,NULL,95,72
MARYSVILLE 25,23811650,SN,NULL,78,72
MARYSVILLE 29,23811651,SN,NULL,72,79
MARYSVILLE 32,23811679,SN,NULL,87,107
MARYSVILLE 35,23811728,SN,NULL,127,141
MARYSVILLE 36,23811729,SN,NULL,88,104
MARYSVILLE 37,23811730,SN,NULL,71,109
MARYSVILLE 38,23811731,SN,NULL,106,90
MARYSVILLE 39,23811732,SN,NULL,97,132
MARYSVILLE 40,23811733,SN,NULL,108,108
MARYSVILLE 41,23811734,SN,NULL,97,92
MARYSVILLE 42,23811735,SN,NULL,116,102
MARYSVILLE 43,23811736,SN,NULL,138,121
MARYSVILLE 46,23811739,SN,NULL,141,221
MARYSVILLE 47,23811740,SN,NULL,132,134
MARYSVILLE 48,23811741,SN,NULL,114,97
MARYSVILLE 49,23811742,SN,NULL,88,118
MARYSVILLE 50,23811743,SN,NULL,127,139
MARYSVILLE 51,23811744,SN,NULL,68,50
LOMA,23814167,SN,NULL,97,153
TIMBER,23814325,SN,NULL,0,0
WILLOW,23814335,SN,NULL,91,129
STRAUS,23814363,SN,NULL,139,220
WENBERG,23814488,SN,NULL,93,187
EVERETT   1,23821214,SN,NULL,91,227
EVERETT   2,23821215,SN,NULL,77,178
EVERETT   3,23821216,SN,NULL,94,111
EVERETT   4,23821217,SN,NULL,89,166
EVERETT   6,23821218,SN,NULL,82,101
EVERETT   8,23821219,SN,NULL,120,97
EVERETT  11,23821220,SN,NULL,112,193
EVERETT  12,23821221,SN,NULL,96,114
EVERETT  13,23821222,SN,NULL,92,102
EVERETT  14,23821223,SN,NULL,105,126
EVERETT  15,23821224,SN,NULL,116,110
EVERETT  16,23821225,SN,NULL,104,88
EVERETT  17,23821226,SN,NULL,64,75
EVERETT  18,23821227,SN,NULL,123,201
EVERETT  19,23821228,SN,NULL,93,131
EVERETT  20,23821229,SN,NULL,107,123
EVERETT  21,23821230,SN,NULL,149,189
EVERETT  22,23821231,SN,NULL,100,112
EVERETT  24,23821232,SN,NULL,101,154
EVERETT  25,23821233,SN,NULL,87,122
EVERETT  26,23821234,SN,NULL,130,234
EVERETT  27,23821235,SN,NULL,103,169
EVERETT  28,23821236,SN,NULL,83,108
EVERETT  29,23821237,SN,NULL,106,90
EVERETT  31,23821238,SN,NULL,98,84
EVERETT  32,23821239,SN,NULL,131,122
EVERETT  33,23821240,SN,NULL,166,165
EVERETT  34,23821241,SN,NULL,93,88
EVERETT  36,23821242,SN,NULL,121,88
EVERETT  37,23821243,SN,NULL,128,123
EVERETT  38,23821244,SN,NULL,23,40
EVERETT  39,23821245,SN,NULL,111,127
EVERETT  40,23821246,SN,NULL,64,48
EVERETT  41,23821247,SN,NULL,84,108
EVERETT  42,23821248,SN,NULL,83,101
EVERETT  43,23821249,SN,NULL,83,63
EVERETT  44,23821250,SN,NULL,84,88
EVERETT  45,23821251,SN,NULL,104,99
EVERETT  48,23821252,SN,NULL,107,99
EVERETT  49,23821253,SN,NULL,122,168
