Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
Total,-1,MA,NULL,13214
PICKERING,113,MA,NULL,353
HARSTINE,114,MA,NULL,489
GRAPEVIEW,115,MA,NULL,471
MASON LAKE,116,MA,NULL,315
FAIR HARBOR,117,MA,NULL,277
ALLYN,118,MA,NULL,647
VICTOR,119,MA,NULL,263
BELFAIR,120,MA,NULL,330
TIGER LAKE,121,MA,NULL,214
DEWATTO,122,MA,NULL,409
TAHUYA,123,MA,NULL,379
SAND HILL,124,MA,NULL,432
TRAIL&#39;S END,125,MA,NULL,410
TWANOH,126,MA,NULL,245
BORDEAUX,205,MA,NULL,62
KAMILCHE POINT,207,MA,NULL,207
UNION,227,MA,NULL,571
SKOKOMISH,228,MA,NULL,90
HOOD CANAL,229,MA,NULL,398
CUSHMAN,230,MA,NULL,462
EELLS,231,MA,NULL,121
MATLOCK,232,MA,NULL,320
DAYTON,233,MA,NULL,284
KAMILCHE,234,MA,NULL,162
ISABELLA,235,MA,NULL,227
AIRPORT,236,MA,NULL,448
JOHN&#39;S PRAIRIE,237,MA,NULL,293
LIMERICK,238,MA,NULL,514
OLYMPIC VIEW,301,MA,NULL,448
DOWNTOWN,302,MA,NULL,312
ANGLESIDE,303,MA,NULL,382
HILLCREST,304,MA,NULL,275
FAWN LAKE,306,MA,NULL,441
ARCADIA,308,MA,NULL,402
MILL CREEK,309,MA,NULL,437
AGATE,310,MA,NULL,345
OAKLAND BAY,311,MA,NULL,291
TIMBERLAKE,312,MA,NULL,478
CALLANAN,339,MA,NULL,10
