Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,LI,NULL,2592,825
ALMIRA RURAL,1,LI,NULL,16,5
BLUESTEM,2,LI,NULL,6,5
CANBY,3,LI,NULL,28,4
CRESTON RURAL,4,LI,NULL,35,10
WHEATLAND,5,LI,NULL,47,19
DAVENPORT RURAL,6,LI,NULL,60,11
DOWNS,7,LI,NULL,11,7
EARL,8,LI,NULL,18,5
EDWALL,9,LI,NULL,34,12
EGYPT,10,LI,NULL,67,27
ENOS,11,LI,NULL,7,2
GOVAN,12,LI,NULL,15,3
GRAND COULEE,13,LI,NULL,20,6
GRAVELLE,14,LI,NULL,24,12
HARR RURAL,15,LI,NULL,24,9
HAWK CREEK,16,LI,NULL,40,25
IRBY,17,LI,NULL,17,2
KELLER,18,LI,NULL,38,11
LAKEVIEW,19,LI,NULL,80,17
LAMONA,20,LI,NULL,18,4
EAST LARENE,21,LI,NULL,54,13
WEST LARENE,22,LI,NULL,28,9
LAYTON,23,LI,NULL,9,2
LONG LAKE,24,LI,NULL,43,16
MOHLER,25,LI,NULL,18,6
MONDOVI,26,LI,NULL,43,20
ODESSA RURAL,27,LI,NULL,51,13
PEACH,28,LI,NULL,87,20
N REARDAN RURAL,29,LI,NULL,28,6
S REARDAN RURAL,30,LI,NULL,26,9
RIVERVIEW,31,LI,NULL,92,42
SEVEN BAYS,32,LI,NULL,41,10
SHERMAN,33,LI,NULL,38,8
SPRAGUE RURAL,34,LI,NULL,64,21
SPRING CREEK,35,LI,NULL,53,15
WILBUR RURAL,36,LI,NULL,49,17
WAUKON,37,LI,NULL,31,10
WILSON CREEK,38,LI,NULL,16,6
ALMIRA IN,39,LI,NULL,65,18
CRESTON IN,40,LI,NULL,48,14
DAVENPORT IN,41,LI,NULL,345,128
HARRINGTON IN,42,LI,NULL,81,28
ODESSA IN,43,LI,NULL,235,53
REARDAN IN,44,LI,NULL,146,34
SPRAGUE IN,45,LI,NULL,77,37
WILBUR IN,46,LI,NULL,219,74
