Row Label,PrecinctCode,County,Registered Voters,Sherri L. Brewer
Total,-1,AD,NULL,2712
Ritzville Ward #1,111,AD,NULL,81
Ritzville Ward #2,112,AD,NULL,83
Ritzville Ward #3,113,AD,NULL,138
Ritzville Ward #4,114,AD,NULL,106
Ritzville Ward #5,115,AD,NULL,123
Ritzville Rural NW,121,AD,NULL,126
Ritzville Rural SE,122,AD,NULL,113
Batum,123,AD,NULL,68
Benge,211,AD,NULL,19
Washtucna City #1,212,AD,NULL,86
Washtucna Rural,221,AD,NULL,57
Ralston,222,AD,NULL,25
Lind #1,311,AD,NULL,156
Hatton City,313,AD,NULL,15
Lind Rural,321,AD,NULL,61
Fairview,322,AD,NULL,26
Schrag,323,AD,NULL,28
Hatton Rural,324,AD,NULL,26
Cunningham,325,AD,NULL,7
Othello City #1,411,AD,NULL,17
Othello City #2,412,AD,NULL,145
Othello City #3,413,AD,NULL,137
Othello City #4,414,AD,NULL,153
Othello City #5,415,AD,NULL,151
Othello City #6,416,AD,NULL,96
Othello Rural #1,511,AD,NULL,68
Othello Rural #2,512,AD,NULL,86
Othello Rural #3,513,AD,NULL,179
Othello Rural #4,514,AD,NULL,123
Othello Rural #5,515,AD,NULL,77
Othello Rural #6,516,AD,NULL,136
