Row Label,PrecinctCode,County,Registered Voters,Douglas J. Fair
Total,-1,SN,NULL,50065
ELWOOD,10144165,SN,NULL,202
GRANNIS,10144266,SN,NULL,188
SUNSET,10144271,SN,NULL,271
MAPLEWOOD,10144426,SN,NULL,174
PARKSHORE,10144479,SN,NULL,162
STAFFORD,10144484,SN,NULL,128
REDHAWK,10144552,SN,NULL,259
SILVER CREEK,10144635,SN,NULL,156
KENNARD,10144639,SN,NULL,170
GLENBAR,10144646,SN,NULL,141
OLDMARK,10144656,SN,NULL,263
CRYSTAL CREEK,10144691,SN,NULL,120
TAMBARK,10144715,SN,NULL,186
WOODLAND,10154273,SN,NULL,87
MILL CREEK  1,14441301,SN,NULL,241
MILL CREEK  2,14441302,SN,NULL,185
MILL CREEK  3,14441303,SN,NULL,142
MILL CREEK  4,14441304,SN,NULL,162
MILL CREEK  5,14441353,SN,NULL,284
MILL CREEK  6,14441354,SN,NULL,264
MILL CREEK  7,14441367,SN,NULL,17
MILL CREEK  8,14441376,SN,NULL,255
MILL CREEK  9,14441377,SN,NULL,218
MILL CREEK 10,14441472,SN,NULL,169
MILL CREEK 11,14441473,SN,NULL,153
MILL CREEK 12,14441495,SN,NULL,159
MILL CREEK 13,14441505,SN,NULL,196
MILL CREEK 14,14441629,SN,NULL,5
MILL CREEK 15,14441640,SN,NULL,211
MILL CREEK 16,14441652,SN,NULL,159
MILL CREEK 17,14441665,SN,NULL,222
MILL CREEK 18,14441666,SN,NULL,175
MILL CREEK 19,14441667,SN,NULL,292
MILL CREEK 20,14441668,SN,NULL,169
MILL CREEK 21,14441702,SN,NULL,116
MILL CREEK 22,14441703,SN,NULL,146
FERNWOOD,14444006,SN,NULL,182
BROOK,14444278,SN,NULL,251
HILL,14444293,SN,NULL,170
MISTY,14444305,SN,NULL,211
OAKS,14444308,SN,NULL,250
PUGET PARK,14444317,SN,NULL,174
KENWOOD,14444348,SN,NULL,192
OLYMPUS,14444357,SN,NULL,165
SEATTLE HILL,14444361,SN,NULL,200
DOUGLAS FIRS,14444576,SN,NULL,175
GRAND FIRS,14444582,SN,NULL,266
KATTENHORN,14444584,SN,NULL,284
SILVER FIRS,14444590,SN,NULL,270
SPRUCE,14444658,SN,NULL,114
WINDROSE,14444660,SN,NULL,294
STRAWBERRY,14444684,SN,NULL,238
DOGWOOD,14444693,SN,NULL,172
BERKSHIRE,14454075,SN,NULL,298
PINEWOOD,14454315,SN,NULL,188
HEARTHSTONE,14454458,SN,NULL,158
PIONEER TRAILS,14454480,SN,NULL,199
RUGGS LAKE,14454554,SN,NULL,209
KNOX,14454585,SN,NULL,12
SOUTH ALDERWOOD,20134083,SN,NULL,266
SAMOEA,20134196,SN,NULL,207
POPLAR,20134316,SN,NULL,104
CRAWFORD,20134690,SN,NULL,57
MOUNTLAKE TERRACE  1,20141090,SN,NULL,187
MOUNTLAKE TERRACE  2,20141091,SN,NULL,174
MOUNTLAKE TERRACE  3,20141092,SN,NULL,168
MOUNTLAKE TERRACE  5,20141093,SN,NULL,171
MOUNTLAKE TERRACE  6,20141094,SN,NULL,136
MOUNTLAKE TERRACE 11,20141138,SN,NULL,183
MOUNTLAKE TERRACE 12,20141139,SN,NULL,200
MOUNTLAKE TERRACE 13,20141140,SN,NULL,223
MOUNTLAKE TERRACE 14,20141141,SN,NULL,226
MOUNTLAKE TERRACE 15,20141142,SN,NULL,166
BRIER 1,20141179,SN,NULL,207
BRIER 2,20141180,SN,NULL,159
BRIER 3,20141181,SN,NULL,315
MOUNTLAKE TERRACE 17,20141189,SN,NULL,271
MOUNTLAKE TERRACE 18,20141190,SN,NULL,210
MOUNTLAKE TERRACE 19,20141191,SN,NULL,196
BRIER 4,20141276,SN,NULL,224
BRIER 5,20141277,SN,NULL,260
BRIER 6,20141343,SN,NULL,147
BRIER 7,20141344,SN,NULL,155
MOUNTLAKE TERRACE  4,20141432,SN,NULL,137
BRIER 8,20141614,SN,NULL,146
MOUNTLAKE TERRACE 16,20141630,SN,NULL,156
NORTH CREEK,20144065,SN,NULL,181
LOCUST,20144078,SN,NULL,197
WILLOWDALE,20144085,SN,NULL,233
HUNT,20144089,SN,NULL,3
MERIDIAN,20144136,SN,NULL,224
VINE,20144146,SN,NULL,183
ATLAS,20144177,SN,NULL,236
QUEENS,20144212,SN,NULL,191
WAXON,20144213,SN,NULL,281
COUNTRY,20144281,SN,NULL,145
CRYSTAL,20144284,SN,NULL,202
THRASHERS,20144324,SN,NULL,182
DAMSON,20144446,SN,NULL,254
WANDERING CREEK,20144596,SN,NULL,236
NEWTON,20144705,SN,NULL,144
SHELBY,22124100,SN,NULL,166
YORK,22124274,SN,NULL,230
WINGATE,22124337,SN,NULL,223
LYNNWOOD 19,22131422,SN,NULL,194
LYNNWOOD 34,22131538,SN,NULL,107
MEADOWDALE,22134040,SN,NULL,172
EMANDER,22134063,SN,NULL,227
ASH,22134076,SN,NULL,264
MANOR,22134079,SN,NULL,197
MANORDALE,22134080,SN,NULL,182
SERENE,22134082,SN,NULL,186
STICKNEY,22134084,SN,NULL,203
FIELD,22134088,SN,NULL,208
ALICIA,22134150,SN,NULL,236
CASCADE,22134152,SN,NULL,150
GROVE,22134183,SN,NULL,248
PIONEER,22134195,SN,NULL,197
GIBSON,22134265,SN,NULL,157
HEMLOCK,22134268,SN,NULL,287
COVE,22134282,SN,NULL,198
EMERALD,22134286,SN,NULL,199
PICNIC POINT,22134314,SN,NULL,172
SHORE,22134320,SN,NULL,228
NORMA,22134356,SN,NULL,172
PUGET,22134359,SN,NULL,185
SHADOW WOOD,22134362,SN,NULL,195
ALDER,22134368,SN,NULL,192
KEELER,22134373,SN,NULL,169
MARINER,22134427,SN,NULL,184
POST,22134434,SN,NULL,211
HIPOINT,22134459,SN,NULL,139
JEFF,22134460,SN,NULL,165
MADISON,22134463,SN,NULL,259
WOODGATE,22134489,SN,NULL,118
FAIRWOOD,22134492,SN,NULL,99
STONE GATE,22134497,SN,NULL,161
HILLMAN,22134501,SN,NULL,178
BEVERLY,22134520,SN,NULL,181
ADMIRALTY,22134642,SN,NULL,150
AVALON,22134688,SN,NULL,106
DALE,22134692,SN,NULL,221
JEFFERSON,22134699,SN,NULL,150
LUNDS GULCH,22134758,SN,NULL,81
MARTHA LAKE,22144081,SN,NULL,193
EAST SHORE,22144131,SN,NULL,189
FREEWAY,22144166,SN,NULL,217
ROYAL,22144209,SN,NULL,262
CASCADIAN,22144279,SN,NULL,252
CLOVER,22144280,SN,NULL,158
KENTISH,22144297,SN,NULL,160
WALNUT,22144331,SN,NULL,144
EVERGREEN,22144415,SN,NULL,136
FOREST,22144455,SN,NULL,212
NORTHROAD,22144476,SN,NULL,264
RHODY RIDGE,22144481,SN,NULL,137
FILBERT,22144527,SN,NULL,254
MEADOWCREST,22144546,SN,NULL,186
TERRACE,22144556,SN,NULL,46
ELFIN,22144578,SN,NULL,112
BUTTERNUT,22144689,SN,NULL,199
POPPY,22144707,SN,NULL,133
LYNNWOOD  1,23231115,SN,NULL,107
LYNNWOOD  2,23231116,SN,NULL,155
LYNNWOOD  3,23231117,SN,NULL,175
LYNNWOOD  4,23231118,SN,NULL,164
LYNNWOOD  5,23231119,SN,NULL,123
LYNNWOOD  6,23231120,SN,NULL,179
LYNNWOOD  7,23231121,SN,NULL,233
LYNNWOOD  8,23231122,SN,NULL,148
LYNNWOOD  9,23231123,SN,NULL,239
LYNNWOOD 10,23231124,SN,NULL,104
LYNNWOOD 11,23231125,SN,NULL,198
LYNNWOOD 13,23231168,SN,NULL,147
LYNNWOOD 16,23231186,SN,NULL,185
LYNNWOOD 17,23231201,SN,NULL,252
LYNNWOOD 18,23231202,SN,NULL,193
LYNNWOOD 20,23231203,SN,NULL,201
LYNNWOOD 22,23231204,SN,NULL,147
LYNNWOOD 23,23231205,SN,NULL,201
LYNNWOOD 24,23231206,SN,NULL,162
LYNNWOOD 28,23231207,SN,NULL,121
LYNNWOOD 29,23231208,SN,NULL,287
LYNNWOOD 30,23231210,SN,NULL,226
LYNNWOOD 12,23231419,SN,NULL,201
LYNNWOOD 14,23231420,SN,NULL,167
LYNNWOOD 15,23231421,SN,NULL,152
LYNNWOOD 21,23231423,SN,NULL,197
LYNNWOOD 31,23231424,SN,NULL,121
LYNNWOOD 32,23231462,SN,NULL,0
LYNNWOOD 33,23231516,SN,NULL,206
LYNNWOOD 25,23231626,SN,NULL,232
LYNNWOOD 26,23231627,SN,NULL,202
HILLTOP,23234077,SN,NULL,260
CYPRESS,23234175,SN,NULL,193
LAURA,23234184,SN,NULL,236
ALDERCREST,23234444,SN,NULL,44
LARCH,23234461,SN,NULL,188
MAGNOLIA,23234539,SN,NULL,164
PACIFIC,23234550,SN,NULL,59
RIDGEVIEW,23234755,SN,NULL,101
MOUNTLAKE TERRACE  7,23241095,SN,NULL,108
MOUNTLAKE TERRACE  8,23241096,SN,NULL,192
MOUNTLAKE TERRACE  9,23241097,SN,NULL,134
MOUNTLAKE TERRACE 10,23241137,SN,NULL,271
NILE,23244749,SN,NULL,0
SILVER LAKE,24444074,SN,NULL,195
DUMAS,24444285,SN,NULL,190
HOLIDAY,24444294,SN,NULL,109
EDMONDS  1,72131101,SN,NULL,218
EDMONDS  2,72131102,SN,NULL,227
EDMONDS  3,72131103,SN,NULL,257
EDMONDS  4,72131104,SN,NULL,219
EDMONDS  5,72131105,SN,NULL,152
EDMONDS  7,72131107,SN,NULL,263
EDMONDS  8,72131108,SN,NULL,295
EDMONDS  9,72131109,SN,NULL,158
EDMONDS 10,72131110,SN,NULL,258
EDMONDS 13,72131111,SN,NULL,261
EDMONDS 17,72131127,SN,NULL,189
EDMONDS 22,72131147,SN,NULL,202
EDMONDS 23,72131148,SN,NULL,268
EDMONDS 28,72131155,SN,NULL,191
EDMONDS 29,72131156,SN,NULL,233
EDMONDS 30,72131157,SN,NULL,178
EDMONDS 31,72131158,SN,NULL,241
EDMONDS 32,72131159,SN,NULL,214
EDMONDS 33,72131160,SN,NULL,199
EDMONDS 34,72131161,SN,NULL,235
EDMONDS 35,72131162,SN,NULL,191
EDMONDS 36,72131163,SN,NULL,207
EDMONDS 37,72131164,SN,NULL,214
EDMONDS 21,72131390,SN,NULL,287
EDMONDS 24,72131391,SN,NULL,157
EDMONDS 26,72131392,SN,NULL,153
EDMONDS 38,72131393,SN,NULL,241
EDMONDS 39,72131447,SN,NULL,275
EDMONDS 46,72131524,SN,NULL,360
EDMONDS 51,72131565,SN,NULL,223
EDMONDS 11,72131694,SN,NULL,241
EDMONDS  6,73231106,SN,NULL,280
EDMONDS 14,73231112,SN,NULL,166
EDMONDS 15,73231113,SN,NULL,169
EDMONDS 16,73231114,SN,NULL,166
EDMONDS 18,73231132,SN,NULL,210
EDMONDS 19,73231133,SN,NULL,243
EDMONDS 25,73231153,SN,NULL,209
EDMONDS 27,73231154,SN,NULL,175
WOODWAY 1,73231173,SN,NULL,201
WOODWAY 2,73231174,SN,NULL,129
EDMONDS 12,73231389,SN,NULL,136
EDMONDS 40,73231500,SN,NULL,207
EDMONDS 41,73231511,SN,NULL,159
EDMONDS 42,73231512,SN,NULL,157
EDMONDS 43,73231513,SN,NULL,257
EDMONDS 44,73231514,SN,NULL,194
EDMONDS 45,73231523,SN,NULL,168
EDMONDS 47,73231525,SN,NULL,121
EDMONDS 48,73231562,SN,NULL,191
EDMONDS 49,73231563,SN,NULL,185
EDMONDS 50,73231564,SN,NULL,152
EDMONDS 52,73231577,SN,NULL,192
HOLLY,73234099,SN,NULL,220
ROB,73234143,SN,NULL,138
SUMMIT,73234149,SN,NULL,181
ANN,73234176,SN,NULL,171
CHAPEL,73234182,SN,NULL,149
