Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
SIWASH CREEK,165,OK,NULL,37
SPECTACLE LAKE,166,OK,NULL,28
HIGHWAY,167,OK,NULL,15
WHISKY MTN,168,OK,NULL,8
YARNELL,169,OK,NULL,25
TONASKET #4,170,OK,NULL,28
TONASKET #5,171,OK,NULL,26
TONASKET #6,172,OK,NULL,19
TONASKET #7,173,OK,NULL,32
LEECHER MTN,174,OK,NULL,49
ALTA LAKE,175,OK,NULL,27
STARR,176,OK,NULL,18
PATEROS #3,177,OK,NULL,15
RAT LAKE,178,OK,NULL,22
BREWSTER FLAT,179,OK,NULL,33
BREWSTER #3,180,OK,NULL,26
BREWSTER #4,181,OK,NULL,15
BREWSTER #5,182,OK,NULL,18
BREWSTER #6,183,OK,NULL,17
PIONEER,184,OK,NULL,32
COLEMAN BUTTE,185,OK,NULL,38
ASTON,186,OK,NULL,22
WEST RIVER,187,OK,NULL,17
OMAK RIVER,188,OK,NULL,33
CHEROKEE,189,OK,NULL,36
NICHOLS,190,OK,NULL,15
LONE PINE,191,OK,NULL,27
OMAK MTN,192,OK,NULL,16
OMAK LAKE,193,OK,NULL,23
FIKER,194,OK,NULL,25
ROSS CANYON,195,OK,NULL,35
HENDRICK,196,OK,NULL,49
DIXON,197,OK,NULL,36
KERMEL,198,OK,NULL,39
GLOVER,199,OK,NULL,42
FLETCHER,200,OK,NULL,30
MOCK,201,OK,NULL,34
OMAK #10,202,OK,NULL,30
OMAK #11,203,OK,NULL,41
OMAK #12,204,OK,NULL,37
OMAK #13,205,OK,NULL,28
OMAK #14,206,OK,NULL,29
OMAK #15,207,OK,NULL,36
OMAK #16,208,OK,NULL,25
OMAK #17,209,OK,NULL,50
OMAK #18,210,OK,NULL,29
OMAK #19,211,OK,NULL,25
OMAK #20,212,OK,NULL,35
OMAK #21,213,OK,NULL,22
OMAK #22,214,OK,NULL,37
OMAK #23,215,OK,NULL,20
OMAK #24,216,OK,NULL,32
OKANOGAN #5,217,OK,NULL,34
OKANOGAN #6,218,OK,NULL,30
OKANOGAN #7,219,OK,NULL,14
OKANOGAN #8,220,OK,NULL,31
OKANOGAN #9,221,OK,NULL,28
OKANOGAN #10,222,OK,NULL,35
OKANOGAN #11,223,OK,NULL,32
OKANOGAN #12,224,OK,NULL,18
OKANOGAN #13,225,OK,NULL,17
AVIATION,226,OK,NULL,20
SUNSET LAKES,236,OK,NULL,12
FLATS,237,OK,NULL,26
