Row Label,PrecinctCode,County,Registered Voters,Gene Healy 
Total,-1,WK,NULL,1345
01 - DEEP RIVER,1,WK,NULL,68
02 - GRAYS RIVER,2,WK,NULL,85
03 - ROSBURG / ALTOONA,3,WK,NULL,107
04 - SKAMOKAWA,4,WK,NULL,120
05 - ELOCHOMAN,5,WK,NULL,197
06 - ROSEDALE,6,WK,NULL,112
07 - COLUMBIA,7,WK,NULL,169
08 - EAST PUGET ISLAND,8,WK,NULL,116
09 - WEST PUGET ISLAND,9,WK,NULL,208
10 - SOUTH CATHLAMET,10,WK,NULL,110
11 - NORTH CATHLAMET,11,WK,NULL,53
