Row Label,PrecinctCode,County,Registered Voters,Benjamin C. Nichols
Total,-1,AS,NULL,5927
ANATONE,1,AS,NULL,113
RURAL ASOTIN,3,AS,NULL,133
W ASOTIN,4,AS,NULL,146
SWALLOWS NEST,5,AS,NULL,357
ASOTIN #1,101,AS,NULL,179
ASOTIN #2,102,AS,NULL,186
CLARKSTON #1,201,AS,NULL,146
CLARKSTON #2,202,AS,NULL,184
CLARKSTON #3,203,AS,NULL,182
CLARKSTON #4,204,AS,NULL,200
CLARKSTON #5,205,AS,NULL,123
CLARKSTON #6,206,AS,NULL,196
CLARKSTON #7,207,AS,NULL,132
CLARKSTON #8,208,AS,NULL,186
CLARKSTON HTS #1,301,AS,NULL,256
CLARKSTON HTS #2,302,AS,NULL,457
CLARKSTON HTS #3,303,AS,NULL,105
CLARKSTON HTS #4,304,AS,NULL,257
CLARKSTON HTS #5,305,AS,NULL,455
CLARKSTON HTS #6,306,AS,NULL,412
CLARKSTON HTS #7,307,AS,NULL,304
SOUTH CLARKSTON #1,401,AS,NULL,209
SOUTH CLARKSTON #2,402,AS,NULL,276
WEST CLARKSTON #1,501,AS,NULL,236
WEST CLARKSTON #2,502,AS,NULL,220
WEST CLARKSTON #3,503,AS,NULL,277
