Row Label,PrecinctCode,County,Registered Voters,Tony Fyrqvist,Rhonda Pederson
Total,-1,SJ,NULL,3111,3804
San Juan South East,11,SJ,NULL,167,185
San Juan South West,12,SJ,NULL,254,274
San Juan Central,13,SJ,NULL,289,243
San Juan West,14,SJ,NULL,266,227
San Juan North,15,SJ,NULL,186,211
San Juan East,16,SJ,NULL,199,189
Turn Point,17,SJ,NULL,132,101
Waldron &amp; Outer Is,21,SJ,NULL,22,26
Orcas West,22,SJ,NULL,168,319
Orcas Central,23,SJ,NULL,196,290
Eastsound,24,SJ,NULL,179,356
Orcas East,25,SJ,NULL,163,269
Blakely &amp; Outer Is,26,SJ,NULL,5,12
Lopez North,31,SJ,NULL,226,383
Lopez South,32,SJ,NULL,184,279
Decatur and Outer Is,33,SJ,NULL,14,12
Shaw,41,SJ,NULL,36,45
Friday Harbor North,101,SJ,NULL,235,224
Friday Harbor South,102,SJ,NULL,190,159
