Row Label,PrecinctCode,County,Registered Voters,Sonya Langsdorf
555,555,CR,NULL,464
560,560,CR,NULL,393
563,563,CR,NULL,450
565,565,CR,NULL,328
566,566,CR,NULL,268
570,570,CR,NULL,378
571,571,CR,NULL,386
572,572,CR,NULL,505
573,573,CR,NULL,487
574,574,CR,NULL,16
575,575,CR,NULL,118
576,576,CR,NULL,4
577,577,CR,NULL,501
578,578,CR,NULL,34
579,579,CR,NULL,16
580,580,CR,NULL,263
581,581,CR,NULL,192
582,582,CR,NULL,312
583,583,CR,NULL,313
584,584,CR,NULL,361
585,585,CR,NULL,458
586,586,CR,NULL,342
587,587,CR,NULL,323
588,588,CR,NULL,237
590,590,CR,NULL,504
591,591,CR,NULL,493
592,592,CR,NULL,459
593,593,CR,NULL,396
594,594,CR,NULL,13
595,595,CR,NULL,210
596,596,CR,NULL,0
597,597,CR,NULL,37
598,598,CR,NULL,12
600,600,CR,NULL,206
603,603,CR,NULL,210
605,605,CR,NULL,351
606,606,CR,NULL,67
610,610,CR,NULL,514
613,613,CR,NULL,164
615,615,CR,NULL,168
617,617,CR,NULL,396
618,618,CR,NULL,401
620,620,CR,NULL,430
624,624,CR,NULL,99
625,625,CR,NULL,395
626,626,CR,NULL,386
627,627,CR,NULL,392
628,628,CR,NULL,446
629,629,CR,NULL,359
630,630,CR,NULL,326
631,631,CR,NULL,453
632,632,CR,NULL,209
633,633,CR,NULL,375
634,634,CR,NULL,355
635,635,CR,NULL,314
636,636,CR,NULL,322
638,638,CR,NULL,353
639,639,CR,NULL,358
640,640,CR,NULL,406
641,641,CR,NULL,155
642,642,CR,NULL,179
643,643,CR,NULL,386
644,644,CR,NULL,406
645,645,CR,NULL,474
646,646,CR,NULL,199
647,647,CR,NULL,255
648,648,CR,NULL,324
649,649,CR,NULL,338
650,650,CR,NULL,395
651,651,CR,NULL,270
652,652,CR,NULL,368
653,653,CR,NULL,351
654,654,CR,NULL,276
655,655,CR,NULL,390
656,656,CR,NULL,195
658,658,CR,NULL,345
659,659,CR,NULL,395
660,660,CR,NULL,428
662,662,CR,NULL,416
663,663,CR,NULL,283
664,664,CR,NULL,409
667,667,CR,NULL,321
668,668,CR,NULL,386
669,669,CR,NULL,337
670,670,CR,NULL,409
672,672,CR,NULL,348
673,673,CR,NULL,440
674,674,CR,NULL,348
675,675,CR,NULL,256
677,677,CR,NULL,382
678,678,CR,NULL,295
679,679,CR,NULL,277
680,680,CR,NULL,314
681,681,CR,NULL,329
682,682,CR,NULL,360
683,683,CR,NULL,352
685,685,CR,NULL,101
686,686,CR,NULL,293
687,687,CR,NULL,381
688,688,CR,NULL,332
689,689,CR,NULL,414
690,690,CR,NULL,390
691,691,CR,NULL,394
692,692,CR,NULL,425
693,693,CR,NULL,246
694,694,CR,NULL,161
695,695,CR,NULL,423
696,696,CR,NULL,444
697,697,CR,NULL,505
698,698,CR,NULL,352
699,699,CR,NULL,338
700,700,CR,NULL,66
710,710,CR,NULL,185
720,720,CR,NULL,301
900,900,CR,NULL,347
903,903,CR,NULL,394
905,905,CR,NULL,408
910,910,CR,NULL,376
912,912,CR,NULL,338
913,913,CR,NULL,423
914,914,CR,NULL,410
917,917,CR,NULL,271
920,920,CR,NULL,312
925,925,CR,NULL,336
930,930,CR,NULL,353
935,935,CR,NULL,378
940,940,CR,NULL,332
947,947,CR,NULL,316
950,950,CR,NULL,378
951,951,CR,NULL,328
953,953,CR,NULL,176
957,957,CR,NULL,76
958,958,CR,NULL,71
959,959,CR,NULL,17
960,960,CR,NULL,440
961,961,CR,NULL,75
962,962,CR,NULL,273
963,963,CR,NULL,304
964,964,CR,NULL,404
965,965,CR,NULL,348
966,966,CR,NULL,233
967,967,CR,NULL,229
968,968,CR,NULL,346
969,969,CR,NULL,225
985,985,CR,NULL,318
