Row Label,PrecinctCode,County,Registered Voters,Mark McClain,David Burke
Total,-1,PA,NULL,4579,3174
Baleville,1,PA,NULL,51,32
Bay Center,2,PA,NULL,105,59
Chinook,3,PA,NULL,137,101
Eklund Park,4,PA,NULL,50,26
Frances-Lebam,6,PA,NULL,116,60
Ilwaco 1 Rural(*),7,PA,NULL,0,0
Ilwaco 2 Rural,8,PA,NULL,38,29
Klipsan,9,PA,NULL,165,162
Menlo-Firdale,11,PA,NULL,261,113
Nahcotta,12,PA,NULL,369,353
Naselle,13,PA,NULL,256,228
Nemah,15,PA,NULL,25,16
North Cove,16,PA,NULL,146,143
Pioneer 2,17,PA,NULL,132,78
North River,18,PA,NULL,11,23
Ocean Park 1,19,PA,NULL,104,89
Ocean Park 2,20,PA,NULL,235,236
Oysterville,21,PA,NULL,208,190
Pioneer,22,PA,NULL,134,99
Raymond W2 R,23,PA,NULL,35,20
Raymond W3 R,24,PA,NULL,36,12
Seaview 1,25,PA,NULL,162,127
Seaview 2,26,PA,NULL,25,6
Smith Creek,27,PA,NULL,53,19
South Bend 1 R,28,PA,NULL,50,5
South Bend 3R,29,PA,NULL,2,4
South Bend 2R(*),30,PA,NULL,0,0
South Fork,32,PA,NULL,78,60
Willapa,34,PA,NULL,309,125
Ilwaco City,101,PA,NULL,203,134
Long Beach,103,PA,NULL,258,240
Raymond W1p1,105,PA,NULL,28,4
Raymond W1p2,106,PA,NULL,91,40
Raymond W1p3,107,PA,NULL,113,38
Raymond W2,108,PA,NULL,102,62
Raymond W3,110,PA,NULL,164,84
South Bend 1,113,PA,NULL,125,77
South Bend 2,115,PA,NULL,77,35
South Bend 3,117,PA,NULL,117,43
