Row Label,PrecinctCode,County,Registered Voters,Steven J. Drew,Carol Person
Total,-1,TH,NULL,40766,34895
Cougar Mountain,28,TH,NULL,32,43
Clear Lake,30,TH,NULL,192,281
Lackamas,31,TH,NULL,67,57
Morris,32,TH,NULL,148,215
Evergreen Ballroom,33,TH,NULL,187,218
Trails End,34,TH,NULL,293,283
Kaiser,35,TH,NULL,96,51
Rich,36,TH,NULL,110,150
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,113,79
Simmons 9,42,TH,NULL,4,2
University North,43,TH,NULL,53,81
Steamboat Island,44,TH,NULL,175,101
Rocky Prairie,45,TH,NULL,93,134
Lawrence Lake,46,TH,NULL,152,246
Woodard Creek,47,TH,NULL,155,135
Michigan Hill,48,TH,NULL,65,132
Scott Lake South,49,TH,NULL,106,137
Salmon Creek,50,TH,NULL,93,108
Spurgeon Creek,51,TH,NULL,58,90
James,52,TH,NULL,97,182
Vail,53,TH,NULL,148,239
Rochester 5,54,TH,NULL,112,226
Rochester 4,55,TH,NULL,104,162
Medicine Creek,57,TH,NULL,56,93
Skokomish,58,TH,NULL,125,144
Pleasant Hill,59,TH,NULL,177,167
Smith Prairie,60,TH,NULL,135,242
Black River,62,TH,NULL,204,267
Ames,63,TH,NULL,189,96
Airport,64,TH,NULL,12,14
Luhr Beach,65,TH,NULL,180,209
Fish Trap,66,TH,NULL,152,114
Quince(*),67,TH,NULL,0,0
Simmons 2(*),68,TH,NULL,0,0
Simmons 3,69,TH,NULL,8,6
Simmons 4,70,TH,NULL,10,8
Pines,74,TH,NULL,100,150
Long Lake,75,TH,NULL,44,42
Hawk Acres,76,TH,NULL,116,105
Zenkner Valley,77,TH,NULL,23,55
Tri Lakes,78,TH,NULL,97,90
University South,79,TH,NULL,86,92
Tolmie,80,TH,NULL,60,77
Military,81,TH,NULL,68,92
Glen Terra,82,TH,NULL,55,44
Prine,83,TH,NULL,25,35
Glenwood,84,TH,NULL,72,49
Greenridge,86,TH,NULL,92,110
Woodland,88,TH,NULL,157,148
Tilley,89,TH,NULL,187,183
Sweet Briar,90,TH,NULL,256,184
Deerbrush,91,TH,NULL,163,188
Mushroom Corner,92,TH,NULL,157,138
Trailblazer,93,TH,NULL,59,52
Frye Cove,94,TH,NULL,233,130
Oyster Bay,95,TH,NULL,222,148
Summit Lake,96,TH,NULL,111,173
Delridge,97,TH,NULL,51,41
Marvin,98,TH,NULL,181,175
Alpine,99,TH,NULL,305,241
Hewitt Lake,100,TH,NULL,267,129
Zangle,101,TH,NULL,177,125
Boston Harbor,102,TH,NULL,266,116
Gull Harbor,103,TH,NULL,136,90
Friendly Grove,104,TH,NULL,99,110
South Bay,105,TH,NULL,194,207
Puget,106,TH,NULL,180,240
Bigelow,107,TH,NULL,178,112
Pleasant Glade,109,TH,NULL,108,91
Montgomery,110,TH,NULL,85,84
Nisqually,111,TH,NULL,128,129
Roosevelt,112,TH,NULL,219,179
Kinwood,113,TH,NULL,148,119
Mckinley,114,TH,NULL,59,52
Forest,115,TH,NULL,263,184
St Clair,116,TH,NULL,149,182
Hicks,117,TH,NULL,33,20
Fleetwood,118,TH,NULL,214,208
Lydia Hawk,119,TH,NULL,273,236
Hays,120,TH,NULL,131,97
Indian Summer,121,TH,NULL,198,179
Chambers,122,TH,NULL,250,263
Freedom,123,TH,NULL,226,172
Fristoe,124,TH,NULL,97,125
Deschutes,125,TH,NULL,156,223
Longmire,126,TH,NULL,90,122
Ruth Prairie,127,TH,NULL,59,93
Weir Prairie,128,TH,NULL,137,185
College,129,TH,NULL,25,21
Bald Hills,130,TH,NULL,36,66
Hunter Point,131,TH,NULL,114,101
Griffin,132,TH,NULL,189,118
Schneiders Prairie,133,TH,NULL,131,131
Cooper Point,134,TH,NULL,205,136
Butler Cove,135,TH,NULL,184,112
Broadway,136,TH,NULL,253,161
Plainview,139,TH,NULL,305,193
Mud Bay,140,TH,NULL,173,136
Mclane,141,TH,NULL,134,117
Bush Prairie,143,TH,NULL,47,37
Black Lake,144,TH,NULL,217,219
Delphi,145,TH,NULL,146,166
South Union,146,TH,NULL,211,217
Plumb,147,TH,NULL,155,209
Scatter Creek,148,TH,NULL,93,141
Mcintosh,149,TH,NULL,239,325
Violet Prairie,150,TH,NULL,134,257
Littlerock,151,TH,NULL,229,292
Rochester 1,153,TH,NULL,151,240
Rochester 2,154,TH,NULL,90,207
Scott Lake North,155,TH,NULL,70,83
Grand Mound,156,TH,NULL,46,101
Gibson Valley,157,TH,NULL,15,37
Skookumchuck,158,TH,NULL,135,184
Johnson Point,160,TH,NULL,220,226
Wards,161,TH,NULL,87,58
Thompson,162,TH,NULL,109,84
Smith Lake,163,TH,NULL,169,147
Evergreen Shores,164,TH,NULL,132,146
Sunwood Lakes,165,TH,NULL,252,247
Eaton Creek,166,TH,NULL,95,113
Hawks Ridge,167,TH,NULL,72,52
Holmes,168,TH,NULL,151,137
Mcallister Creek,169,TH,NULL,127,130
Rochester 3,170,TH,NULL,126,187
Waddell Creek,171,TH,NULL,131,143
Tykle Cove,172,TH,NULL,202,136
Camelot,173,TH,NULL,111,113
French,174,TH,NULL,249,108
Sunset Beach,175,TH,NULL,261,131
Henderson,176,TH,NULL,236,226
Pattison,178,TH,NULL,168,164
Four Corners,179,TH,NULL,207,280
Stedman,180,TH,NULL,109,136
Munn Lake,182,TH,NULL,97,102
Beach Crest,183,TH,NULL,135,115
Scheller,184,TH,NULL,69,91
Fair Oaks,185,TH,NULL,121,118
Wilderness,186,TH,NULL,250,191
Mullen,187,TH,NULL,185,191
Sleater Kinney,189,TH,NULL,154,145
Lakeside,190,TH,NULL,89,83
Gallagher Cove,191,TH,NULL,290,202
East Olympia,192,TH,NULL,140,159
Berry Valley,193,TH,NULL,117,148
Hartwood,194,TH,NULL,274,295
Libby,195,TH,NULL,155,121
Meadows,196,TH,NULL,134,129
Summerset,197,TH,NULL,249,288
Henness,198,TH,NULL,190,349
Beaver Creek,199,TH,NULL,240,358
Olympia 01,201,TH,NULL,200,79
Olympia 02,202,TH,NULL,173,102
Olympia 03,203,TH,NULL,201,95
Olympia 04,204,TH,NULL,174,87
Olympia 05,205,TH,NULL,181,75
Olympia 06,206,TH,NULL,299,191
Olympia 07,207,TH,NULL,99,52
Olympia 08,208,TH,NULL,194,107
Olympia 09,209,TH,NULL,299,216
Olympia 10,210,TH,NULL,269,62
Olympia 11,211,TH,NULL,218,47
Olympia 12,212,TH,NULL,74,77
Olympia 13,213,TH,NULL,219,85
Olympia 14,214,TH,NULL,187,77
Olympia 15,215,TH,NULL,187,54
Olympia 16,216,TH,NULL,34,13
Olympia 17,217,TH,NULL,106,88
Olympia 18,218,TH,NULL,222,72
Olympia 19,219,TH,NULL,178,73
Olympia 20,220,TH,NULL,108,40
Olympia 21,221,TH,NULL,317,100
Olympia 23,223,TH,NULL,233,117
Olympia 24,224,TH,NULL,200,79
Olympia 25,225,TH,NULL,139,86
Olympia 26,226,TH,NULL,211,62
Olympia 27,227,TH,NULL,91,49
Olympia 28,228,TH,NULL,248,81
Olympia 29,229,TH,NULL,226,116
Olympia 30,230,TH,NULL,181,77
Olympia 31,231,TH,NULL,147,118
Olympia 32,232,TH,NULL,221,151
Olympia 35,235,TH,NULL,344,197
Olympia 36,236,TH,NULL,71,40
Olympia 37,237,TH,NULL,135,63
Olympia 38,238,TH,NULL,48,30
Olympia 39,239,TH,NULL,204,98
Olympia 40,240,TH,NULL,183,72
Olympia 41,241,TH,NULL,236,77
Olympia 42,242,TH,NULL,157,51
Olympia 43,243,TH,NULL,278,85
Olympia 44,244,TH,NULL,117,34
Olympia 45,245,TH,NULL,112,70
Olympia 46,246,TH,NULL,174,109
Olympia 47,247,TH,NULL,242,107
Olympia 48,248,TH,NULL,218,165
Olympia 49,249,TH,NULL,231,83
Olympia 50,250,TH,NULL,176,64
Olympia 51,251,TH,NULL,37,35
Olympia 52,252,TH,NULL,118,38
Olympia 53,253,TH,NULL,164,105
Olympia 54,254,TH,NULL,153,41
Olympia 55,255,TH,NULL,94,66
Olympia 56,256,TH,NULL,166,108
Olympia 57,257,TH,NULL,104,56
Olympia 58,258,TH,NULL,171,116
Olympia 59,259,TH,NULL,174,88
Olympia 60,260,TH,NULL,116,76
Lacey 01,301,TH,NULL,72,47
Lacey 02,302,TH,NULL,109,100
Lacey 03,303,TH,NULL,139,126
Lacey 04,304,TH,NULL,70,80
Lacey 05,305,TH,NULL,110,82
Lacey 06,306,TH,NULL,48,57
Lacey 07,307,TH,NULL,132,105
Lacey 08,308,TH,NULL,108,70
Lacey 09,309,TH,NULL,76,60
Lacey 10,310,TH,NULL,237,117
Lacey 11,311,TH,NULL,184,87
Lacey 13,313,TH,NULL,83,66
Lacey 14,314,TH,NULL,62,46
Lacey 15,315,TH,NULL,151,120
Lacey 16,316,TH,NULL,183,77
Lacey 17,317,TH,NULL,132,147
Lacey 18,318,TH,NULL,170,154
Lacey 19,319,TH,NULL,94,94
Lacey 20,320,TH,NULL,65,52
Lacey 21,321,TH,NULL,83,68
Lacey 22,322,TH,NULL,121,70
Lacey 23,323,TH,NULL,60,73
Lacey 24,324,TH,NULL,188,206
Lacey 27,327,TH,NULL,146,118
Lacey 28,328,TH,NULL,107,89
Lacey 29,329,TH,NULL,177,142
Lacey 30,330,TH,NULL,199,208
Lacey 31,331,TH,NULL,98,125
Lacey 32,332,TH,NULL,158,158
Lacey 33,333,TH,NULL,91,69
Lacey 34,334,TH,NULL,90,69
Lacey 35,335,TH,NULL,50,55
Lacey 36,336,TH,NULL,79,107
Lacey 37,337,TH,NULL,53,33
Lacey 39,339,TH,NULL,271,180
Lacey 40,340,TH,NULL,178,168
Lacey 41,341,TH,NULL,147,129
Lacey 42,342,TH,NULL,48,49
Lacey 43,343,TH,NULL,157,182
Lacey 44,344,TH,NULL,53,74
Lacey 45,345,TH,NULL,77,69
Lacey 46,346,TH,NULL,295,384
Lacey 47,347,TH,NULL,222,281
Lacey 48,348,TH,NULL,106,97
Lacey 49,349,TH,NULL,100,76
Tumwater 01,401,TH,NULL,132,95
Tumwater 02,402,TH,NULL,194,88
Tumwater 03,403,TH,NULL,198,135
Tumwater 04,404,TH,NULL,106,90
Tumwater 05,405,TH,NULL,125,101
Tumwater 06,406,TH,NULL,306,186
Tumwater 07,407,TH,NULL,131,125
Tumwater 08,408,TH,NULL,202,148
Tumwater 09,409,TH,NULL,105,102
Tumwater 10,410,TH,NULL,216,163
Tumwater 11,411,TH,NULL,246,206
Tumwater 12,412,TH,NULL,200,98
Tumwater 13,413,TH,NULL,76,54
Tumwater 14,414,TH,NULL,83,60
Tumwater 15,415,TH,NULL,211,154
Tumwater 24,424,TH,NULL,129,98
Tumwater 27,427,TH,NULL,177,133
Tumwater 28,428,TH,NULL,219,219
Tumwater 29,429,TH,NULL,0,0
Tenino 01,501,TH,NULL,77,105
Tenino 02,502,TH,NULL,90,118
Rainier 01,601,TH,NULL,92,153
Rainier 02,602,TH,NULL,88,104
Yelm 1,701,TH,NULL,129,149
Yelm 2,702,TH,NULL,104,177
Yelm 3,703,TH,NULL,114,212
Yelm 4,704,TH,NULL,150,185
Bucoda,801,TH,NULL,52,81
