Row Label,PrecinctCode,County,Registered Voters,Derek Kilmer,Marty McClendon
Total,-1,GY,NULL,12540,7103
Taholah 002,2,GY,NULL,167,11
Quinault 004,4,GY,NULL,83,75
Neilton 006,6,GY,NULL,36,39
Pacific Beach 008,8,GY,NULL,124,86
Moclips 010,10,GY,NULL,16,4
Ocean City 012,12,GY,NULL,172,97
Burrows 014,14,GY,NULL,21,13
Wilderness 016,16,GY,NULL,49,57
Humptulips 018,18,GY,NULL,30,21
Axford 020,20,GY,NULL,68,51
Dekay 022,22,GY,NULL,41,37
Hoquiam Rural 024,24,GY,NULL,193,110
Stover 026(*),26,GY,NULL,0,0
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,162,107
Cutoff032,32,GY,NULL,62,34
Coats Landing 034,34,GY,NULL,163,89
Geissler 036,36,GY,NULL,30,19
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,72,54
Wynoochee 042,42,GY,NULL,2,4
Boundary 044,44,GY,NULL,26,25
Black Creek 046,46,GY,NULL,270,203
Brady 048,48,GY,NULL,301,151
Riviera 050,50,GY,NULL,24,18
Satsop 052,52,GY,NULL,104,70
Calder 056,56,GY,NULL,149,110
Bush 058,58,GY,NULL,309,245
McCleary Rural 060,60,GY,NULL,225,180
Porter 062,62,GY,NULL,119,88
Cedar Creek 064,64,GY,NULL,44,65
Chehalis 066,66,GY,NULL,4,2
Blockhouse 068,68,GY,NULL,149,151
Delezenne 070,70,GY,NULL,186,155
Melbourne 072,72,GY,NULL,181,132
Devonshire 074,74,GY,NULL,167,98
Vesta 076,76,GY,NULL,42,29
Artic 078,78,GY,NULL,31,31
Central Park 080,80,GY,NULL,407,184
Lois Lane 082,82,GY,NULL,71,39
Blue Slough 084,84,GY,NULL,114,77
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,45,29
Newskah 090,90,GY,NULL,10,5
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,186,90
Grayland 096,96,GY,NULL,177,119
Cohasset 098,98,GY,NULL,110,74
Aberdeen 111,111,GY,NULL,389,163
Aberdeen 121,121,GY,NULL,349,147
Aberdeen 131,131,GY,NULL,459,198
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,379,167
Aberdeen 142,142,GY,NULL,297,130
Aberdeen 151,151,GY,NULL,199,118
Aberdeen 161,161,GY,NULL,372,138
Cosmopolis 201,201,GY,NULL,379,156
Elma 301,301,GY,NULL,132,81
Elma 302,302,GY,NULL,291,190
Hoquiam 411,411,GY,NULL,261,97
Hoquiam 421,421,GY,NULL,211,79
Hoquiam 431,431,GY,NULL,259,105
Hoquiam 441,441,GY,NULL,278,96
Hoquiam 451,451,GY,NULL,223,86
Hoquiam 461,461,GY,NULL,198,79
McCleary 501,501,GY,NULL,239,166
Montesano 601,601,GY,NULL,474,218
Montesano 602,602,GY,NULL,457,198
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,68,91
Ocean Shores 801,801,GY,NULL,379,220
Ocean Shores 802,802,GY,NULL,498,354
Ocean Shores 803,803,GY,NULL,445,296
Westport 901,901,GY,NULL,321,225
