Row Label,PrecinctCode,County,Registered Voters,Shelly Short,James R. Apker
Total,-1,OK,NULL,4993,1037
ANGLIN,2,OK,NULL,56,17
BEEMAN,3,OK,NULL,70,10
BODIE,4,OK,NULL,19,2
BONAPARTE,5,OK,NULL,32,3
CHESAW,9,OK,NULL,35,12
CONCONULLY RURAL,10,OK,NULL,34,9
EASTLAKE(*),13,OK,NULL,0,0
ELLISFORDE,15,OK,NULL,59,12
ELMWAY,17,OK,NULL,37,4
HAVILLAH,18,OK,NULL,62,19
LOOMIS,19,OK,NULL,53,7
MOLSON,24,OK,NULL,53,16
NIGHTHAWK,28,OK,NULL,14,4
NORTH OMAK,29,OK,NULL,26,8
PINE CREEK,31,OK,NULL,41,3
RIVERSIDE RURAL,33,OK,NULL,77,21
SAN POIL,34,OK,NULL,62,23
SOUTH OROVILLE,35,OK,NULL,65,5
TONASKET RURAL,37,OK,NULL,26,10
TUNK CREEK,38,OK,NULL,75,12
WAUCONDA,41,OK,NULL,50,14
WESTLAKE,42,OK,NULL,33,2
WHITESTONE,43,OK,NULL,37,6
AENEAS,48,OK,NULL,32,13
CRUMBACHER,50,OK,NULL,71,3
KIPLING,53,OK,NULL,34,8
TORODA,55,OK,NULL,54,13
COPPLE,59,OK,NULL,53,9
ENGH,61,OK,NULL,59,11
JANIS,63,OK,NULL,32,2
LEESE,64,OK,NULL,20,7
PALMER LAKE,69,OK,NULL,46,3
PINE CONE,70,OK,NULL,29,7
SAND FLAT,72,OK,NULL,64,4
SOURDOUGH,74,OK,NULL,59,10
WANNACUT,77,OK,NULL,60,20
GREENACRES,86,OK,NULL,30,7
JOHNSON CREEK,87,OK,NULL,46,13
LIME BELT,89,OK,NULL,24,9
BOUNDARY,95,OK,NULL,46,11
BUCKHORN MTN,96,OK,NULL,44,9
EDER,97,OK,NULL,47,6
HORSESHOE LAKE,98,OK,NULL,34,12
LAKE ANDREWS,99,OK,NULL,38,10
MYERS CREEK,100,OK,NULL,22,4
OKANOGAN #1,105,OK,NULL,34,5
OKANOGAN #2,106,OK,NULL,46,10
OKANOGAN #3,107,OK,NULL,21,5
OKANOGAN #4,108,OK,NULL,42,9
OMAK #1,109,OK,NULL,24,4
OMAK #2,110,OK,NULL,38,16
OMAK #3,111,OK,NULL,17,5
OMAK #4,112,OK,NULL,34,4
OMAK #5,113,OK,NULL,41,14
OMAK #6,114,OK,NULL,36,10
OMAK #7,115,OK,NULL,38,7
OMAK #8,116,OK,NULL,13,12
OMAK #9,117,OK,NULL,67,7
OROVILLE #1,118,OK,NULL,40,7
OROVILLE #2,119,OK,NULL,24,4
OROVILLE #3,120,OK,NULL,23,6
TONASKET #1,121,OK,NULL,26,5
TONASKET #2,122,OK,NULL,29,12
TONASKET #3,123,OK,NULL,15,3
CONCONULLY CITY,131,OK,NULL,63,19
RIVERSIDE CITY,134,OK,NULL,53,15
SHORELINE(*),138,OK,NULL,0,0
SIMILKAMEEN,139,OK,NULL,27,5
TEAL LAKE,140,OK,NULL,31,6
TONASKET CREEK,141,OK,NULL,30,9
OROVILLE #4,142,OK,NULL,34,4
OROVILLE #5,143,OK,NULL,36,11
OROVILLE #6,144,OK,NULL,25,4
OROVILLE #7,145,OK,NULL,30,3
OROVILLE #8(*),146,OK,NULL,0,0
OROVILLE #9,147,OK,NULL,29,5
OROVILLE #10,148,OK,NULL,30,13
JENNINGS LOOP,149,OK,NULL,25,4
BLUE LAKE,150,OK,NULL,44,10
AENEAS CREEK,151,OK,NULL,46,10
AENEAS LAKE,152,OK,NULL,61,14
ANTOINE CREEK,153,OK,NULL,32,9
ANTOINE PEAK,154,OK,NULL,22,6
CAPE LABELLE,155,OK,NULL,30,4
CAYUSE MTN,156,OK,NULL,24,8
CHEWILIKEN,157,OK,NULL,22,9
DUFFYS MTN,158,OK,NULL,27,6
FRONTAGE(*),159,OK,NULL,0,0
GUSTY RIDGE,160,OK,NULL,35,3
LONGANECKER,161,OK,NULL,27,10
NORTH TONASKET,162,OK,NULL,62,19
PICKENS MTN,163,OK,NULL,32,11
RANCHES,164,OK,NULL,14,6
SIWASH CREEK,165,OK,NULL,34,18
SPECTACLE LAKE,166,OK,NULL,46,7
HIGHWAY,167,OK,NULL,17,5
WHISKY MTN,168,OK,NULL,14,2
YARNELL,169,OK,NULL,27,6
TONASKET #4,170,OK,NULL,38,4
TONASKET #5,171,OK,NULL,31,8
TONASKET #6,172,OK,NULL,17,9
TONASKET #7,173,OK,NULL,41,10
COLEMAN BUTTE,185,OK,NULL,47,6
ASTON,186,OK,NULL,34,3
