Row Label,PrecinctCode,County,Registered Voters,Gene Dana
Total,-1,KS,NULL,9399
CLE ELUM 1,1,KS,NULL,131
CLE ELUM 2,2,KS,NULL,91
CLE ELUM 3,3,KS,NULL,44
CLE ELUM 4,4,KS,NULL,206
DENMARK,5,KS,NULL,342
EAST SANDERS,6,KS,NULL,253
EASTON,7,KS,NULL,240
ELLENSBURG 1,8,KS,NULL,47
ELLENSBURG 2,9,KS,NULL,72
ELLENSBURG 4,11,KS,NULL,42
ELLENSBURG 5,12,KS,NULL,71
ELLENSBURG 6,13,KS,NULL,60
ELLENSBURG 7,14,KS,NULL,45
ELLENSBURG 8,15,KS,NULL,68
ELLENSBURG 9,16,KS,NULL,76
ELLENSBURG 10,17,KS,NULL,108
ELLENSBURG 11,18,KS,NULL,111
ELLENSBURG 12,19,KS,NULL,117
ELLENSBURG 13,20,KS,NULL,87
ELLENSBURG 14,21,KS,NULL,130
ELLENSBURG 15,22,KS,NULL,140
ELLENSBURG 16,23,KS,NULL,208
ELLENSBURG 17,24,KS,NULL,164
ELLENSBURG 18,25,KS,NULL,29
ELLENSBURG 19,26,KS,NULL,250
ELLENSBURG 20,27,KS,NULL,55
ELLENSBURG 21,28,KS,NULL,100
ELLENSBURG 22,29,KS,NULL,137
ELLENSBURG 23,30,KS,NULL,169
ELLENSBURG 24,31,KS,NULL,329
HYAK,32,KS,NULL,62
KITTITAS 1,33,KS,NULL,96
MANASTASH,34,KS,NULL,202
MOUNTAIN,35,KS,NULL,101
NORTH CENTRAL,36,KS,NULL,218
NORTH ELLENSBURG,37,KS,NULL,327
PARK,38,KS,NULL,282
PEOH POINT,39,KS,NULL,213
RIDGEWAY,40,KS,NULL,390
ROSLYN 1,41,KS,NULL,143
ROSLYN 2,42,KS,NULL,99
DRY CREEK,43,KS,NULL,275
WESTSIDE,44,KS,NULL,283
ROSLYN OUTLYING,45,KS,NULL,41
SANDERS,46,KS,NULL,119
SOUTH CLE ELUM,47,KS,NULL,138
SOUTH ELLENSBURG,48,KS,NULL,352
SWAUK,50,KS,NULL,158
TEANAWAY,51,KS,NULL,210
THORP,52,KS,NULL,240
VANTAGE,53,KS,NULL,19
FAIRVIEW,54,KS,NULL,161
NORTHEAST FAIRVIEW,55,KS,NULL,268
THRALL,56,KS,NULL,235
DAMMAN,58,KS,NULL,280
KACHESS,59,KS,NULL,67
KITTITAS 2,60,KS,NULL,124
ELLENSBURG 25,61,KS,NULL,273
RONALD,62,KS,NULL,101
