Row Label,PrecinctCode,County,Registered Voters,Cary Condotta
Total,-1,OK,NULL,3599
ALMA,1,OK,NULL,38
BOSTON,6,OK,NULL,56
BREWSTER RURAL,7,OK,NULL,50
CARLTON,8,OK,NULL,25
DUCK LAKE,11,OK,NULL,22
DULEY LAKE,12,OK,NULL,19
EASTSIDE,14,OK,NULL,66
ELMERTON,16,OK,NULL,77
MALOTT,20,OK,NULL,65
MAZAMA,21,OK,NULL,58
METHOW,22,OK,NULL,60
MISSION,23,OK,NULL,21
MONSE #1,25,OK,NULL,55
NESPELEM RURAL,27,OK,NULL,22
PATEROS RURAL,30,OK,NULL,43
POGUE,32,OK,NULL,61
SPRING COULEE,36,OK,NULL,49
TWISP RURAL,39,OK,NULL,40
WOLF CREEK,40,OK,NULL,45
WINTHROP RURAL,44,OK,NULL,58
CHILIWIST,45,OK,NULL,44
MONSE #3,46,OK,NULL,35
OKANOGAN RURAL,47,OK,NULL,33
COLUMBIA,49,OK,NULL,19
DISAUTEL,51,OK,NULL,17
HUDSON,52,OK,NULL,22
ORCHARD,54,OK,NULL,27
BEAVER CREEK,56,OK,NULL,31
BLACK CANYON,57,OK,NULL,30
BUFFALO LAKE,58,OK,NULL,16
EDELWEISS,60,OK,NULL,47
FINLEY CANYON,62,OK,NULL,57
LIBBY CREEK,65,OK,NULL,60
MCGINNIS LAKE,66,OK,NULL,10
NORTH STAR,67,OK,NULL,12
OWHI,68,OK,NULL,26
POORMAN CREEK,71,OK,NULL,70
TWIN LAKES,75,OK,NULL,61
VALLEY,76,OK,NULL,38
WEST CHEWUCH,78,OK,NULL,46
CANAL,79,OK,NULL,31
AIRPORT,81,OK,NULL,48
BALKY HILL,82,OK,NULL,35
BRIDGE CREEK,83,OK,NULL,21
CROSSROADS,84,OK,NULL,33
DAVIS LAKE,85,OK,NULL,42
LEWIS BUTTE,88,OK,NULL,54
MCCLURE MTN,90,OK,NULL,58
MOCCASIN LAKE,91,OK,NULL,49
NORTH MALOTT,92,OK,NULL,48
PATTERSON LAKE,93,OK,NULL,52
PEARRYGIN LAKE,94,OK,NULL,33
COULEE DAM #1,101,OK,NULL,51
COULEE DAM #2,102,OK,NULL,38
COULEE DAM #3,103,OK,NULL,33
NESPELEM CITY,104,OK,NULL,14
BREWSTER #1,124,OK,NULL,24
BREWSTER #2,125,OK,NULL,59
PATEROS #1,126,OK,NULL,29
PATEROS #2,127,OK,NULL,31
TWISP #1,128,OK,NULL,53
TWISP #2,129,OK,NULL,42
WINTHROP #1,130,OK,NULL,64
COULEE DAM #4,132,OK,NULL,31
ELMER CITY,133,OK,NULL,61
TWISP #3,135,OK,NULL,57
TWISP #4,136,OK,NULL,21
WINTHROP #2,137,OK,NULL,34
LEECHER MTN,174,OK,NULL,53
ALTA LAKE,175,OK,NULL,40
STARR,176,OK,NULL,26
PATEROS #3,177,OK,NULL,23
RAT LAKE,178,OK,NULL,26
BREWSTER FLAT,179,OK,NULL,37
BREWSTER #3,180,OK,NULL,29
BREWSTER #4,181,OK,NULL,15
BREWSTER #5,182,OK,NULL,25
BREWSTER #6,183,OK,NULL,18
PIONEER,184,OK,NULL,44
LONE PINE,191,OK,NULL,21
OMAK MTN,192,OK,NULL,16
OMAK LAKE,193,OK,NULL,23
FIKER,194,OK,NULL,35
ROSS CANYON,195,OK,NULL,38
HENDRICK,196,OK,NULL,52
DIXON,197,OK,NULL,42
KERMEL,198,OK,NULL,48
GLOVER,199,OK,NULL,49
FLETCHER,200,OK,NULL,38
MOCK,201,OK,NULL,43
AVIATION,226,OK,NULL,27
SUNSET LAKES,236,OK,NULL,17
FLATS,237,OK,NULL,37
