Row Label,PrecinctCode,County,Registered Voters,David Grant
Total,-1,WM,NULL,44812
101,101,WM,NULL,272
102,102,WM,NULL,224
103,103,WM,NULL,272
104,104,WM,NULL,208
105,105,WM,NULL,158
106    ,106,WM,NULL,285
107,107,WM,NULL,379
108,108,WM,NULL,383
110,110,WM,NULL,279
111    ,111,WM,NULL,296
112,112,WM,NULL,142
113,113,WM,NULL,286
114,114,WM,NULL,167
115,115,WM,NULL,286
116,116,WM,NULL,167
117,117,WM,NULL,238
118,118,WM,NULL,342
119    ,119,WM,NULL,177
120,120,WM,NULL,273
121,121,WM,NULL,193
122,122,WM,NULL,217
123,123,WM,NULL,198
124    ,124,WM,NULL,176
125,125,WM,NULL,275
126    ,126,WM,NULL,365
127,127,WM,NULL,399
129,129,WM,NULL,316
130,130,WM,NULL,185
131,131,WM,NULL,369
132,132,WM,NULL,223
133,133,WM,NULL,190
134    ,134,WM,NULL,395
135,135,WM,NULL,274
136    ,136,WM,NULL,280
137,137,WM,NULL,180
138,138,WM,NULL,254
139,139,WM,NULL,145
140    ,140,WM,NULL,421
141    ,141,WM,NULL,370
142,142,WM,NULL,256
143    ,143,WM,NULL,179
144    ,144,WM,NULL,353
145    ,145,WM,NULL,409
146    ,146,WM,NULL,381
147,147,WM,NULL,294
148,148,WM,NULL,302
149,149,WM,NULL,246
150,150,WM,NULL,327
151,151,WM,NULL,347
152,152,WM,NULL,295
153,153,WM,NULL,278
154    ,154,WM,NULL,208
155,155,WM,NULL,195
156    ,156,WM,NULL,138
157,157,WM,NULL,134
158    ,158,WM,NULL,144
159    ,159,WM,NULL,90
160    ,160,WM,NULL,279
161    ,161,WM,NULL,174
162    ,162,WM,NULL,217
163    ,163,WM,NULL,242
164    ,164,WM,NULL,85
165    ,165,WM,NULL,150
166    ,166,WM,NULL,303
167    ,167,WM,NULL,46
168    ,168,WM,NULL,341
169    ,169,WM,NULL,405
170    ,170,WM,NULL,209
171    ,171,WM,NULL,313
172    ,172,WM,NULL,196
173    ,173,WM,NULL,251
174    ,174,WM,NULL,233
175    ,175,WM,NULL,264
176    ,176,WM,NULL,214
177    ,177,WM,NULL,194
178    ,178,WM,NULL,297
179    ,179,WM,NULL,87
180    ,180,WM,NULL,253
181    ,181,WM,NULL,365
182    ,182,WM,NULL,346
183    ,183,WM,NULL,14
201    ,201,WM,NULL,484
202,202,WM,NULL,220
203,203,WM,NULL,349
204,204,WM,NULL,146
205,205,WM,NULL,216
206,206,WM,NULL,289
207,207,WM,NULL,183
208,208,WM,NULL,412
209,209,WM,NULL,287
210,210,WM,NULL,288
211,211,WM,NULL,306
212,212,WM,NULL,159
213,213,WM,NULL,337
214,214,WM,NULL,222
215,215,WM,NULL,267
216,216,WM,NULL,272
217,217,WM,NULL,243
218,218,WM,NULL,246
219,219,WM,NULL,266
220,220,WM,NULL,239
221,221,WM,NULL,312
222,222,WM,NULL,356
223,223,WM,NULL,150
224,224,WM,NULL,82
225,225,WM,NULL,268
226,226,WM,NULL,136
227,227,WM,NULL,294
228,228,WM,NULL,192
229,229,WM,NULL,263
230,230,WM,NULL,167
231,231,WM,NULL,265
232,232,WM,NULL,286
233,233,WM,NULL,266
234,234,WM,NULL,318
235,235,WM,NULL,160
236,236,WM,NULL,123
237,237,WM,NULL,158
238,238,WM,NULL,226
239,239,WM,NULL,341
240,240,WM,NULL,317
241,241,WM,NULL,222
242,242,WM,NULL,188
243,243,WM,NULL,275
244,244,WM,NULL,287
245,245,WM,NULL,170
246,246,WM,NULL,190
247,247,WM,NULL,165
248    ,248,WM,NULL,192
249    ,249,WM,NULL,311
250    ,250,WM,NULL,384
251    ,251,WM,NULL,268
252    ,252,WM,NULL,50
253    ,253,WM,NULL,218
254    ,254,WM,NULL,224
255    ,255,WM,NULL,168
256    ,256,WM,NULL,273
257    ,257,WM,NULL,145
258    ,258,WM,NULL,224
259    ,259,WM,NULL,175
260    ,260,WM,NULL,226
261    ,261,WM,NULL,251
262    ,262,WM,NULL,217
263    ,263,WM,NULL,217
264    ,264,WM,NULL,276
265    ,265,WM,NULL,254
266    ,266,WM,NULL,310
267    ,267,WM,NULL,31
268,268,WM,NULL,16
301,301,WM,NULL,408
302,302,WM,NULL,409
303,303,WM,NULL,367
304    ,304,WM,NULL,126
401,401,WM,NULL,190
402    ,402,WM,NULL,250
501,501,WM,NULL,287
502,502,WM,NULL,271
503,503,WM,NULL,365
504,504,WM,NULL,161
505,505,WM,NULL,364
506    ,506,WM,NULL,302
507    ,507,WM,NULL,277
508    ,508,WM,NULL,342
509    ,509,WM,NULL,246
601,601,WM,NULL,445
602,602,WM,NULL,371
603,603,WM,NULL,310
604    ,604,WM,NULL,293
605,605,WM,NULL,206
606    ,606,WM,NULL,333
607    ,607,WM,NULL,298
608    ,608,WM,NULL,288
609    ,609,WM,NULL,413
610    ,610,WM,NULL,398
611    ,611,WM,NULL,211
701,701,WM,NULL,299
801,801,WM,NULL,231
