Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,SJ,NULL,4747
San Juan South East,11,SJ,NULL,216
San Juan South West,12,SJ,NULL,327
San Juan Central,13,SJ,NULL,280
San Juan West,14,SJ,NULL,286
San Juan North,15,SJ,NULL,274
San Juan East,16,SJ,NULL,254
Turn Point,17,SJ,NULL,136
Waldron &amp; Outer Is,21,SJ,NULL,31
Orcas West,22,SJ,NULL,383
Orcas Central,23,SJ,NULL,370
Eastsound,24,SJ,NULL,416
Orcas East,25,SJ,NULL,335
Blakely &amp; Outer Is,26,SJ,NULL,16
Lopez North,31,SJ,NULL,506
Lopez South,32,SJ,NULL,352
Decatur and Outer Is,33,SJ,NULL,17
Shaw,41,SJ,NULL,60
Friday Harbor North,101,SJ,NULL,275
Friday Harbor South,102,SJ,NULL,213
