Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,CZ,NULL,7091,17336
Alabama,1,CZ,NULL,90,165
Ammons,2,CZ,NULL,78,190
Arkansas,3,CZ,NULL,35,140
Bakers,4,CZ,NULL,3,15
Baltimore,5,CZ,NULL,103,260
Beacon,6,CZ,NULL,152,353
Boondox,7,CZ,NULL,10,5
Brynion,8,CZ,NULL,77,225
Burcham,9,CZ,NULL,153,467
Caples,10,CZ,NULL,39,122
Carrolls,11,CZ,NULL,120,287
Castle Rock,12,CZ,NULL,153,331
Chinook,13,CZ,NULL,120,317
Cloverdale,14,CZ,NULL,92,214
Coal Creek,15,CZ,NULL,133,388
Columbia Heights,16,CZ,NULL,61,161
Columbia Valley Gdns,17,CZ,NULL,92,186
Crawford,18,CZ,NULL,113,242
Delameter,19,CZ,NULL,88,241
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Harris,22,CZ,NULL,101,258
Haussler,23,CZ,NULL,87,164
Hillcrest,24,CZ,NULL,175,457
Hudson,25,CZ,NULL,117,290
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,76,221
Kalama South,28,CZ,NULL,111,283
Kessler,29,CZ,NULL,149,310
Lake,30,CZ,NULL,106,215
Laurel,31,CZ,NULL,136,333
Lewis River,32,CZ,NULL,159,377
Lexington,33,CZ,NULL,89,250
Lone Oak,34,CZ,NULL,55,172
Magnolia,35,CZ,NULL,176,411
Marigold,36,CZ,NULL,137,363
McGowan,37,CZ,NULL,25,61
Memorial,38,CZ,NULL,75,168
Mill,39,CZ,NULL,138,342
Mint Valley,40,CZ,NULL,167,399
Modrow,41,CZ,NULL,99,230
Mt. Solo,42,CZ,NULL,32,84
Nevada,43,CZ,NULL,88,257
Ocean Beach,44,CZ,NULL,92,280
Olson,45,CZ,NULL,74,182
Ostrander,46,CZ,NULL,122,290
Owl Creek,47,CZ,NULL,166,313
Pacific,48,CZ,NULL,117,294
Ponderosa,49,CZ,NULL,105,230
Powell,50,CZ,NULL,82,279
Redpath,51,CZ,NULL,85,229
Ridgecrest,52,CZ,NULL,7,25
Robbins,53,CZ,NULL,115,397
Rose Valley,54,CZ,NULL,87,187
Ryderwood,55,CZ,NULL,53,125
Sacajawea,56,CZ,NULL,189,491
Sandy Bend,57,CZ,NULL,134,244
Silver Lake,58,CZ,NULL,178,442
Sparks,59,CZ,NULL,71,162
St. Helens,60,CZ,NULL,56,124
Stella,61,CZ,NULL,112,265
Toutle,62,CZ,NULL,131,328
Tower,63,CZ,NULL,141,391
Tunstall,64,CZ,NULL,46,106
View,65,CZ,NULL,72,189
West Kelso,66,CZ,NULL,30,75
Willow Grove,67,CZ,NULL,33,84
Windemere,68,CZ,NULL,162,377
Woodage,69,CZ,NULL,106,196
Woodland North,70,CZ,NULL,169,362
Woodland South,71,CZ,NULL,151,316
Yale,72,CZ,NULL,103,206
