Row Label,PrecinctCode,County,Registered Voters,Michael Haas,Scott Rosekrans
Total,-1,JE,NULL,8002,4808
101 Gardiner,101,JE,NULL,85,54
102 Port Discovery,102,JE,NULL,112,64
103 Crocker,103,JE,NULL,95,46
104 Cape George,104,JE,NULL,276,183
105 Discovery Bay,105,JE,NULL,269,163
106 North Jacob,106,JE,NULL,201,120
107 South Jacob,107,JE,NULL,265,157
200 Coyle,200,JE,NULL,114,67
201 Quilcene,201,JE,NULL,256,186
204 Brinnon,204,JE,NULL,285,183
300 Chimacum I,300,JE,NULL,164,122
301 Chimacum II,301,JE,NULL,106,75
302 Center I,302,JE,NULL,144,79
303 Hadlock,303,JE,NULL,241,167
304 Kala Point,304,JE,NULL,284,197
305 Irondale I,305,JE,NULL,177,130
306 Irondale II,306,JE,NULL,260,169
307 Four Corners,307,JE,NULL,139,129
308 Center II,308,JE,NULL,105,44
401 Nordland,401,JE,NULL,262,161
500 Port Ludlow,500,JE,NULL,238,178
501 Port Ludlow I,501,JE,NULL,302,191
502 Port Ludlow II,502,JE,NULL,187,131
503 Port Ludlow III,503,JE,NULL,136,129
504 Port Ludlow IV,504,JE,NULL,110,88
505 Port Ludlow V,505,JE,NULL,178,155
600 Hoh,600,JE,NULL,13,14
601 Queets,601,JE,NULL,20,8
700 Port Townsend,700,JE,NULL,280,159
701 Port Townsend,701,JE,NULL,145,74
702 Port Townsend,702,JE,NULL,166,91
703 Port Townsend,703,JE,NULL,209,97
704 Port Townsend,704,JE,NULL,168,55
705 Port Townsend,705,JE,NULL,185,95
706 Port Townsend,706,JE,NULL,432,215
707 Port Townsend,707,JE,NULL,385,177
708 Port Townsend,708,JE,NULL,397,181
709 Port Townsend,709,JE,NULL,378,156
710 Port Townsend,710,JE,NULL,233,118
