Row Label,PrecinctCode,County,Registered Voters,Timm Ormsby,Paul Delaney
Total,-1,SP,NULL,22606,9935
PCT 3000(*),3000,SP,NULL,0,0
PCT 3100(*),3100,SP,NULL,0,0
PCT 3101,3101,SP,NULL,211,100
PCT 3102,3102,SP,NULL,151,74
PCT 3103,3103,SP,NULL,175,92
PCT 3104,3104,SP,NULL,249,133
PCT 3105,3105,SP,NULL,222,97
PCT 3106,3106,SP,NULL,215,112
PCT 3107,3107,SP,NULL,255,123
PCT 3108,3108,SP,NULL,174,104
PCT 3109,3109,SP,NULL,216,116
PCT 3110,3110,SP,NULL,176,102
PCT 3111,3111,SP,NULL,189,86
PCT 3112,3112,SP,NULL,13,8
PCT 3113,3113,SP,NULL,251,145
PCT 3114,3114,SP,NULL,245,153
PCT 3115,3115,SP,NULL,250,137
PCT 3116,3116,SP,NULL,250,164
PCT 3117,3117,SP,NULL,175,93
PCT 3118,3118,SP,NULL,185,91
PCT 3119,3119,SP,NULL,224,106
PCT 3120,3120,SP,NULL,236,138
PCT 3121,3121,SP,NULL,221,138
PCT 3122,3122,SP,NULL,363,115
PCT 3123,3123,SP,NULL,224,109
PCT 3124,3124,SP,NULL,242,137
PCT 3125,3125,SP,NULL,240,96
PCT 3126,3126,SP,NULL,43,32
PCT 3127,3127,SP,NULL,300,69
PCT 3128,3128,SP,NULL,241,118
PCT 3200,3200,SP,NULL,280,75
PCT 3201,3201,SP,NULL,371,123
PCT 3202,3202,SP,NULL,193,76
PCT 3203,3203,SP,NULL,317,105
PCT 3204,3204,SP,NULL,266,72
PCT 3205,3205,SP,NULL,295,87
PCT 3206,3206,SP,NULL,284,60
PCT 3207,3207,SP,NULL,147,72
PCT 3208,3208,SP,NULL,271,145
PCT 3209,3209,SP,NULL,321,191
PCT 3210,3210,SP,NULL,334,84
PCT 3211,3211,SP,NULL,353,98
PCT 3212,3212,SP,NULL,307,87
PCT 3213,3213,SP,NULL,423,105
PCT 3214,3214,SP,NULL,357,108
PCT 3215,3215,SP,NULL,230,82
PCT 3216,3216,SP,NULL,435,180
PCT 3217,3217,SP,NULL,391,184
PCT 3218,3218,SP,NULL,450,125
PCT 3219,3219,SP,NULL,317,116
PCT 3220,3220,SP,NULL,399,155
PCT 3221,3221,SP,NULL,328,192
PCT 3222,3222,SP,NULL,191,49
PCT 3223,3223,SP,NULL,246,72
PCT 3300,3300,SP,NULL,256,158
PCT 3301,3301,SP,NULL,430,192
PCT 3302,3302,SP,NULL,294,156
PCT 3303,3303,SP,NULL,292,146
PCT 3304,3304,SP,NULL,287,156
PCT 3305,3305,SP,NULL,247,113
PCT 3306,3306,SP,NULL,275,176
PCT 3307,3307,SP,NULL,204,109
PCT 3308,3308,SP,NULL,308,145
PCT 3309,3309,SP,NULL,299,131
PCT 3310,3310,SP,NULL,303,163
PCT 3311,3311,SP,NULL,167,119
PCT 3312,3312,SP,NULL,359,205
PCT 3313,3313,SP,NULL,387,212
PCT 3314,3314,SP,NULL,254,138
PCT 3315,3315,SP,NULL,351,157
PCT 3316,3316,SP,NULL,407,143
PCT 3317,3317,SP,NULL,435,189
PCT 3318,3318,SP,NULL,274,141
PCT 3319,3319,SP,NULL,254,137
PCT 3320,3320,SP,NULL,249,99
PCT 3321,3321,SP,NULL,349,155
PCT 3322,3322,SP,NULL,256,116
PCT 3323,3323,SP,NULL,312,135
PCT 3324,3324,SP,NULL,298,134
PCT 3325,3325,SP,NULL,411,128
PCT 3326,3326,SP,NULL,123,58
PCT 3327,3327,SP,NULL,240,84
PCT 3328,3328,SP,NULL,332,111
PCT 3329,3329,SP,NULL,282,80
