Row Label,PrecinctCode,County,Registered Voters,Garth Dano,Angus Lee
Total,-1,GR,NULL,10440,9103
Airport 1 001,1,GR,NULL,111,137
Beverly 002,2,GR,NULL,24,10
Block 71 003,3,GR,NULL,268,266
Cascade Fairgrnd 004,4,GR,NULL,128,111
Coulee City 005,5,GR,NULL,90,111
Coulee Cty Rur W 006,6,GR,NULL,41,41
Electric City 007,7,GR,NULL,180,132
Ephrata 5 008,8,GR,NULL,155,122
Ephrata 2 009,9,GR,NULL,213,145
Ephrata 3 010,10,GR,NULL,123,125
Ephrata 4 011,11,GR,NULL,242,173
Ephrata 7 012,12,GR,NULL,176,150
Ephrata 9 013,13,GR,NULL,286,237
Ephrata Rural ,14,GR,NULL,166,108
George 015,15,GR,NULL,36,5
George Rural 016,16,GR,NULL,342,152
Gloyd 017,17,GR,NULL,142,145
Grand Coulee 018,18,GR,NULL,145,88
Hartline 019,19,GR,NULL,34,22
Hartline Rural S 020,20,GR,NULL,15,11
Lakeview Park 021,21,GR,NULL,145,144
Longview 022,22,GR,NULL,182,217
Mae 023,23,GR,NULL,451,373
Marlin 024,24,GR,NULL,11,7
Marlin Rural 025,25,GR,NULL,27,17
Mattawa 026,26,GR,NULL,19,23
Mattawa Rural 027,27,GR,NULL,334,116
McConihe 1 028,28,GR,NULL,100,97
Moses Lake 5 029,29,GR,NULL,157,180
Moses Lake 3 030,30,GR,NULL,251,251
Moses Lake 4 031,31,GR,NULL,156,155
Moses Lake 6 032,32,GR,NULL,258,215
Moses Lake 7 033,33,GR,NULL,204,209
Moses Lake 8 034,34,GR,NULL,240,282
Moses Lake 11 035,35,GR,NULL,297,313
Moses Lake 12 036,36,GR,NULL,168,204
North Banks Lake 037,37,GR,NULL,34,32
O Sullivan Dam 1 038,38,GR,NULL,212,279
Quincy 1 039,39,GR,NULL,173,90
Quincy 4 040,40,GR,NULL,88,59
Quincy 6 041,41,GR,NULL,329,134
Quincy Rural N 042,42,GR,NULL,149,74
Royal Camp 043,43,GR,NULL,213,224
Royal City 044,44,GR,NULL,44,72
Ruff 045,45,GR,NULL,33,24
Smyrna 1 046,46,GR,NULL,64,63
Soap Lake 1 047,47,GR,NULL,117,70
Soap Lake Rur E ,48,GR,NULL,53,39
Stratford 049,49,GR,NULL,11,35
Warden 050,50,GR,NULL,91,85
Warden Rural 051,51,GR,NULL,164,235
Soap Lake 2 052,52,GR,NULL,111,67
Westslope 1 053,53,GR,NULL,43,58
Wheeler 1 054,54,GR,NULL,111,126
Wilson Creek 055,55,GR,NULL,40,31
Wilson Crk Rural 056,56,GR,NULL,15,14
Airport 2 057,57,GR,NULL,82,116
Cascade Valley 058,58,GR,NULL,279,294
Westslope 2 059,59,GR,NULL,34,45
Smyrna 2 060,60,GR,NULL,13,11
East Wahluke 061,61,GR,NULL,57,29
Coulee Cty Rur E 062,62,GR,NULL,10,12
McConihe 2 063,63,GR,NULL,81,80
Quincy Rural S 064,64,GR,NULL,366,167
Greenfield 065,65,GR,NULL,30,26
Moses Lake 1 066,66,GR,NULL,112,123
Moses Lake 2 067,67,GR,NULL,146,127
Moses Lake 9  068,68,GR,NULL,188,164
O Sullivan Dam 2 069,69,GR,NULL,302,362
Wheeler 2 070,70,GR,NULL,314,325
Soap Lake Rur W ,71,GR,NULL,200,145
Coulee Cty Rur N 072,72,GR,NULL,43,28
Hartline Rural N 073,73,GR,NULL,26,10
Ephrata Rural E,74,GR,NULL,145,134
