Row Label,PrecinctCode,County,Registered Voters,Derek Kilmer,Marty McClendon
Total,-1,JE,NULL,11056,4435
101 Gardiner,101,JE,NULL,137,53
102 Port Discovery,102,JE,NULL,131,79
103 Crocker,103,JE,NULL,101,71
104 Cape George,104,JE,NULL,400,120
105 Discovery Bay,105,JE,NULL,394,101
106 North Jacob,106,JE,NULL,307,82
107 South Jacob,107,JE,NULL,365,140
200 Coyle,200,JE,NULL,159,84
201 Quilcene,201,JE,NULL,280,239
204 Brinnon,204,JE,NULL,342,310
300 Chimacum I,300,JE,NULL,210,140
301 Chimacum II,301,JE,NULL,131,80
302 Center I,302,JE,NULL,188,106
303 Hadlock,303,JE,NULL,331,150
304 Kala Point,304,JE,NULL,412,177
305 Irondale I,305,JE,NULL,259,103
306 Irondale II,306,JE,NULL,315,159
307 Four Corners,307,JE,NULL,209,103
308 Center II,308,JE,NULL,132,58
401 Nordland,401,JE,NULL,378,164
500 Port Ludlow,500,JE,NULL,301,307
501 Port Ludlow I,501,JE,NULL,385,244
502 Port Ludlow II,502,JE,NULL,258,154
503 Port Ludlow III,503,JE,NULL,222,199
504 Port Ludlow IV,504,JE,NULL,172,104
505 Port Ludlow V,505,JE,NULL,267,176
600 Hoh,600,JE,NULL,21,24
601 Queets,601,JE,NULL,22,18
700 Port Townsend,700,JE,NULL,415,84
701 Port Townsend,701,JE,NULL,206,31
702 Port Townsend,702,JE,NULL,253,33
703 Port Townsend,703,JE,NULL,296,41
704 Port Townsend,704,JE,NULL,222,24
705 Port Townsend,705,JE,NULL,247,63
706 Port Townsend,706,JE,NULL,628,101
707 Port Townsend,707,JE,NULL,533,108
708 Port Townsend,708,JE,NULL,575,75
709 Port Townsend,709,JE,NULL,520,65
710 Port Townsend,710,JE,NULL,332,65
