Row Label,PrecinctCode,County,Registered Voters,Jonathan L. Meyer
Total,-1,LE,NULL,17427
Adna ,1,LE,NULL,475
Agate,2,LE,NULL,135
Alpha,3,LE,NULL,343
Berwick,4,LE,NULL,409
Big Bottom,5,LE,NULL,276
Boistfort,6,LE,NULL,96
Cinebar,7,LE,NULL,234
Claquato,8,LE,NULL,271
Cowlitz,9,LE,NULL,427
Crego,10,LE,NULL,615
Curtis,11,LE,NULL,110
Drews Prairie,12,LE,NULL,132
Dryad,13,LE,NULL,91
Elk Crk,14,LE,NULL,88
Emery,15,LE,NULL,160
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,349
Evaline East,18,LE,NULL,95
Evaline West,19,LE,NULL,154
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,313
Forest,22,LE,NULL,302
Greenwood,23,LE,NULL,10
Harmony,24,LE,NULL,263
Independence,25,LE,NULL,54
Jackson,26,LE,NULL,334
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,162
Lincoln Creek,30,LE,NULL,229
Logan,31,LE,NULL,265
Mauermann,32,LE,NULL,59
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,53
Mineral,35,LE,NULL,137
Newaukum,36,LE,NULL,251
Onalaska,37,LE,NULL,500
Packwood,38,LE,NULL,74
Paradise,39,LE,NULL,39
Parcuvia,40,LE,NULL,212
Prescott,41,LE,NULL,511
Randle East,42,LE,NULL,224
Randle West,43,LE,NULL,184
Roswell,44,LE,NULL,8
Salkum,45,LE,NULL,225
Salmon Creek,46,LE,NULL,435
Salzer,47,LE,NULL,124
Sears,48,LE,NULL,199
Seminary Hill,49,LE,NULL,142
Silver Creek,50,LE,NULL,265
Skookumchuck,51,LE,NULL,278
Sommerville,52,LE,NULL,45
Stearns Creek,53,LE,NULL,112
Stillwater East,54,LE,NULL,71
Stillwater West,55,LE,NULL,135
Temple,56,LE,NULL,200
Union,57,LE,NULL,205
Urquhart,58,LE,NULL,173
Veness,59,LE,NULL,266
Verndale,60,LE,NULL,244
Whealdon,61,LE,NULL,195
Centralia #1,101,LE,NULL,121
Centralia #2,102,LE,NULL,319
Centralia #3,103,LE,NULL,118
Centralia #4,104,LE,NULL,181
Centralia #5,105,LE,NULL,125
Centralia #6,106,LE,NULL,241
Centralia #7,107,LE,NULL,131
Centralia #8,108,LE,NULL,146
Centralia #9,109,LE,NULL,308
Centralia #10,110,LE,NULL,119
Centralia #11,111,LE,NULL,306
Centralia #12,112,LE,NULL,371
Centralia #13,113,LE,NULL,378
Chehalis #1,201,LE,NULL,199
Chehalis #2,202,LE,NULL,145
Chehalis #3,203,LE,NULL,160
Chehalis #4,204,LE,NULL,143
Chehalis #5,205,LE,NULL,131
Chehalis #6,206,LE,NULL,272
Chehalis #7,207,LE,NULL,52
Chehalis #8,208,LE,NULL,201
Chehalis #9,209,LE,NULL,13
Morton,300,LE,NULL,206
Mossyrock,400,LE,NULL,107
Napavine #1,501,LE,NULL,365
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,3
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,143
Toledo,700,LE,NULL,142
Vader,800,LE,NULL,107
Winlock,900,LE,NULL,213
