Row Label,PrecinctCode,County,Registered Voters,Michael E Clay,Gina A Tveit
Total,-1,ST,NULL,5924,9729
ADDY,1,ST,NULL,168,213
CAMAS,3,ST,NULL,146,154
CAMAS PRAIRIE,4,ST,NULL,96,107
COLUMBIA,5,ST,NULL,154,318
COLVILLE VALLEY,6,ST,NULL,166,433
DAISY,7,ST,NULL,41,141
ECHO,8,ST,NULL,151,247
EVANS,9,ST,NULL,82,141
HUNTERS,10,ST,NULL,151,203
KELLY HILL,11,ST,NULL,29,78
LOON LAKE 1,12,ST,NULL,191,238
LOON LAKE 2,13,ST,NULL,104,134
MILL CREEK,14,ST,NULL,57,105
NARCISSE,15,ST,NULL,144,316
ONION CREEK,16,ST,NULL,40,94
RICE,19,ST,NULL,73,128
ROCK CUT,20,ST,NULL,33,48
SUMMIT,21,ST,NULL,107,144
FIRST THOUGHT,22,ST,NULL,14,42
WELLPINIT,24,ST,NULL,66,88
WILLIAMS VALLEY,25,ST,NULL,247,199
TUM TUM 1,26,ST,NULL,117,93
TUM TUM 2,27,ST,NULL,155,247
WALKERS PRAIRIE,28,ST,NULL,123,127
STONE LODGE,29,ST,NULL,157,176
TUM TUM 3,39,ST,NULL,223,256
TUM TUM 4,40,ST,NULL,144,129
TUM TUM 5,41,ST,NULL,131,187
MEYERS FALLS 1,42,ST,NULL,113,193
MEYERS FALLS 2,43,ST,NULL,152,333
QUARTZITE 1,44,ST,NULL,186,359
QUARTZITE 2,45,ST,NULL,104,174
VALLEY 1,46,ST,NULL,24,35
VALLEY 2,47,ST,NULL,69,149
ARDEN 1,48,ST,NULL,87,237
ARDEN 2,49,ST,NULL,105,260
CLAYTON 1,50,ST,NULL,116,101
CLAYTON 2,51,ST,NULL,218,162
ORIN 1,52,ST,NULL,83,180
ORIN 2,53,ST,NULL,111,222
WAITTS LAKE,54,ST,NULL,152,194
ECHO VALLEY,55,ST,NULL,97,116
CHEWELAH 1,101,ST,NULL,109,168
CHEWELAH 2,102,ST,NULL,38,100
CHEWELAH 3,103,ST,NULL,76,134
CHEWELAH FORE,104,ST,NULL,59,115
COLVILLE 1,105,ST,NULL,50,94
COLVILLE 2,106,ST,NULL,46,140
COLVILLE 3,107,ST,NULL,67,123
COLVILLE 4,108,ST,NULL,103,294
COLVILLE 5,109,ST,NULL,83,231
COLVILLE 6,110,ST,NULL,57,153
COLVILLE 7,111,ST,NULL,54,158
KETTLE FALLS 1,114,ST,NULL,120,208
KETTLE FALLS 2,115,ST,NULL,65,140
MARCUS,116,ST,NULL,23,45
NORTHPORT,117,ST,NULL,25,80
SPRINGDALE,118,ST,NULL,22,45
