Row Label,PrecinctCode,County,Registered Voters,G. Scott Marinella
Total,-1,CU,NULL,1466
ALTO,1,CU,NULL,51
COLUMBIA,2,CU,NULL,206
PING,3,CU,NULL,139
STAR,4,CU,NULL,79
STARBUCK COUNTRY,5,CU,NULL,17
TUCANNON,6,CU,NULL,49
BROOKLYN,101,CU,NULL,152
DAYTON,102,CU,NULL,182
MUSTARD,103,CU,NULL,146
PATIT,104,CU,NULL,129
RAINWATER,105,CU,NULL,121
STARBUCK CITY,106,CU,NULL,53
TOUCHET,107,CU,NULL,142
