Row Label,PrecinctCode,County,Registered Voters,John Knowlton
Total,-1,WL,NULL,12966
Alderbrook 01,1,WL,NULL,159
Alder 02,2,WL,NULL,128
Ash 03,3,WL,NULL,298
Baumeister 04,4,WL,NULL,280
Birch 05,5,WL,NULL,176
Clark 06,6,WL,NULL,125
College 07,7,WL,NULL,185
Edison 08,8,WL,NULL,209
Garfield 09,9,WL,NULL,237
Green Park 10,10,WL,NULL,125
Henderson 11,11,WL,NULL,188
Isaacs 12,12,WL,NULL,142
Jefferson 13,13,WL,NULL,433
Maple 16,16,WL,NULL,392
Marcus 17,17,WL,NULL,506
Monroe 18,18,WL,NULL,460
Paine 20,20,WL,NULL,88
Pine 21,21,WL,NULL,134
Pleasant 22,22,WL,NULL,381
Sharpstein 23,23,WL,NULL,177
Spruce 24,24,WL,NULL,155
Stadium 25,25,WL,NULL,166
Tausick 26,26,WL,NULL,181
Wainwright 28,28,WL,NULL,337
Watertown 29,29,WL,NULL,171
Abbott 31,31,WL,NULL,244
Baker 33,33,WL,NULL,77
Ice Harbor 34,34,WL,NULL,284
Berney 35,35,WL,NULL,191
Blalock 36,36,WL,NULL,329
Braden 37,37,WL,NULL,370
Burbank 38,38,WL,NULL,388
Clyde 39,39,WL,NULL,20
Derry 40,40,WL,NULL,116
Dixie 41,41,WL,NULL,178
Eureka 5 42,42,WL,NULL,48
Eureka 4 43,43,WL,NULL,2
Frenchtown 5 44,44,WL,NULL,154
Frenchtown 4 45,45,WL,NULL,40
Garrison 46,46,WL,NULL,172
Gose 47,47,WL,NULL,82
Lincoln 49,49,WL,NULL,46
Mill Creek 50,50,WL,NULL,173
Moore 51,51,WL,NULL,184
Pros Point 52,52,WL,NULL,700
Ritz 53,53,WL,NULL,391
McNary 54,54,WL,NULL,177
Touchet 4 55,55,WL,NULL,236
Touchet 5 56,56,WL,NULL,4
Twin Grove 57,57,WL,NULL,162
Yellowhawk 58,58,WL,NULL,25
Wallula 59,59,WL,NULL,23
Washington 60,60,WL,NULL,110
CP 1 61,61,WL,NULL,371
CP 2 62,62,WL,NULL,273
CP 3 63,63,WL,NULL,346
Prescott 64,64,WL,NULL,71
Waitsburg 65,65,WL,NULL,361
CP 4 66,66,WL,NULL,415
CP 5 67,67,WL,NULL,317
CP 6 68,68,WL,NULL,53
