Row Label,PrecinctCode,County,Registered Voters,Stephen M. Brown
Total,-1,KT,NULL,4936
ALDER CREEK,1,KT,NULL,105
CENTERVILLE,2,KT,NULL,183
COLUMBUS,3,KT,NULL,29
E KLICKITAT,4,KT,NULL,74
F VALLEY,5,KT,NULL,236
GLENWOOD,6,KT,NULL,179
HUSUM,7,KT,NULL,202
LYLE,8,KT,NULL,260
MT BROOK,9,KT,NULL,183
N DALLES,11,KT,NULL,251
N F VALLEY,12,KT,NULL,262
PINE FOREST,13,KT,NULL,460
ROOSEVELT,14,KT,NULL,48
TROUT LAKE,16,KT,NULL,182
W KLICKITAT,17,KT,NULL,53
WISHRAM,19,KT,NULL,65
WOODLAND,20,KT,NULL,510
ORCHARD HTS,21,KT,NULL,146
APPLETON,22,KT,NULL,65
ALDERDALE,23,KT,NULL,30
E LYLE,24,KT,NULL,81
RIVER,27,KT,NULL,18
HGH PRAIRIE,28,KT,NULL,33
BINGEN,101,KT,NULL,88
GOLDENDALE 1,102,KT,NULL,302
GOLDENDALE 2,103,KT,NULL,276
GOLDENDALE 3,104,KT,NULL,206
WHITE SALMON,109,KT,NULL,260
N WHITE SALMON,110,KT,NULL,149
