Row Label,PrecinctCode,County,Registered Voters,David R. Koss
Total,-1,CZ,NULL,19399
Alabama,1,CZ,NULL,214
Ammons,2,CZ,NULL,209
Arkansas,3,CZ,NULL,127
Bakers,4,CZ,NULL,11
Baltimore,5,CZ,NULL,310
Beacon,6,CZ,NULL,405
Boondox,7,CZ,NULL,10
Brynion,8,CZ,NULL,218
Burcham,9,CZ,NULL,522
Caples,10,CZ,NULL,100
Carrolls,11,CZ,NULL,296
Castle Rock,12,CZ,NULL,395
Chinook,13,CZ,NULL,327
Cloverdale,14,CZ,NULL,235
Coal Creek,15,CZ,NULL,404
Columbia Heights,16,CZ,NULL,190
Columbia Valley Gdns,17,CZ,NULL,221
Crawford,18,CZ,NULL,295
Delameter,19,CZ,NULL,267
Douglas,20,CZ,NULL,231
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,259
Haussler,23,CZ,NULL,202
Hillcrest,24,CZ,NULL,523
Hudson,25,CZ,NULL,359
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,243
Kalama South,28,CZ,NULL,323
Kessler,29,CZ,NULL,376
Lake,30,CZ,NULL,270
Laurel,31,CZ,NULL,377
Lewis River,32,CZ,NULL,352
Lexington,33,CZ,NULL,295
Lone Oak,34,CZ,NULL,178
Magnolia,35,CZ,NULL,482
Marigold,36,CZ,NULL,433
McGowan,37,CZ,NULL,59
Memorial,38,CZ,NULL,204
Mill,39,CZ,NULL,395
Mint Valley,40,CZ,NULL,504
Modrow,41,CZ,NULL,260
Mt. Solo,42,CZ,NULL,92
Nevada,43,CZ,NULL,270
Ocean Beach,44,CZ,NULL,293
Olson,45,CZ,NULL,199
Ostrander,46,CZ,NULL,315
Owl Creek,47,CZ,NULL,387
Pacific,48,CZ,NULL,362
Ponderosa,49,CZ,NULL,256
Powell,50,CZ,NULL,277
Redpath,51,CZ,NULL,242
Ridgecrest,52,CZ,NULL,22
Robbins,53,CZ,NULL,421
Rose Valley,54,CZ,NULL,196
Ryderwood,55,CZ,NULL,140
Sacajawea,56,CZ,NULL,580
Sandy Bend,57,CZ,NULL,285
Silver Lake,58,CZ,NULL,484
Sparks,59,CZ,NULL,190
St. Helens,60,CZ,NULL,158
Stella,61,CZ,NULL,273
Toutle,62,CZ,NULL,375
Tower,63,CZ,NULL,440
Tunstall,64,CZ,NULL,110
View,65,CZ,NULL,204
West Kelso,66,CZ,NULL,93
Willow Grove,67,CZ,NULL,92
Windemere,68,CZ,NULL,432
Woodage,69,CZ,NULL,214
Woodland North,70,CZ,NULL,379
Woodland South,71,CZ,NULL,318
Yale,72,CZ,NULL,216
