Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,SN,NULL,141352
BOTHELL 31,10141598,SN,NULL,217
BOTHELL 32,10141599,SN,NULL,156
BOTHELL 33,10141600,SN,NULL,206
BOTHELL 34,10141601,SN,NULL,234
BOTHELL 35,10141602,SN,NULL,183
BOTHELL 36,10141603,SN,NULL,204
BOTHELL 37,10141604,SN,NULL,259
BOTHELL 38,10141605,SN,NULL,198
BOTHELL 39,10141606,SN,NULL,159
BOTHELL 40,10141607,SN,NULL,243
BOTHELL 41,10141608,SN,NULL,250
BOTHELL 42,10141609,SN,NULL,283
BOTHELL 43,10141610,SN,NULL,167
BOTHELL 44,10141611,SN,NULL,168
BOTHELL 45,10141612,SN,NULL,115
BOTHELL 46,10141613,SN,NULL,216
BOTHELL 47,10141644,SN,NULL,230
ELWOOD,10144165,SN,NULL,211
RAINIER,10144171,SN,NULL,112
GRANNIS,10144266,SN,NULL,211
SUNSET,10144271,SN,NULL,292
VIEW,10144330,SN,NULL,234
WITHERS,10144338,SN,NULL,268
CAVALRY,10144370,SN,NULL,208
MAPLEWOOD,10144426,SN,NULL,190
PARKSHORE,10144479,SN,NULL,176
STAFFORD,10144484,SN,NULL,142
REDHAWK,10144552,SN,NULL,266
VALLEY,10144559,SN,NULL,59
GATEWAY,10144581,SN,NULL,238
SNOCADE,10144592,SN,NULL,283
TOTEM FALLS,10144594,SN,NULL,310
WOODSHIRE,10144597,SN,NULL,170
SILVER CREEK,10144635,SN,NULL,175
KENNARD,10144639,SN,NULL,189
GLENBAR,10144646,SN,NULL,166
OLDMARK,10144656,SN,NULL,279
KINGMAN,10144685,SN,NULL,329
CRYSTAL CREEK,10144691,SN,NULL,130
TAMBARK,10144715,SN,NULL,196
BEAR CREEK,10154009,SN,NULL,152
MALTBY,10154026,SN,NULL,215
CATHCART,10154032,SN,NULL,143
CLEARVIEW,10154062,SN,NULL,233
MINOR,10154170,SN,NULL,219
BEECHER,10154178,SN,NULL,216
WOODLAND,10154273,SN,NULL,95
CREEK,10154283,SN,NULL,252
PARADISE,10154310,SN,NULL,198
TURNER,10154329,SN,NULL,296
WELLINGTON,10154333,SN,NULL,281
WHEELER,10154334,SN,NULL,172
