Row Label,PrecinctCode,County,Registered Voters,Rich Melnick
Total,-1,LE,NULL,14597
Adna ,1,LE,NULL,362
Agate,2,LE,NULL,123
Alpha,3,LE,NULL,301
Berwick,4,LE,NULL,317
Big Bottom,5,LE,NULL,253
Boistfort,6,LE,NULL,62
Cinebar,7,LE,NULL,204
Claquato,8,LE,NULL,207
Cowlitz,9,LE,NULL,366
Crego,10,LE,NULL,483
Curtis,11,LE,NULL,74
Drews Prairie,12,LE,NULL,118
Dryad,13,LE,NULL,74
Elk Crk,14,LE,NULL,68
Emery,15,LE,NULL,124
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,277
Evaline East,18,LE,NULL,86
Evaline West,19,LE,NULL,133
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,247
Forest,22,LE,NULL,231
Greenwood,23,LE,NULL,7
Harmony,24,LE,NULL,217
Independence,25,LE,NULL,51
Jackson,26,LE,NULL,284
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,136
Lincoln Creek,30,LE,NULL,185
Logan,31,LE,NULL,221
Mauermann,32,LE,NULL,53
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,41
Mineral,35,LE,NULL,122
Newaukum,36,LE,NULL,183
Onalaska,37,LE,NULL,421
Packwood,38,LE,NULL,61
Paradise,39,LE,NULL,39
Parcuvia,40,LE,NULL,157
Prescott,41,LE,NULL,444
Randle East,42,LE,NULL,210
Randle West,43,LE,NULL,158
Roswell,44,LE,NULL,6
Salkum,45,LE,NULL,186
Salmon Creek,46,LE,NULL,374
Salzer,47,LE,NULL,94
Sears,48,LE,NULL,167
Seminary Hill,49,LE,NULL,117
Silver Creek,50,LE,NULL,222
Skookumchuck,51,LE,NULL,221
Sommerville,52,LE,NULL,38
Stearns Creek,53,LE,NULL,87
Stillwater East,54,LE,NULL,73
Stillwater West,55,LE,NULL,125
Temple,56,LE,NULL,178
Union,57,LE,NULL,149
Urquhart,58,LE,NULL,132
Veness,59,LE,NULL,218
Verndale,60,LE,NULL,226
Whealdon,61,LE,NULL,157
Centralia #1,101,LE,NULL,110
Centralia #2,102,LE,NULL,258
Centralia #3,103,LE,NULL,110
Centralia #4,104,LE,NULL,144
Centralia #5,105,LE,NULL,122
Centralia #6,106,LE,NULL,218
Centralia #7,107,LE,NULL,103
Centralia #8,108,LE,NULL,131
Centralia #9,109,LE,NULL,262
Centralia #10,110,LE,NULL,107
Centralia #11,111,LE,NULL,264
Centralia #12,112,LE,NULL,309
Centralia #13,113,LE,NULL,324
Chehalis #1,201,LE,NULL,181
Chehalis #2,202,LE,NULL,124
Chehalis #3,203,LE,NULL,142
Chehalis #4,204,LE,NULL,133
Chehalis #5,205,LE,NULL,113
Chehalis #6,206,LE,NULL,214
Chehalis #7,207,LE,NULL,40
Chehalis #8,208,LE,NULL,158
Chehalis #9,209,LE,NULL,12
Morton,300,LE,NULL,180
Mossyrock,400,LE,NULL,98
Napavine #1,501,LE,NULL,306
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,2
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,131
Toledo,700,LE,NULL,131
Vader,800,LE,NULL,98
Winlock,900,LE,NULL,199
