Row Label,PrecinctCode,County,Registered Voters,Matt Elich
Total,-1,WM,NULL,45013
101,101,WM,NULL,274
102,102,WM,NULL,226
103,103,WM,NULL,276
104,104,WM,NULL,205
105,105,WM,NULL,157
106    ,106,WM,NULL,281
107,107,WM,NULL,378
108,108,WM,NULL,388
110,110,WM,NULL,284
111    ,111,WM,NULL,297
112,112,WM,NULL,136
113,113,WM,NULL,279
114,114,WM,NULL,173
115,115,WM,NULL,277
116,116,WM,NULL,163
117,117,WM,NULL,231
118,118,WM,NULL,337
119    ,119,WM,NULL,177
120,120,WM,NULL,266
121,121,WM,NULL,187
122,122,WM,NULL,221
123,123,WM,NULL,197
124    ,124,WM,NULL,179
125,125,WM,NULL,275
126    ,126,WM,NULL,371
127,127,WM,NULL,396
129,129,WM,NULL,308
130,130,WM,NULL,180
131,131,WM,NULL,359
132,132,WM,NULL,225
133,133,WM,NULL,186
134    ,134,WM,NULL,401
135,135,WM,NULL,278
136    ,136,WM,NULL,276
137,137,WM,NULL,179
138,138,WM,NULL,258
139,139,WM,NULL,140
140    ,140,WM,NULL,406
141    ,141,WM,NULL,363
142,142,WM,NULL,255
143    ,143,WM,NULL,183
144    ,144,WM,NULL,339
145    ,145,WM,NULL,408
146    ,146,WM,NULL,364
147,147,WM,NULL,286
148,148,WM,NULL,298
149,149,WM,NULL,242
150,150,WM,NULL,342
151,151,WM,NULL,349
152,152,WM,NULL,295
153,153,WM,NULL,280
154    ,154,WM,NULL,212
155,155,WM,NULL,196
156    ,156,WM,NULL,145
157,157,WM,NULL,136
158    ,158,WM,NULL,146
159    ,159,WM,NULL,87
160    ,160,WM,NULL,281
161    ,161,WM,NULL,183
162    ,162,WM,NULL,214
163    ,163,WM,NULL,241
164    ,164,WM,NULL,84
165    ,165,WM,NULL,146
166    ,166,WM,NULL,298
167    ,167,WM,NULL,45
168    ,168,WM,NULL,358
169    ,169,WM,NULL,398
170    ,170,WM,NULL,214
171    ,171,WM,NULL,319
172    ,172,WM,NULL,195
173    ,173,WM,NULL,258
174    ,174,WM,NULL,233
175    ,175,WM,NULL,255
176    ,176,WM,NULL,207
177    ,177,WM,NULL,194
178    ,178,WM,NULL,301
179    ,179,WM,NULL,82
180    ,180,WM,NULL,269
181    ,181,WM,NULL,374
182    ,182,WM,NULL,348
183    ,183,WM,NULL,14
201    ,201,WM,NULL,483
202,202,WM,NULL,228
203,203,WM,NULL,350
204,204,WM,NULL,148
205,205,WM,NULL,224
206,206,WM,NULL,298
207,207,WM,NULL,189
208,208,WM,NULL,421
209,209,WM,NULL,301
210,210,WM,NULL,287
211,211,WM,NULL,311
212,212,WM,NULL,164
213,213,WM,NULL,349
214,214,WM,NULL,234
215,215,WM,NULL,270
216,216,WM,NULL,284
217,217,WM,NULL,240
218,218,WM,NULL,245
219,219,WM,NULL,272
220,220,WM,NULL,247
221,221,WM,NULL,311
222,222,WM,NULL,372
223,223,WM,NULL,153
224,224,WM,NULL,86
225,225,WM,NULL,274
226,226,WM,NULL,137
227,227,WM,NULL,299
228,228,WM,NULL,200
229,229,WM,NULL,260
230,230,WM,NULL,167
231,231,WM,NULL,263
232,232,WM,NULL,279
233,233,WM,NULL,268
234,234,WM,NULL,311
235,235,WM,NULL,168
236,236,WM,NULL,127
237,237,WM,NULL,168
238,238,WM,NULL,248
239,239,WM,NULL,344
240,240,WM,NULL,334
241,241,WM,NULL,223
242,242,WM,NULL,192
243,243,WM,NULL,281
244,244,WM,NULL,292
245,245,WM,NULL,169
246,246,WM,NULL,194
247,247,WM,NULL,165
248    ,248,WM,NULL,199
249    ,249,WM,NULL,314
250    ,250,WM,NULL,403
251    ,251,WM,NULL,282
252    ,252,WM,NULL,48
253    ,253,WM,NULL,222
254    ,254,WM,NULL,219
255    ,255,WM,NULL,173
256    ,256,WM,NULL,271
257    ,257,WM,NULL,148
258    ,258,WM,NULL,246
259    ,259,WM,NULL,178
260    ,260,WM,NULL,236
261    ,261,WM,NULL,262
262    ,262,WM,NULL,227
263    ,263,WM,NULL,227
264    ,264,WM,NULL,284
265    ,265,WM,NULL,258
266    ,266,WM,NULL,306
267    ,267,WM,NULL,33
268,268,WM,NULL,15
301,301,WM,NULL,417
302,302,WM,NULL,413
303,303,WM,NULL,369
304    ,304,WM,NULL,134
401,401,WM,NULL,192
402    ,402,WM,NULL,245
501,501,WM,NULL,283
502,502,WM,NULL,273
503,503,WM,NULL,365
504,504,WM,NULL,162
505,505,WM,NULL,358
506    ,506,WM,NULL,298
507    ,507,WM,NULL,282
508    ,508,WM,NULL,324
509    ,509,WM,NULL,240
601,601,WM,NULL,443
602,602,WM,NULL,364
603,603,WM,NULL,299
604    ,604,WM,NULL,287
605,605,WM,NULL,193
606    ,606,WM,NULL,326
607    ,607,WM,NULL,290
608    ,608,WM,NULL,285
609    ,609,WM,NULL,414
610    ,610,WM,NULL,397
611    ,611,WM,NULL,194
701,701,WM,NULL,297
801,801,WM,NULL,224
