Row Label,PrecinctCode,County,Registered Voters,Levy Yes,Levy No
Total,-1,SN,NULL,4727,5131
BOULDER,11014016,SN,NULL,189,237
BRYANT,11014021,SN,NULL,47,78
ARMSTRONG,11014027,SN,NULL,116,135
TRONSON,11014326,SN,NULL,100,116
HENNING,11014647,SN,NULL,193,229
NORTH FORK,11014759,SN,NULL,73,113
ARLINGTON 18,13911760,SN,NULL,0,0
TRAFTON,13914015,SN,NULL,81,159
JIM CREEK,13914053,SN,NULL,175,245
OSO,13914060,SN,NULL,90,119
BURN HILL,13914264,SN,NULL,151,187
SISCO,13914270,SN,NULL,175,184
HEIGHTS,13914347,SN,NULL,119,196
PORTAGE,13914433,SN,NULL,56,92
STILLAGUAMISH,13914496,SN,NULL,60,66
PILOT,13914517,SN,NULL,113,227
ARNOT,13914519,SN,NULL,107,156
HUCKLEBERRY,13914533,SN,NULL,73,104
JORDAN BRIDGE,13914583,SN,NULL,43,45
MC FARLAND,13914681,SN,NULL,168,204
SILVANA,21014037,SN,NULL,97,128
KACKMAN,21014296,SN,NULL,117,110
HAPPY VALLEY,21014457,SN,NULL,99,113
ARLINGTON  1,23911049,SN,NULL,164,131
ARLINGTON  2,23911050,SN,NULL,119,112
ARLINGTON  3,23911051,SN,NULL,160,86
ARLINGTON  4,23911130,SN,NULL,259,189
ARLINGTON  5,23911386,SN,NULL,223,178
ARLINGTON  6,23911498,SN,NULL,170,149
ARLINGTON  7,23911499,SN,NULL,203,187
ARLINGTON  8(*),23911518,SN,NULL,0,0
ARLINGTON  9(*),23911569,SN,NULL,0,0
ARLINGTON 11,23911574,SN,NULL,93,69
ARLINGTON 12,23911636,SN,NULL,137,93
ARLINGTON 13,23911643,SN,NULL,206,195
ARLINGTON 14,23911661,SN,NULL,126,108
MARYSVILLE 33,23911680,SN,NULL,2,2
ARLINGTON 16,23911687,SN,NULL,135,85
ARLINGTON 17,23911751,SN,NULL,2,5
EDGECOMB,23914023,SN,NULL,120,160
