Row Label,PrecinctCode,County,Registered Voters,Kalo Wilcox
Total,-1,TH,NULL,50624
Cougar Mountain,28,TH,NULL,49
Clear Lake,30,TH,NULL,336
Lackamas,31,TH,NULL,80
Morris,32,TH,NULL,233
Evergreen Ballroom,33,TH,NULL,280
Trails End,34,TH,NULL,396
Kaiser,35,TH,NULL,98
Rich,36,TH,NULL,157
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,125
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,85
Steamboat Island,44,TH,NULL,177
Rocky Prairie,45,TH,NULL,146
Lawrence Lake,46,TH,NULL,267
Woodard Creek,47,TH,NULL,178
Michigan Hill,48,TH,NULL,101
Scott Lake South,49,TH,NULL,175
Salmon Creek,50,TH,NULL,136
Spurgeon Creek,51,TH,NULL,94
James,52,TH,NULL,181
Vail,53,TH,NULL,251
Rochester 5,54,TH,NULL,222
Rochester 4,55,TH,NULL,159
Medicine Creek,57,TH,NULL,105
Skokomish,58,TH,NULL,177
Pleasant Hill,59,TH,NULL,224
Smith Prairie,60,TH,NULL,261
Black River,62,TH,NULL,309
Ames,63,TH,NULL,181
Airport,64,TH,NULL,20
Luhr Beach,65,TH,NULL,249
Fish Trap,66,TH,NULL,156
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,9
Simmons 4,70,TH,NULL,10
Pines,74,TH,NULL,180
Long Lake,75,TH,NULL,58
Hawk Acres,76,TH,NULL,134
Zenkner Valley,77,TH,NULL,53
Tri Lakes,78,TH,NULL,123
University South,79,TH,NULL,121
Tolmie,80,TH,NULL,93
Military,81,TH,NULL,85
Glen Terra,82,TH,NULL,74
Prine,83,TH,NULL,43
Glenwood,84,TH,NULL,79
Greenridge,86,TH,NULL,146
Woodland,88,TH,NULL,198
Tilley,89,TH,NULL,265
Sweet Briar,90,TH,NULL,297
Deerbrush,91,TH,NULL,256
Mushroom Corner,92,TH,NULL,224
Trailblazer,93,TH,NULL,85
Frye Cove,94,TH,NULL,227
Oyster Bay,95,TH,NULL,226
Summit Lake,96,TH,NULL,181
Delridge,97,TH,NULL,61
Marvin,98,TH,NULL,258
Alpine,99,TH,NULL,355
Hewitt Lake,100,TH,NULL,276
Zangle,101,TH,NULL,190
Boston Harbor,102,TH,NULL,254
Gull Harbor,103,TH,NULL,140
Friendly Grove,104,TH,NULL,115
South Bay,105,TH,NULL,258
Puget,106,TH,NULL,266
Bigelow,107,TH,NULL,182
Pleasant Glade,109,TH,NULL,134
Montgomery,110,TH,NULL,121
Nisqually,111,TH,NULL,177
Roosevelt,112,TH,NULL,253
Kinwood,113,TH,NULL,184
Mckinley,114,TH,NULL,75
Forest,115,TH,NULL,311
St Clair,116,TH,NULL,201
Hicks,117,TH,NULL,34
Fleetwood,118,TH,NULL,294
Lydia Hawk,119,TH,NULL,375
Hays,120,TH,NULL,162
Indian Summer,121,TH,NULL,256
Chambers,122,TH,NULL,346
Freedom,123,TH,NULL,281
Fristoe,124,TH,NULL,159
Deschutes,125,TH,NULL,238
Longmire,126,TH,NULL,152
Ruth Prairie,127,TH,NULL,103
Weir Prairie,128,TH,NULL,209
College,129,TH,NULL,35
Bald Hills,130,TH,NULL,57
Hunter Point,131,TH,NULL,137
Griffin,132,TH,NULL,198
Schneiders Prairie,133,TH,NULL,163
Cooper Point,134,TH,NULL,203
Butler Cove,135,TH,NULL,213
Broadway,136,TH,NULL,272
Plainview,139,TH,NULL,315
Mud Bay,140,TH,NULL,198
Mclane,141,TH,NULL,160
Bush Prairie,143,TH,NULL,54
Black Lake,144,TH,NULL,273
Delphi,145,TH,NULL,208
South Union,146,TH,NULL,268
Plumb,147,TH,NULL,239
Scatter Creek,148,TH,NULL,169
Mcintosh,149,TH,NULL,360
Violet Prairie,150,TH,NULL,244
Littlerock,151,TH,NULL,341
Rochester 1,153,TH,NULL,271
Rochester 2,154,TH,NULL,200
Scott Lake North,155,TH,NULL,97
Grand Mound,156,TH,NULL,108
Gibson Valley,157,TH,NULL,29
Skookumchuck,158,TH,NULL,211
Johnson Point,160,TH,NULL,263
Wards,161,TH,NULL,98
Thompson,162,TH,NULL,145
Smith Lake,163,TH,NULL,213
Evergreen Shores,164,TH,NULL,182
Sunwood Lakes,165,TH,NULL,333
Eaton Creek,166,TH,NULL,131
Hawks Ridge,167,TH,NULL,103
Holmes,168,TH,NULL,188
Mcallister Creek,169,TH,NULL,194
Rochester 3,170,TH,NULL,219
Waddell Creek,171,TH,NULL,175
Tykle Cove,172,TH,NULL,207
Camelot,173,TH,NULL,142
French,174,TH,NULL,219
Sunset Beach,175,TH,NULL,248
Henderson,176,TH,NULL,299
Pattison,178,TH,NULL,226
Four Corners,179,TH,NULL,308
Stedman,180,TH,NULL,130
Munn Lake,182,TH,NULL,126
Beach Crest,183,TH,NULL,172
Scheller,184,TH,NULL,96
Fair Oaks,185,TH,NULL,139
Wilderness,186,TH,NULL,292
Mullen,187,TH,NULL,253
Sleater Kinney,189,TH,NULL,198
Lakeside,190,TH,NULL,116
Gallagher Cove,191,TH,NULL,322
East Olympia,192,TH,NULL,200
Berry Valley,193,TH,NULL,178
Hartwood,194,TH,NULL,364
Libby,195,TH,NULL,176
Meadows,196,TH,NULL,171
Summerset,197,TH,NULL,339
Henness,198,TH,NULL,322
Beaver Creek,199,TH,NULL,388
Olympia 01,201,TH,NULL,185
Olympia 02,202,TH,NULL,199
Olympia 03,203,TH,NULL,203
Olympia 04,204,TH,NULL,197
Olympia 05,205,TH,NULL,179
Olympia 06,206,TH,NULL,322
Olympia 07,207,TH,NULL,117
Olympia 08,208,TH,NULL,184
Olympia 09,209,TH,NULL,356
Olympia 10,210,TH,NULL,199
Olympia 11,211,TH,NULL,173
Olympia 12,212,TH,NULL,118
Olympia 13,213,TH,NULL,196
Olympia 14,214,TH,NULL,189
Olympia 15,215,TH,NULL,139
Olympia 16,216,TH,NULL,43
Olympia 17,217,TH,NULL,153
Olympia 18,218,TH,NULL,183
Olympia 19,219,TH,NULL,174
Olympia 20,220,TH,NULL,95
Olympia 21,221,TH,NULL,284
Olympia 23,223,TH,NULL,228
Olympia 24,224,TH,NULL,189
Olympia 25,225,TH,NULL,154
Olympia 26,226,TH,NULL,154
Olympia 27,227,TH,NULL,103
Olympia 28,228,TH,NULL,186
Olympia 29,229,TH,NULL,223
Olympia 30,230,TH,NULL,168
Olympia 31,231,TH,NULL,154
Olympia 32,232,TH,NULL,261
Olympia 35,235,TH,NULL,381
Olympia 36,236,TH,NULL,78
Olympia 37,237,TH,NULL,137
Olympia 38,238,TH,NULL,63
Olympia 39,239,TH,NULL,194
Olympia 40,240,TH,NULL,163
Olympia 41,241,TH,NULL,176
Olympia 42,242,TH,NULL,124
Olympia 43,243,TH,NULL,214
Olympia 44,244,TH,NULL,99
Olympia 45,245,TH,NULL,127
Olympia 46,246,TH,NULL,195
Olympia 47,247,TH,NULL,240
Olympia 48,248,TH,NULL,244
Olympia 49,249,TH,NULL,199
Olympia 50,250,TH,NULL,162
Olympia 51,251,TH,NULL,46
Olympia 52,252,TH,NULL,105
Olympia 53,253,TH,NULL,192
Olympia 54,254,TH,NULL,123
Olympia 55,255,TH,NULL,113
Olympia 56,256,TH,NULL,193
Olympia 57,257,TH,NULL,95
Olympia 58,258,TH,NULL,210
Olympia 59,259,TH,NULL,178
Olympia 60,260,TH,NULL,133
Lacey 01,301,TH,NULL,83
Lacey 02,302,TH,NULL,147
Lacey 03,303,TH,NULL,176
Lacey 04,304,TH,NULL,106
Lacey 05,305,TH,NULL,129
Lacey 06,306,TH,NULL,82
Lacey 07,307,TH,NULL,166
Lacey 08,308,TH,NULL,125
Lacey 09,309,TH,NULL,109
Lacey 10,310,TH,NULL,258
Lacey 11,311,TH,NULL,203
Lacey 13,313,TH,NULL,104
Lacey 14,314,TH,NULL,79
Lacey 15,315,TH,NULL,186
Lacey 16,316,TH,NULL,197
Lacey 17,317,TH,NULL,201
Lacey 18,318,TH,NULL,228
Lacey 19,319,TH,NULL,134
Lacey 20,320,TH,NULL,83
Lacey 21,321,TH,NULL,108
Lacey 22,322,TH,NULL,138
Lacey 23,323,TH,NULL,87
Lacey 24,324,TH,NULL,282
Lacey 27,327,TH,NULL,183
Lacey 28,328,TH,NULL,112
Lacey 29,329,TH,NULL,252
Lacey 30,330,TH,NULL,288
Lacey 31,331,TH,NULL,162
Lacey 32,332,TH,NULL,220
Lacey 33,333,TH,NULL,109
Lacey 34,334,TH,NULL,131
Lacey 35,335,TH,NULL,74
Lacey 36,336,TH,NULL,130
Lacey 37,337,TH,NULL,66
Lacey 39,339,TH,NULL,332
Lacey 40,340,TH,NULL,263
Lacey 41,341,TH,NULL,189
Lacey 42,342,TH,NULL,70
Lacey 43,343,TH,NULL,254
Lacey 44,344,TH,NULL,95
Lacey 45,345,TH,NULL,108
Lacey 46,346,TH,NULL,464
Lacey 47,347,TH,NULL,337
Lacey 48,348,TH,NULL,137
Lacey 49,349,TH,NULL,116
Tumwater 01,401,TH,NULL,157
Tumwater 02,402,TH,NULL,196
Tumwater 03,403,TH,NULL,241
Tumwater 04,404,TH,NULL,141
Tumwater 05,405,TH,NULL,148
Tumwater 06,406,TH,NULL,340
Tumwater 07,407,TH,NULL,162
Tumwater 08,408,TH,NULL,227
Tumwater 09,409,TH,NULL,142
Tumwater 10,410,TH,NULL,280
Tumwater 11,411,TH,NULL,289
Tumwater 12,412,TH,NULL,198
Tumwater 13,413,TH,NULL,85
Tumwater 14,414,TH,NULL,99
Tumwater 15,415,TH,NULL,243
Tumwater 24,424,TH,NULL,147
Tumwater 27,427,TH,NULL,210
Tumwater 28,428,TH,NULL,279
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,131
Tenino 02,502,TH,NULL,137
Rainier 01,601,TH,NULL,156
Rainier 02,602,TH,NULL,124
Yelm 1,701,TH,NULL,198
Yelm 2,702,TH,NULL,215
Yelm 3,703,TH,NULL,251
Yelm 4,704,TH,NULL,230
Bucoda,801,TH,NULL,97
