Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
Total,-1,TH,NULL,50824
Cougar Mountain,28,TH,NULL,49
Clear Lake,30,TH,NULL,344
Lackamas,31,TH,NULL,90
Morris,32,TH,NULL,234
Evergreen Ballroom,33,TH,NULL,286
Trails End,34,TH,NULL,395
Kaiser,35,TH,NULL,99
Rich,36,TH,NULL,154
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,123
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,88
Steamboat Island,44,TH,NULL,188
Rocky Prairie,45,TH,NULL,142
Lawrence Lake,46,TH,NULL,265
Woodard Creek,47,TH,NULL,180
Michigan Hill,48,TH,NULL,98
Scott Lake South,49,TH,NULL,178
Salmon Creek,50,TH,NULL,135
Spurgeon Creek,51,TH,NULL,93
James,52,TH,NULL,180
Vail,53,TH,NULL,260
Rochester 5,54,TH,NULL,223
Rochester 4,55,TH,NULL,159
Medicine Creek,57,TH,NULL,106
Skokomish,58,TH,NULL,177
Pleasant Hill,59,TH,NULL,227
Smith Prairie,60,TH,NULL,258
Black River,62,TH,NULL,309
Ames,63,TH,NULL,181
Airport,64,TH,NULL,20
Luhr Beach,65,TH,NULL,240
Fish Trap,66,TH,NULL,159
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,9
Simmons 4,70,TH,NULL,11
Pines,74,TH,NULL,175
Long Lake,75,TH,NULL,58
Hawk Acres,76,TH,NULL,138
Zenkner Valley,77,TH,NULL,52
Tri Lakes,78,TH,NULL,118
University South,79,TH,NULL,121
Tolmie,80,TH,NULL,91
Military,81,TH,NULL,83
Glen Terra,82,TH,NULL,71
Prine,83,TH,NULL,43
Glenwood,84,TH,NULL,81
Greenridge,86,TH,NULL,147
Woodland,88,TH,NULL,197
Tilley,89,TH,NULL,266
Sweet Briar,90,TH,NULL,297
Deerbrush,91,TH,NULL,252
Mushroom Corner,92,TH,NULL,230
Trailblazer,93,TH,NULL,86
Frye Cove,94,TH,NULL,238
Oyster Bay,95,TH,NULL,232
Summit Lake,96,TH,NULL,186
Delridge,97,TH,NULL,62
Marvin,98,TH,NULL,259
Alpine,99,TH,NULL,359
Hewitt Lake,100,TH,NULL,272
Zangle,101,TH,NULL,186
Boston Harbor,102,TH,NULL,264
Gull Harbor,103,TH,NULL,138
Friendly Grove,104,TH,NULL,114
South Bay,105,TH,NULL,256
Puget,106,TH,NULL,267
Bigelow,107,TH,NULL,188
Pleasant Glade,109,TH,NULL,139
Montgomery,110,TH,NULL,126
Nisqually,111,TH,NULL,180
Roosevelt,112,TH,NULL,247
Kinwood,113,TH,NULL,181
Mckinley,114,TH,NULL,69
Forest,115,TH,NULL,313
St Clair,116,TH,NULL,211
Hicks,117,TH,NULL,35
Fleetwood,118,TH,NULL,284
Lydia Hawk,119,TH,NULL,376
Hays,120,TH,NULL,164
Indian Summer,121,TH,NULL,248
Chambers,122,TH,NULL,352
Freedom,123,TH,NULL,285
Fristoe,124,TH,NULL,158
Deschutes,125,TH,NULL,239
Longmire,126,TH,NULL,152
Ruth Prairie,127,TH,NULL,106
Weir Prairie,128,TH,NULL,211
College,129,TH,NULL,36
Bald Hills,130,TH,NULL,57
Hunter Point,131,TH,NULL,132
Griffin,132,TH,NULL,192
Schneiders Prairie,133,TH,NULL,162
Cooper Point,134,TH,NULL,206
Butler Cove,135,TH,NULL,208
Broadway,136,TH,NULL,275
Plainview,139,TH,NULL,321
Mud Bay,140,TH,NULL,201
Mclane,141,TH,NULL,156
Bush Prairie,143,TH,NULL,55
Black Lake,144,TH,NULL,270
Delphi,145,TH,NULL,212
South Union,146,TH,NULL,276
Plumb,147,TH,NULL,234
Scatter Creek,148,TH,NULL,162
Mcintosh,149,TH,NULL,356
Violet Prairie,150,TH,NULL,250
Littlerock,151,TH,NULL,338
Rochester 1,153,TH,NULL,268
Rochester 2,154,TH,NULL,199
Scott Lake North,155,TH,NULL,100
Grand Mound,156,TH,NULL,104
Gibson Valley,157,TH,NULL,27
