Row Label,PrecinctCode,County,Registered Voters,Wendy L. Davis,David Stanko
Total,-1,JE,NULL,7232,7501
101 Gardiner,101,JE,NULL,101,71
102 Port Discovery,102,JE,NULL,94,103
103 Crocker,103,JE,NULL,82,75
104 Cape George,104,JE,NULL,248,265
105 Discovery Bay,105,JE,NULL,250,248
106 North Jacob,106,JE,NULL,212,172
107 South Jacob,107,JE,NULL,234,260
200 Coyle,200,JE,NULL,112,108
201 Quilcene,201,JE,NULL,177,310
204 Brinnon,204,JE,NULL,210,343
300 Chimacum I,300,JE,NULL,136,198
301 Chimacum II,301,JE,NULL,79,135
302 Center I,302,JE,NULL,115,154
303 Hadlock,303,JE,NULL,198,276
304 Kala Point,304,JE,NULL,213,341
305 Irondale I,305,JE,NULL,154,191
306 Irondale II,306,JE,NULL,173,297
307 Four Corners,307,JE,NULL,130,181
308 Center II,308,JE,NULL,95,80
401 Nordland,401,JE,NULL,257,266
500 Port Ludlow,500,JE,NULL,205,320
501 Port Ludlow I,501,JE,NULL,252,336
502 Port Ludlow II,502,JE,NULL,135,266
503 Port Ludlow III,503,JE,NULL,150,200
504 Port Ludlow IV,504,JE,NULL,114,128
505 Port Ludlow V,505,JE,NULL,176,214
600 Hoh,600,JE,NULL,16,21
601 Queets,601,JE,NULL,20,12
700 Port Townsend,700,JE,NULL,258,231
701 Port Townsend,701,JE,NULL,132,98
702 Port Townsend,702,JE,NULL,183,93
703 Port Townsend,703,JE,NULL,189,137
704 Port Townsend,704,JE,NULL,163,83
705 Port Townsend,705,JE,NULL,167,136
706 Port Townsend,706,JE,NULL,453,270
707 Port Townsend,707,JE,NULL,381,241
708 Port Townsend,708,JE,NULL,408,237
709 Port Townsend,709,JE,NULL,343,231
710 Port Townsend,710,JE,NULL,217,173
