Row Label,PrecinctCode,County,Registered Voters,Melody Peterson,Patti J. McLean
Total,-1,MA,NULL,9566,8473
PICKERING,113,MA,NULL,261,215
HARSTINE,114,MA,NULL,415,278
GRAPEVIEW,115,MA,NULL,352,256
MASON LAKE,116,MA,NULL,262,179
FAIR HARBOR,117,MA,NULL,202,180
ALLYN,118,MA,NULL,431,429
VICTOR,119,MA,NULL,173,198
BELFAIR,120,MA,NULL,206,213
TIGER LAKE,121,MA,NULL,114,165
DEWATTO,122,MA,NULL,282,283
TAHUYA,123,MA,NULL,235,258
SAND HILL,124,MA,NULL,241,280
TRAIL&#39;S END,125,MA,NULL,231,300
TWANOH,126,MA,NULL,180,145
BORDEAUX,205,MA,NULL,40,39
KAMILCHE POINT,207,MA,NULL,172,98
UNION,227,MA,NULL,443,364
SKOKOMISH,228,MA,NULL,76,30
HOOD CANAL,229,MA,NULL,295,292
CUSHMAN,230,MA,NULL,345,247
EELLS,231,MA,NULL,96,97
MATLOCK,232,MA,NULL,201,279
DAYTON,233,MA,NULL,194,223
KAMILCHE,234,MA,NULL,111,108
ISABELLA,235,MA,NULL,158,165
AIRPORT,236,MA,NULL,346,320
JOHN&#39;S PRAIRIE,237,MA,NULL,193,202
LIMERICK,238,MA,NULL,401,303
OLYMPIC VIEW,301,MA,NULL,315,278
DOWNTOWN,302,MA,NULL,244,174
ANGLESIDE,303,MA,NULL,283,235
HILLCREST,304,MA,NULL,196,147
FAWN LAKE,306,MA,NULL,357,237
ARCADIA,308,MA,NULL,357,243
MILL CREEK,309,MA,NULL,350,283
AGATE,310,MA,NULL,275,217
OAKLAND BAY,311,MA,NULL,215,207
TIMBERLAKE,312,MA,NULL,311,296
CALLANAN,339,MA,NULL,7,10
