Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,SN,NULL,121951,89571
BOTHELL 31,10141598,SN,NULL,270,114
BOTHELL 32,10141599,SN,NULL,154,87
BOTHELL 33,10141600,SN,NULL,199,115
BOTHELL 34,10141601,SN,NULL,265,109
BOTHELL 35,10141602,SN,NULL,182,103
BOTHELL 36,10141603,SN,NULL,186,105
BOTHELL 37,10141604,SN,NULL,244,164
BOTHELL 38,10141605,SN,NULL,198,117
BOTHELL 39,10141606,SN,NULL,152,103
BOTHELL 40,10141607,SN,NULL,232,155
BOTHELL 41,10141608,SN,NULL,235,153
BOTHELL 42,10141609,SN,NULL,279,158
BOTHELL 43,10141610,SN,NULL,162,100
BOTHELL 44,10141611,SN,NULL,164,91
BOTHELL 45,10141612,SN,NULL,106,69
BOTHELL 46,10141613,SN,NULL,211,97
BOTHELL 47,10141644,SN,NULL,248,122
ELWOOD,10144165,SN,NULL,194,102
RAINIER,10144171,SN,NULL,83,103
GRANNIS,10144266,SN,NULL,197,122
SUNSET,10144271,SN,NULL,300,133
VIEW,10144330,SN,NULL,205,148
WITHERS,10144338,SN,NULL,275,123
CAVALRY,10144370,SN,NULL,164,191
MAPLEWOOD,10144426,SN,NULL,206,120
PARKSHORE,10144479,SN,NULL,136,120
STAFFORD,10144484,SN,NULL,142,79
REDHAWK,10144552,SN,NULL,262,134
VALLEY,10144559,SN,NULL,50,51
GATEWAY,10144581,SN,NULL,204,149
SNOCADE,10144592,SN,NULL,286,165
TOTEM FALLS,10144594,SN,NULL,280,158
WOODSHIRE,10144597,SN,NULL,115,160
SILVER CREEK,10144635,SN,NULL,187,55
KENNARD,10144639,SN,NULL,166,81
GLENBAR,10144646,SN,NULL,172,91
OLDMARK,10144656,SN,NULL,271,168
KINGMAN,10144685,SN,NULL,334,151
CRYSTAL CREEK,10144691,SN,NULL,116,75
TAMBARK,10144715,SN,NULL,202,89
BEAR CREEK,10154009,SN,NULL,142,111
MALTBY,10154026,SN,NULL,163,172
CATHCART,10154032,SN,NULL,111,131
CLEARVIEW,10154062,SN,NULL,231,174
MINOR,10154170,SN,NULL,196,142
BEECHER,10154178,SN,NULL,191,191
WOODLAND,10154273,SN,NULL,81,92
CREEK,10154283,SN,NULL,204,159
PARADISE,10154310,SN,NULL,138,225
TURNER,10154329,SN,NULL,245,239
WELLINGTON,10154333,SN,NULL,302,155
WHEELER,10154334,SN,NULL,128,172
BATTERY,10154369,SN,NULL,120,117
ECHO LAKE,10154372,SN,NULL,195,218
