Row Label,PrecinctCode,County,Registered Voters,Rich Melnick
Total,-1,CR,NULL,80682
100,100,CR,NULL,427
102,102,CR,NULL,331
104,104,CR,NULL,401
106,106,CR,NULL,347
108,108,CR,NULL,370
110,110,CR,NULL,406
112,112,CR,NULL,39
113,113,CR,NULL,221
120,120,CR,NULL,467
130,130,CR,NULL,408
147,147,CR,NULL,321
150,150,CR,NULL,253
153,153,CR,NULL,281
160,160,CR,NULL,323
170,170,CR,NULL,308
175,175,CR,NULL,298
180,180,CR,NULL,336
190,190,CR,NULL,418
200,200,CR,NULL,430
220,220,CR,NULL,306
225,225,CR,NULL,555
240,240,CR,NULL,470
245,245,CR,NULL,435
250,250,CR,NULL,493
255,255,CR,NULL,413
257,257,CR,NULL,415
290,290,CR,NULL,394
294,294,CR,NULL,257
296,296,CR,NULL,289
298,298,CR,NULL,250
325,325,CR,NULL,303
327,327,CR,NULL,417
330,330,CR,NULL,407
335,335,CR,NULL,315
337,337,CR,NULL,335
338,338,CR,NULL,380
340,340,CR,NULL,390
350,350,CR,NULL,331
360,360,CR,NULL,387
370,370,CR,NULL,283
390,390,CR,NULL,465
395,395,CR,NULL,113
400,400,CR,NULL,239
410,410,CR,NULL,466
415,415,CR,NULL,311
420,420,CR,NULL,387
423,423,CR,NULL,313
424,424,CR,NULL,469
425,425,CR,NULL,298
426,426,CR,NULL,539
430,430,CR,NULL,296
432,432,CR,NULL,309
434,434,CR,NULL,282
435,435,CR,NULL,275
436,436,CR,NULL,236
440,440,CR,NULL,390
441,441,CR,NULL,397
444,444,CR,NULL,493
445,445,CR,NULL,494
446,446,CR,NULL,373
447,447,CR,NULL,482
448,448,CR,NULL,494
449,449,CR,NULL,521
450,450,CR,NULL,474
451,451,CR,NULL,386
452,452,CR,NULL,357
453,453,CR,NULL,372
455,455,CR,NULL,296
456,456,CR,NULL,541
460,460,CR,NULL,588
470,470,CR,NULL,531
480,480,CR,NULL,541
483,483,CR,NULL,556
485,485,CR,NULL,263
487,487,CR,NULL,196
490,490,CR,NULL,279
491,491,CR,NULL,32
500,500,CR,NULL,405
502,502,CR,NULL,356
503,503,CR,NULL,291
505,505,CR,NULL,466
510,510,CR,NULL,264
511,511,CR,NULL,25
515,515,CR,NULL,454
520,520,CR,NULL,212
521,521,CR,NULL,7
522,522,CR,NULL,139
523,523,CR,NULL,6
524,524,CR,NULL,39
525,525,CR,NULL,247
527,527,CR,NULL,320
528,528,CR,NULL,338
530,530,CR,NULL,160
535,535,CR,NULL,485
536,536,CR,NULL,244
537,537,CR,NULL,167
538,538,CR,NULL,203
540,540,CR,NULL,421
543,543,CR,NULL,375
545,545,CR,NULL,279
550,550,CR,NULL,451
553,553,CR,NULL,390
555,555,CR,NULL,477
560,560,CR,NULL,397
563,563,CR,NULL,452
565,565,CR,NULL,326
566,566,CR,NULL,273
570,570,CR,NULL,392
571,571,CR,NULL,381
572,572,CR,NULL,529
573,573,CR,NULL,502
574,574,CR,NULL,17
575,575,CR,NULL,121
576,576,CR,NULL,3
577,577,CR,NULL,507
578,578,CR,NULL,34
579,579,CR,NULL,17
580,580,CR,NULL,258
581,581,CR,NULL,192
582,582,CR,NULL,312
583,583,CR,NULL,309
584,584,CR,NULL,377
585,585,CR,NULL,471
586,586,CR,NULL,345
587,587,CR,NULL,327
588,588,CR,NULL,232
590,590,CR,NULL,513
591,591,CR,NULL,490
592,592,CR,NULL,461
593,593,CR,NULL,406
594,594,CR,NULL,13
595,595,CR,NULL,221
596,596,CR,NULL,0
597,597,CR,NULL,38
598,598,CR,NULL,11
600,600,CR,NULL,198
603,603,CR,NULL,209
605,605,CR,NULL,373
606,606,CR,NULL,71
610,610,CR,NULL,540
613,613,CR,NULL,165
615,615,CR,NULL,179
617,617,CR,NULL,400
618,618,CR,NULL,436
620,620,CR,NULL,457
624,624,CR,NULL,101
625,625,CR,NULL,406
626,626,CR,NULL,390
627,627,CR,NULL,400
628,628,CR,NULL,448
629,629,CR,NULL,356
630,630,CR,NULL,324
631,631,CR,NULL,461
632,632,CR,NULL,220
633,633,CR,NULL,374
634,634,CR,NULL,354
635,635,CR,NULL,316
636,636,CR,NULL,329
638,638,CR,NULL,354
639,639,CR,NULL,362
640,640,CR,NULL,403
641,641,CR,NULL,157
642,642,CR,NULL,177
643,643,CR,NULL,386
644,644,CR,NULL,410
645,645,CR,NULL,481
646,646,CR,NULL,200
647,647,CR,NULL,266
648,648,CR,NULL,335
649,649,CR,NULL,346
650,650,CR,NULL,403
651,651,CR,NULL,277
652,652,CR,NULL,364
653,653,CR,NULL,343
654,654,CR,NULL,281
655,655,CR,NULL,384
656,656,CR,NULL,190
658,658,CR,NULL,340
659,659,CR,NULL,408
660,660,CR,NULL,424
662,662,CR,NULL,412
663,663,CR,NULL,287
664,664,CR,NULL,408
667,667,CR,NULL,328
668,668,CR,NULL,386
669,669,CR,NULL,354
670,670,CR,NULL,427
672,672,CR,NULL,342
673,673,CR,NULL,436
674,674,CR,NULL,346
675,675,CR,NULL,257
677,677,CR,NULL,381
678,678,CR,NULL,299
679,679,CR,NULL,276
680,680,CR,NULL,325
681,681,CR,NULL,332
682,682,CR,NULL,362
683,683,CR,NULL,357
685,685,CR,NULL,104
686,686,CR,NULL,300
687,687,CR,NULL,377
688,688,CR,NULL,332
689,689,CR,NULL,420
690,690,CR,NULL,394
691,691,CR,NULL,390
692,692,CR,NULL,422
693,693,CR,NULL,238
694,694,CR,NULL,161
695,695,CR,NULL,430
696,696,CR,NULL,459
697,697,CR,NULL,518
698,698,CR,NULL,353
699,699,CR,NULL,345
700,700,CR,NULL,66
710,710,CR,NULL,188
720,720,CR,NULL,306
900,900,CR,NULL,356
903,903,CR,NULL,392
905,905,CR,NULL,413
910,910,CR,NULL,381
912,912,CR,NULL,333
913,913,CR,NULL,431
914,914,CR,NULL,406
917,917,CR,NULL,275
920,920,CR,NULL,316
925,925,CR,NULL,345
930,930,CR,NULL,368
935,935,CR,NULL,375
940,940,CR,NULL,339
947,947,CR,NULL,320
950,950,CR,NULL,387
951,951,CR,NULL,331
953,953,CR,NULL,181
957,957,CR,NULL,76
958,958,CR,NULL,69
959,959,CR,NULL,17
960,960,CR,NULL,448
961,961,CR,NULL,76
962,962,CR,NULL,293
963,963,CR,NULL,307
964,964,CR,NULL,405
965,965,CR,NULL,355
966,966,CR,NULL,248
967,967,CR,NULL,231
968,968,CR,NULL,341
969,969,CR,NULL,218
985,985,CR,NULL,321
