Row Label,PrecinctCode,County,Registered Voters,Joe Schmick
Total,-1,GA,NULL,965
GROUSE-VOTE BY MAIL,101,GA,NULL,2
MAYVIEW-VOTE BY MAIL,102,GA,NULL,37
PATAHA,103,GA,NULL,138
PEOLA-VOTE BY MAIL,104,GA,NULL,12
PING - VOTE BY MAIL,105,GA,NULL,15
PLEASANT-VB MAIL,106,GA,NULL,36
SCOGGIN - VB MAIL,109,GA,NULL,90
TUCANNON - VB MAIL,110,GA,NULL,57
WARD 1,201,GA,NULL,96
WARD 2,202,GA,NULL,173
WARD 3,203,GA,NULL,198
WARD 4,204,GA,NULL,111
