Row Label,PrecinctCode,County,Registered Voters,Linda Kochmar,Greg Baruso
Total,-1,KI,NULL,986,685
Total,-1,KI,NULL,986,685
30-701,30701,PI,NULL,15,3
30-705,30705,PI,NULL,141,122
30-706,30706,PI,NULL,232,162
30-707,30707,PI,NULL,149,83
30-708,30708,PI,NULL,217,160
30-709(*),30709,PI,NULL,0,0
30-713(*),30713,PI,NULL,0,0
