Row Label,PrecinctCode,County,Registered Voters,Brian Blake,Hugh Fleet
Total,-1,GY,NULL,6194,2910
Chehalis 066,66,GY,NULL,4,2
Blockhouse 068,68,GY,NULL,154,145
Delezenne 070,70,GY,NULL,197,147
Melbourne 072,72,GY,NULL,202,113
Devonshire 074,74,GY,NULL,175,88
Vesta 076,76,GY,NULL,40,30
Artic 078,78,GY,NULL,36,24
Central Park 080,80,GY,NULL,406,166
Lois Lane 082,82,GY,NULL,70,39
Blue Slough 084(*),84,GY,NULL,0,0
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,50,23
Newskah 090,90,GY,NULL,14,3
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,226,51
Grayland 096,96,GY,NULL,178,118
Cohasset 098,98,GY,NULL,113,69
Aberdeen 111,111,GY,NULL,388,159
Aberdeen 121,121,GY,NULL,361,131
Aberdeen 131,131,GY,NULL,467,182
Aberdeen 141,141,GY,NULL,394,149
Aberdeen 142,142,GY,NULL,287,128
Aberdeen 151,151,GY,NULL,205,110
Aberdeen 161,161,GY,NULL,362,148
Cosmopolis 201,201,GY,NULL,398,134
Montesano 601,601,GY,NULL,483,191
Montesano 602,602,GY,NULL,455,192
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,65,93
Westport 901,901,GY,NULL,341,210
