Row Label,PrecinctCode,County,Registered Voters,Judy Maves-Klatt,Rose Ann Carroll
Total,-1,JE,NULL,6376,6525
101 Gardiner,101,JE,NULL,74,75
102 Port Discovery,102,JE,NULL,77,95
103 Crocker,103,JE,NULL,60,88
104 Cape George,104,JE,NULL,242,200
105 Discovery Bay,105,JE,NULL,221,207
106 North Jacob,106,JE,NULL,182,152
107 South Jacob,107,JE,NULL,181,246
200 Coyle,200,JE,NULL,78,115
201 Quilcene,201,JE,NULL,144,288
204 Brinnon,204,JE,NULL,188,287
300 Chimacum I,300,JE,NULL,113,182
301 Chimacum II,301,JE,NULL,54,127
302 Center I,302,JE,NULL,109,116
303 Hadlock,303,JE,NULL,160,246
304 Kala Point,304,JE,NULL,279,223
305 Irondale I,305,JE,NULL,121,184
306 Irondale II,306,JE,NULL,154,258
307 Four Corners,307,JE,NULL,116,152
308 Center II,308,JE,NULL,62,99
401 Nordland,401,JE,NULL,226,227
500 Port Ludlow,500,JE,NULL,188,249
501 Port Ludlow I,501,JE,NULL,241,267
502 Port Ludlow II,502,JE,NULL,134,196
503 Port Ludlow III,503,JE,NULL,150,145
504 Port Ludlow IV,504,JE,NULL,108,96
505 Port Ludlow V,505,JE,NULL,141,209
600 Hoh,600,JE,NULL,12,18
601 Queets,601,JE,NULL,15,11
700 Port Townsend,700,JE,NULL,231,187
701 Port Townsend,701,JE,NULL,128,77
702 Port Townsend,702,JE,NULL,168,95
703 Port Townsend,703,JE,NULL,196,98
704 Port Townsend,704,JE,NULL,139,75
705 Port Townsend,705,JE,NULL,134,136
706 Port Townsend,706,JE,NULL,385,251
707 Port Townsend,707,JE,NULL,310,249
708 Port Townsend,708,JE,NULL,339,253
709 Port Townsend,709,JE,NULL,326,190
710 Port Townsend,710,JE,NULL,190,156
